district,month,group,policy_active,outcome,population
D02,13,treated,0,57.733,1060
D02,14,treated,0,59.89,1060
D02,15,treated,0,61.724,1060
D02,16,treated,0,62.091,1060
D02,17,treated,0,57.848,1060
D02,18,treated,1,54.68,1060
D02,19,treated,1,51.157,1060
D02,20,treated,1,51.027,1060
D02,21,treated,1,51.848,1060
D02,22,treated,1,50.058,1060
D02,23,treated,1,53.825,1060
D02,24,treated,1,54.639,1060
D02,25,treated,1,58.431,1060
D02,26,treated,1,58.278,1060
D02,27,treated,1,57.685,1060
D02,28,treated,1,58.762,1060
D02,29,treated,1,56.747,1060
D02,30,treated,1,56.733,1060
D02,31,treated,1,56.411,1060
D02,32,treated,1,54.365,1060
D02,33,treated,1,51.723,1060
D02,34,treated,1,51.491,1060
D02,35,treated,1,52.356,1060
D03,0,treated,0,45.068,1090
D03,1,treated,0,48.522,1090
D03,2,treated,0,50.392,1090
D03,3,treated,0,50.178,1090
D03,4,treated,0,49.984,1090
D03,5,treated,0,52.074,1090
D03,6,treated,0,50.124,1090
D03,7,treated,0,49.881,1090
D03,8,treated,0,47.09,1090
D03,9,treated,0,43.431,1090
D03,10,treated,0,43.894,1090
D03,11,treated,0,47.687,1090
D03,12,treated,0,46.948,1090
D03,13,treated,0,50.858,1090
D03,14,treated,0,53.791,1090
D03,15,treated,0,53.569,1090
D03,16,treated,0,50.528,1090
D03,17,treated,0,52.422,1090
D03,18,treated,1,46.445,1090
D03,19,treated,1,45.977,1090
D03,20,treated,1,45.404,1090
D03,21,treated,1,43.524,1090
D03,22,treated,1,42.612,1090
D03,23,treated,1,43.473,1090
D03,24,treated,1,43.412,1090
D03,25,treated,1,44.81,1090
D03,26,treated,1,47.88,1090
D03,27,treated,1,46.202,1090
D03,28,treated,1,46.541,1090
D03,29,treated,1,47.988,1090
D03,30,treated,1,48.548,1090
D03,31,treated,1,46.485,1090
D03,32,treated,1,45.203,1090
D03,33,treated,1,48.317,1090
D03,34,treated,1,47.589,1090
D03,35,treated,1,48.629,1090
D04,0,treated,0,48.316,1120
D04,1,treated,0,50.065,1120
D04,2,treated,0,50.882,1120
D04,3,treated,0,46.364,1120
D04,4,treated,0,49.04,1120
D04,5,treated,0,53.358,1120
D04,6,treated,0,51.99,1120
D04,7,treated,0,52.751,1120
D04,8,treated,0,51.297,1120
D04,9,treated,0,51.695,1120
D04,10,treated,0,50.879,1120
D04,11,treated,0,50.678,1120
D04,12,treated,0,53.604,1120
D04,13,treated,0,52.942,1120
D04,14,treated,0,55.792,1120
D04,15,treated,0,58.075,1120
D04,16,treated,0,57.397,1120
D04,17,treated,0,54.272,1120
D04,18,treated,1,51.162,1120
D04,19,treated,1,47.464,1120
D04,20,treated,1,47.78,1120
D04,21,treated,1,46.418,1120
D04,22,treated,1,46.157,1120
D04,23,treated,1,47.981,1120
D04,24,treated,1,46.728,1120
D04,25,treated,1,50.714,1120
D04,26,treated,1,53.903,1120
D04,27,treated,1,52.648,1120
D04,28,treated,1,54.586,1120
D04,29,treated,1,52.943,1120
D04,30,treated,1,53.376,1120
D04,31,treated,1,53.463,1120
D04,32,treated,1,48.759,1120
D04,33,treated,1,51.433,1120
D04,34,treated,1,53.902,1120
D04,35,treated,1,54.134,1120
D05,0,treated,0,49.616,1150
D05,1,treated,0,53.849,1150
D05,2,treated,0,54.944,1150
D05,3,treated,0,56.424,1150
D05,4,treated,0,54.001,1150
D05,5,treated,0,51.7,1150
D05,6,treated,0,51.782,1150
D05,7,treated,0,50.667,1150
D05,8,treated,0,47.986,1150
D05,9,treated,0,48.059,1150
D05,10,treated,0,49.553,1150
D05,11,treated,0,51.498,1150
D05,12,treated,0,52.637,1150
D05,13,treated,0,55.476,1150
D05,14,treated,0,52.722,1150
D05,15,treated,0,53.918,1150
D05,16,treated,0,54.573,1150
D05,17,treated,0,53.154,1150
D05,18,treated,1,48.841,1150
D05,19,treated,1,48.959,1150
D05,20,treated,1,48.146,1150
D05,21,treated,1,46.21,1150
D05,22,treated,1,47.716,1150
D05,23,treated,1,51.754,1150
D05,24,treated,1,53.164,1150
D05,25,treated,1,51.404,1150
D05,26,treated,1,52.318,1150
D05,27,treated,1,56.73,1150
D05,28,treated,1,55.999,1150
D05,29,treated,1,53.341,1150
D05,30,treated,1,50.548,1150
D05,31,treated,1,55.235,1150
D05,32,treated,1,50.113,1150
D05,33,treated,1,47.286,1150
D05,34,treated,1,50.106,1150
D05,35,treated,1,50.278,1150
D06,0,treated,0,37.464,1180
D06,1,treated,0,41.491,1180
D06,2,treated,0,41.822,1180
D06,3,treated,0,39.462,1180
D06,4,treated,0,41.388,1180
D06,5,treated,0,37.446,1180
D06,6,treated,0,39.641,1180
D06,7,treated,0,39.567,1180
D06,8,treated,0,36.929,1180
D06,9,treated,0,38.829,1180
D06,10,treated,0,36.344,1180
D06,11,treated,0,40.398,1180
D06,12,treated,0,44.215,1180
D06,13,treated,0,46.119,1180
D06,14,treated,0,48.04,1180
D06,15,treated,0,46.753,1180
D06,16,treated,0,46.707,1180
D06,17,treated,0,48.154,1180
D06,18,treated,1,40.043,1180
D06,19,treated,1,36.869,1180
D06,20,treated,1,35.609,1180
D06,21,treated,1,34.988,1180
D06,22,treated,1,38.442,1180
D06,23,treated,1,39.095,1180
D06,24,treated,1,43.725,1180
D06,25,treated,1,43.372,1180
D06,26,treated,1,43.725,1180
D06,27,treated,1,44.754,1180
D06,28,treated,1,43.673,1180
D06,29,treated,1,41.312,1180
D06,30,treated,1,40.534,1180
D06,31,treated,1,40.589,1180
D06,32,treated,1,40.058,1180
D06,33,treated,1,37.401,1180
D06,34,treated,1,38.518,1180
D06,35,treated,1,39.602,1180
D07,0,treated,0,45.287,1210
D07,1,treated,0,44.592,1210
D07,2,treated,0,45.516,1210
D07,3,treated,0,46.782,1210
D07,4,treated,0,48.449,1210
D07,5,treated,0,47.726,1210
D07,6,treated,0,46.477,1210
D07,7,treated,0,42.035,1210
D07,8,treated,0,39.025,1210
D07,9,treated,0,41.372,1210
D07,10,treated,0,42.73,1210
D07,11,treated,0,43.404,1210
D07,12,treated,0,45.119,1210
D07,13,treated,0,46.628,1210
D07,14,treated,0,50.283,1210
D07,15,treated,0,51.306,1210
D07,16,treated,0,49.145,1210
D07,17,treated,0,49.365,1210
D07,18,treated,1,44.915,1210
D07,19,treated,1,44.748,1210
D07,20,treated,1,43.636,1210
D07,21,treated,1,40.259,1210
D07,22,treated,1,38.635,1210
D07,23,treated,1,41.705,1210
D07,24,treated,1,42.076,1210
D07,25,treated,1,46.714,1210
D07,26,treated,1,50.226,1210
D07,27,treated,1,50.235,1210
D07,28,treated,1,48.119,1210
D07,29,treated,1,47.515,1210
D07,30,treated,1,44.7,1210
D07,31,treated,1,44.088,1210
D07,32,treated,1,42.598,1210
D07,33,treated,1,43.602,1210
D07,34,treated,1,44.814,1210
D07,35,treated,1,45.386,1210
D08,0,near_control,0,46.819,1240
D08,1,near_control,0,47.434,1240
D08,2,near_control,0,50.692,1240
D08,3,near_control,0,51.627,1240
D08,4,near_control,0,50.553,1240
D08,5,near_control,0,48.125,1240
D08,6,near_control,0,44.698,1240
D08,7,near_control,0,42.578,1240
D08,8,near_control,0,44.556,1240
D08,9,near_control,0,45.536,1240
D08,10,near_control,0,48.204,1240
D08,11,near_control,0,47.696,1240
D08,12,near_control,0,48.884,1240
D08,13,near_control,0,51.045,1240
D08,14,near_control,0,49.461,1240
D08,15,near_control,0,52.728,1240
D08,16,near_control,0,50.822,1240
D08,17,near_control,0,50.085,1240
D08,18,near_control,0,45.656,1240
D08,19,near_control,0,44.789,1240
D08,20,near_control,0,43.977,1240
D08,21,near_control,0,47.068,1240
D08,22,near_control,0,45.477,1240
D08,23,near_control,0,46.903,1240
D08,24,near_control,0,51.111,1240
D08,25,near_control,0,52.601,1240
D08,26,near_control,0,54.037,1240
D08,27,near_control,0,51.356,1240
D08,28,near_control,0,53.979,1240
D08,29,near_control,0,51.354,1240
D08,30,near_control,0,50.711,1240
D08,31,near_control,0,50.77,1240
D08,32,near_control,0,49.653,1240
D08,33,near_control,0,50.299,1240
D08,34,near_control,0,50.492,1240
D08,35,near_control,0,52.949,1240
D09,0,near_control,0,39.616,1270
D09,1,near_control,0,40.85,1270
D09,2,near_control,0,42.316,1270
D09,3,near_control,0,37.43,1270
D09,4,near_control,0,39.154,1270
D09,5,near_control,0,41.438,1270
D09,6,near_control,0,40.718,1270
D09,7,near_control,0,39.665,1270
D09,8,near_control,0,39.904,1270
D09,9,near_control,0,36.633,1270
D09,10,near_control,0,37.999,1270
D09,11,near_control,0,36.849,1270
D09,12,near_control,0,42.137,1270
D09,13,near_control,0,40.324,1270
D09,14,near_control,0,39.872,1270
D09,15,near_control,0,42.721,1270
D09,16,near_control,0,44.087,1270
D09,17,near_control,0,44.743,1270
D09,18,near_control,0,42.692,1270
D09,19,near_control,0,40.311,1270
D09,20,near_control,0,41.316,1270
D09,21,near_control,0,38.132,1270
D09,22,near_control,0,37.425,1270
D09,23,near_control,0,39.546,1270
D09,24,near_control,0,41.569,1270
D09,25,near_control,0,41.005,1270
D09,26,near_control,0,42.504,1270
D09,27,near_control,0,44.901,1270
D09,28,near_control,0,44.049,1270
D09,29,near_control,0,44.384,1270
D09,30,near_control,0,45.037,1270
D09,31,near_control,0,39.889,1270
D09,32,near_control,0,39.263,1270
D09,33,near_control,0,37.431,1270
D09,34,near_control,0,40.481,1270
D09,35,near_control,0,41.323,1270
D10,0,near_control,0,54.018,1300
D10,1,near_control,0,53.848,1300
D10,2,near_control,0,53.896,1300
D10,3,near_control,0,56.052,1300
D10,4,near_control,0,57.328,1300
D10,5,near_control,0,56.049,1300
D10,6,near_control,0,53.649,1300
D10,7,near_control,0,53.816,1300
D10,8,near_control,0,50.716,1300
D10,9,near_control,0,50.717,1300
D10,10,near_control,0,52.668,1300
D10,11,near_control,0,50.684,1300
D10,12,near_control,0,53.679,1300
D10,13,near_control,0,56.027,1300
D10,14,near_control,0,57.897,1300
D10,15,near_control,0,58.031,1300
D10,16,near_control,0,60.265,1300
D10,17,near_control,0,57.916,1300
D10,18,near_control,0,56.192,1300
D10,19,near_control,0,51.294,1300
D10,20,near_control,0,50.667,1300
D10,21,near_control,0,52.159,1300
D10,22,near_control,0,48.053,1300
D10,23,near_control,0,53.081,1300
D10,24,near_control,0,55.392,1300
D10,25,near_control,0,58.4,1300
D10,26,near_control,0,59.619,1300
D10,27,near_control,0,61.245,1300
D10,28,near_control,0,57.909,1300
D10,29,near_control,0,56.35,1300
D10,30,near_control,0,53.262,1300
D10,31,near_control,0,54.69,1300
D10,32,near_control,0,54.943,1300
D10,33,near_control,0,54.902,1300
D10,34,near_control,0,53.037,1300
D10,35,near_control,0,52.92,1300
D11,0,near_control,0,56.853,1330
D11,1,near_control,0,56.443,1330
D11,2,near_control,0,57.729,1330
D11,3,near_control,0,58.023,1330
D11,4,near_control,0,59.487,1330
D11,5,near_control,0,58.483,1330
D11,6,near_control,0,58.161,1330
D11,7,near_control,0,56.373,1330
D11,8,near_control,0,53.637,1330
D11,9,near_control,0,53.436,1330
D11,10,near_control,0,54.59,1330
D11,11,near_control,0,56.48,1330
D11,12,near_control,0,58.77,1330
D11,13,near_control,0,60.692,1330
D11,14,near_control,0,59.62,1330
D11,15,near_control,0,62.559,1330
D11,16,near_control,0,61.564,1330
D11,17,near_control,0,59.015,1330
D11,18,near_control,0,54.714,1330
D11,19,near_control,0,57.247,1330
D11,20,near_control,0,57.6,1330
D11,21,near_control,0,57.753,1330
D11,22,near_control,0,54.613,1330
D11,23,near_control,0,56.689,1330
D11,24,near_control,0,58.365,1330
D11,25,near_control,0,62.041,1330
D11,26,near_control,0,61.556,1330
D11,27,near_control,0,62.342,1330
D11,28,near_control,0,62.17,1330
D11,29,near_control,0,59.776,1330
D11,30,near_control,0,56.464,1330
D11,31,near_control,0,57.116,1330
D11,32,near_control,0,55.94,1330
D11,33,near_control,0,58.253,1330
D11,34,near_control,0,58.787,1330
D11,35,near_control,0,60.245,1330
D12,0,near_control,0,51.254,1360
D12,1,near_control,0,52.409,1360
D12,2,near_control,0,54.998,1360
D12,3,near_control,0,55.395,1360
D12,4,near_control,0,54.72,1360
D12,5,near_control,0,55.09,1360
D12,6,near_control,0,53.204,1360
D12,7,near_control,0,51.927,1360
D12,8,near_control,0,50.978,1360
D12,9,near_control,0,50.645,1360
D12,10,near_control,0,50.297,1360
D12,11,near_control,0,49.309,1360
D12,12,near_control,0,52.018,1360
D12,13,near_control,0,54.435,1360
D12,14,near_control,0,54.303,1360
D12,15,near_control,0,55.144,1360
D12,16,near_control,0,53.964,1360
D12,17,near_control,0,54.48,1360
D12,18,near_control,0,50.924,1360
D12,19,near_control,0,52.588,1360
D12,20,near_control,0,51.075,1360
D12,21,near_control,0,50.035,1360
D12,22,near_control,0,48.854,1360
D12,23,near_control,0,50.923,1360
D12,24,near_control,0,52.713,1360
D12,25,near_control,0,55.999,1360
D12,26,near_control,0,57.96,1360
D12,27,near_control,0,57.547,1360
D12,28,near_control,0,55.986,1360
D12,29,near_control,0,55.782,1360
D12,30,near_control,0,57.911,1360
D12,31,near_control,0,55.921,1360
D12,32,near_control,0,52.365,1360
D12,33,near_control,0,50.303,1360
D12,34,near_control,0,49.916,1360
D12,35,near_control,0,53.655,1360
D13,0,near_control,0,49.512,1390
D13,1,near_control,0,49.813,1390
D13,2,near_control,0,49.012,1390
D13,3,near_control,0,48.794,1390
D13,4,near_control,0,51.727,1390
D13,5,near_control,0,51.142,1390
D13,6,near_control,0,46.252,1390
D13,7,near_control,0,46.194,1390
D13,8,near_control,0,49.135,1390
D13,9,near_control,0,45.265,1390
D13,10,near_control,0,49.252,1390
D13,11,near_control,0,48.177,1390
D13,12,near_control,0,48.872,1390
D13,13,near_control,0,49.787,1390
D13,14,near_control,0,50.787,1390
D13,15,near_control,0,54.696,1390
D13,16,near_control,0,52.762,1390
D13,17,near_control,0,52.882,1390
D13,18,near_control,0,50.043,1390
D13,19,near_control,0,47.18,1390
D13,20,near_control,0,44.022,1390
D13,21,near_control,0,46.045,1390
D13,22,near_control,0,49.404,1390
D13,23,near_control,0,49.073,1390
D13,24,near_control,0,49.409,1390
D13,25,near_control,0,51.473,1390
D13,26,near_control,0,51.503,1390
D13,27,near_control,0,53.21,1390
D13,28,near_control,0,51.28,1390
D13,29,near_control,0,52.427,1390
D13,30,near_control,0,50.822,1390
D13,31,near_control,0,50.986,1390
D13,32,near_control,0,47.491,1390
D13,33,near_control,0,48.287,1390
D13,34,near_control,0,48.51,1390
D13,35,near_control,0,49.424,1390
D14,0,near_control,0,45.303,1420
D14,1,near_control,0,45.005,1420
D14,2,near_control,0,46.103,1420
D14,3,near_control,0,46.505,1420
D14,4,near_control,0,46.435,1420
D14,5,near_control,0,45.641,1420
D14,6,near_control,0,42.14,1420
D14,7,near_control,0,39.375,1420
D14,8,near_control,0,40.362,1420
D14,9,near_control,0,38.983,1420
D14,10,near_control,0,40.367,1420
D14,11,near_control,0,42.292,1420
D14,12,near_control,0,47.631,1420
D14,13,near_control,0,47.834,1420
D14,14,near_control,0,48.379,1420
D14,15,near_control,0,47.094,1420
D14,16,near_control,0,44.997,1420
D14,17,near_control,0,45.584,1420
D14,18,near_control,0,45.148,1420
D14,19,near_control,0,44.293,1420
D14,20,near_control,0,44.872,1420
D14,21,near_control,0,44.291,1420
D14,22,near_control,0,44.3,1420
D14,23,near_control,0,44.343,1420
D14,24,near_control,0,47.024,1420
D14,25,near_control,0,49.19,1420
D14,26,near_control,0,50.098,1420
D14,27,near_control,0,50.523,1420
D14,28,near_control,0,49.627,1420
D14,29,near_control,0,49.463,1420
D14,30,near_control,0,49.044,1420
D14,31,near_control,0,46.544,1420
D14,32,near_control,0,46.41,1420
D14,33,near_control,0,46.138,1420
D14,34,near_control,0,47.833,1420
D14,35,near_control,0,48.112,1420
D15,0,near_control,0,56.694,1450
D15,1,near_control,0,54.803,1450
D15,2,near_control,0,58.106,1450
D15,3,near_control,0,58.884,1450
D15,4,near_control,0,60.251,1450
D15,5,near_control,0,61.659,1450
D15,6,near_control,0,56.4,1450
D15,7,near_control,0,52.996,1450
D15,8,near_control,0,53.443,1450
D15,9,near_control,0,51.735,1450
D15,10,near_control,0,54.012,1450
D15,11,near_control,0,54.219,1450
D15,12,near_control,0,57.173,1450
D15,13,near_control,0,58.156,1450
D15,14,near_control,0,58.471,1450
D15,15,near_control,0,60.809,1450
D15,16,near_control,0,59.476,1450
D15,17,near_control,0,60.09,1450
D15,18,near_control,0,59.23,1450
D15,19,near_control,0,59.402,1450
D15,20,near_control,0,55.238,1450
D15,21,near_control,0,54.134,1450
D15,22,near_control,0,54.872,1450
D15,23,near_control,0,58.861,1450
D15,24,near_control,0,60.449,1450
D15,25,near_control,0,61.97,1450
D15,26,near_control,0,62.633,1450
D15,27,near_control,0,62.927,1450
D15,28,near_control,0,62.892,1450
D15,29,near_control,0,61.887,1450
D15,30,near_control,0,58.508,1450
D15,31,near_control,0,57.226,1450
D15,32,near_control,0,56.021,1450
D15,33,near_control,0,60.55,1450
D15,34,near_control,0,60.387,1450
D15,35,near_control,0,59.804,1450
D16,0,far_control,0,49.295,1480
D16,1,far_control,0,51.015,1480
D16,2,far_control,0,54.546,1480
D16,3,far_control,0,54.755,1480
D16,4,far_control,0,54.658,1480
D16,5,far_control,0,51.46,1480
D16,6,far_control,0,52.017,1480
D16,7,far_control,0,49.895,1480
D16,8,far_control,0,48.582,1480
D16,9,far_control,0,47.896,1480
D16,10,far_control,0,50.761,1480
D16,11,far_control,0,49.463,1480
D16,12,far_control,0,52.645,1480
D16,13,far_control,0,55.292,1480
D16,14,far_control,0,55.993,1480
D16,15,far_control,0,57.753,1480
D16,16,far_control,0,54.862,1480
D16,17,far_control,0,51.608,1480
D16,18,far_control,0,51.721,1480
D16,19,far_control,0,52.362,1480
D16,20,far_control,0,51.359,1480
D16,21,far_control,0,52.049,1480
D16,22,far_control,0,53.463,1480
D16,23,far_control,0,52.6,1480
D16,24,far_control,0,55.123,1480
D16,25,far_control,0,56.928,1480
D16,26,far_control,0,55.949,1480
D16,27,far_control,0,56.492,1480
D16,28,far_control,0,56.975,1480
D16,29,far_control,0,55.956,1480
D16,30,far_control,0,54.257,1480
D16,31,far_control,0,52.575,1480
D16,32,far_control,0,52.766,1480
D16,33,far_control,0,50.965,1480
D16,34,far_control,0,51.101,1480
D16,35,far_control,0,54.088,1480
D17,0,far_control,0,43.993,1510
D17,1,far_control,0,45.325,1510
D17,2,far_control,0,45.685,1510
D17,3,far_control,0,49.387,1510
D17,4,far_control,0,49.881,1510
D17,5,far_control,0,48.546,1510
D17,6,far_control,0,48.977,1510
D17,7,far_control,0,47.387,1510
D17,8,far_control,0,48.236,1510
D17,9,far_control,0,47.304,1510
D17,10,far_control,0,46.441,1510
D17,11,far_control,0,46.993,1510
D17,12,far_control,0,46.352,1510
D17,13,far_control,0,49.33,1510
D17,14,far_control,0,49.464,1510
D17,15,far_control,0,50.057,1510
D17,16,far_control,0,52.503,1510
D17,17,far_control,0,53.192,1510
D17,18,far_control,0,52.391,1510
D17,19,far_control,0,49.031,1510
D17,20,far_control,0,49.13,1510
D17,21,far_control,0,47.808,1510
D17,22,far_control,0,44.454,1510
D17,23,far_control,0,47.307,1510
D17,24,far_control,0,48.944,1510
D17,25,far_control,0,50.374,1510
D17,26,far_control,0,51.765,1510
D17,27,far_control,0,53.707,1510
D17,28,far_control,0,52.432,1510
D17,29,far_control,0,52.607,1510
D17,30,far_control,0,51.149,1510
D17,31,far_control,0,50.979,1510
D17,32,far_control,0,48.676,1510
D17,33,far_control,0,48.796,1510
D17,34,far_control,0,50.196,1510
D17,35,far_control,0,51.675,1510
D18,0,far_control,0,50.918,1540
D18,1,far_control,0,51.848,1540
D18,2,far_control,0,52.502,1540
D18,3,far_control,0,54.928,1540
D18,4,far_control,0,51.816,1540
D18,5,far_control,0,52.519,1540
D18,6,far_control,0,49.728,1540
D18,7,far_control,0,49.388,1540
D18,8,far_control,0,47.449,1540
D18,9,far_control,0,47.112,1540
D18,10,far_control,0,47.576,1540
D18,11,far_control,0,49.323,1540
D18,12,far_control,0,51.777,1540
D18,13,far_control,0,55.692,1540
D18,14,far_control,0,57.653,1540
D18,15,far_control,0,58.0,1540
D18,16,far_control,0,52.731,1540
D18,17,far_control,0,55.131,1540
D18,18,far_control,0,50.754,1540
D18,19,far_control,0,50.519,1540
D18,20,far_control,0,50.166,1540
D18,21,far_control,0,50.197,1540
D18,22,far_control,0,52.235,1540
D18,23,far_control,0,53.222,1540
D18,24,far_control,0,55.449,1540
D18,25,far_control,0,55.293,1540
D18,26,far_control,0,54.881,1540
D18,27,far_control,0,57.611,1540
D18,28,far_control,0,56.387,1540
D18,29,far_control,0,54.43,1540
D18,30,far_control,0,54.268,1540
D18,31,far_control,0,53.586,1540
D18,32,far_control,0,53.584,1540
D18,33,far_control,0,51.601,1540
D18,34,far_control,0,50.304,1540
D18,35,far_control,0,52.375,1540
D19,0,far_control,0,46.337,1570
D19,1,far_control,0,44.625,1570
D19,2,far_control,0,47.883,1570
D19,3,far_control,0,48.206,1570
D19,4,far_control,0,47.614,1570
D19,5,far_control,0,48.268,1570
D19,6,far_control,0,46.532,1570
D19,7,far_control,0,43.257,1570
D19,8,far_control,0,42.757,1570
D19,9,far_control,0,40.65,1570
D19,10,far_control,0,44.694,1570
D19,11,far_control,0,49.262,1570
D19,12,far_control,0,48.537,1570
D19,13,far_control,0,49.778,1570
D19,14,far_control,0,49.741,1570
D19,15,far_control,0,48.059,1570
D19,16,far_control,0,52.785,1570
D19,17,far_control,0,50.655,1570
D19,18,far_control,0,49.79,1570
D19,19,far_control,0,49.223,1570
D19,20,far_control,0,48.131,1570
D19,21,far_control,0,47.565,1570
D19,22,far_control,0,45.152,1570
D19,23,far_control,0,46.992,1570
D19,24,far_control,0,46.997,1570
D19,25,far_control,0,50.684,1570
D19,26,far_control,0,49.531,1570
D19,27,far_control,0,51.804,1570
D19,28,far_control,0,52.372,1570
D19,29,far_control,0,50.293,1570
D19,30,far_control,0,48.193,1570
D19,31,far_control,0,47.763,1570
D19,32,far_control,0,49.634,1570
D19,33,far_control,0,48.737,1570
D19,34,far_control,0,44.921,1570
D19,35,far_control,0,47.744,1570
D20,0,far_control,0,52.175,1600
D20,1,far_control,0,58.291,1600
D20,2,far_control,0,59.447,1600
D20,3,far_control,0,58.38,1600
D20,4,far_control,0,58.683,1600
D20,5,far_control,0,57.431,1600
D20,6,far_control,0,55.529,1600
D20,7,far_control,0,53.62,1600
D20,8,far_control,0,52.629,1600
D20,9,far_control,0,52.752,1600
D20,10,far_control,0,51.25,1600
D20,11,far_control,0,53.144,1600
D20,12,far_control,0,56.042,1600
D20,13,far_control,0,58.927,1600
D20,14,far_control,0,59.265,1600
D20,15,far_control,0,60.275,1600
D20,16,far_control,0,60.436,1600
D20,17,far_control,0,57.949,1600
D20,18,far_control,0,55.817,1600
D20,19,far_control,0,56.374,1600
D20,20,far_control,0,56.098,1600
D20,21,far_control,0,54.859,1600
D20,22,far_control,0,54.381,1600
D20,23,far_control,0,54.552,1600
D20,24,far_control,0,58.157,1600
D20,25,far_control,0,60.943,1600
D20,26,far_control,0,64.385,1600
D20,27,far_control,0,64.894,1600
D20,28,far_control,0,63.961,1600
D20,29,far_control,0,62.584,1600
D20,30,far_control,0,60.568,1600
D20,31,far_control,0,58.832,1600
D20,32,far_control,0,59.532,1600
D20,33,far_control,0,60.108,1600
D20,34,far_control,0,59.003,1600
D20,35,far_control,0,58.924,1600
D21,0,far_control,0,60.153,1630
D21,1,far_control,0,63.693,1630
D21,2,far_control,0,62.725,1630
D21,3,far_control,0,63.891,1630
D21,4,far_control,0,62.824,1630
D21,5,far_control,0,61.085,1630
D21,6,far_control,0,64.453,1630
D21,7,far_control,0,62.548,1630
D21,8,far_control,0,59.195,1630
D21,9,far_control,0,59.561,1630
D21,10,far_control,0,59.859,1630
D21,11,far_control,0,60.95,1630
D21,12,far_control,0,58.715,1630
D21,13,far_control,0,61.377,1630
D21,14,far_control,0,61.639,1630
D21,15,far_control,0,63.68,1630
D21,16,far_control,0,61.574,1630
D21,17,far_control,0,60.29,1630
D21,18,far_control,0,61.617,1630
D21,19,far_control,0,61.789,1630
D21,20,far_control,0,59.738,1630
D21,21,far_control,0,55.964,1630
D21,22,far_control,0,57.968,1630
D21,23,far_control,0,59.87,1630
D21,24,far_control,0,63.852,1630
D21,25,far_control,0,62.768,1630
D21,26,far_control,0,65.087,1630
D21,27,far_control,0,65.92,1630
D21,28,far_control,0,65.289,1630
D21,29,far_control,0,65.705,1630
D21,30,far_control,0,64.786,1630
D21,31,far_control,0,59.807,1630
D21,32,far_control,0,61.177,1630
D21,33,far_control,0,60.474,1630
D21,34,far_control,0,65.107,1630
