person_id,severity,baseline_burden,access,age,support,followup_burden,contact_after,responded_after
P0062,8.55,56.42,1,65.0,1,72.77,2.3,0
P0063,1.8,46.98,1,29.3,0,61.79,1.64,0
P0064,9.58,60.96,1,54.9,1,69.02,2.72,0
P0065,9.71,66.62,1,41.0,1,95.34,2.8,0
P0066,1.44,47.53,1,47.4,1,48.43,2.76,1
P0067,0.87,42.28,1,31.5,0,56.27,2.02,0
P0068,0.81,25.51,1,39.8,0,23.05,1.81,1
P0069,0.42,26.89,1,33.1,0,28.23,2.94,1
P0070,8.08,52.97,0,50.6,1,73.83,2.88,1
P0071,7.7,53.16,1,62.8,1,60.03,3.47,1
P0072,5.26,70.11,0,56.2,1,79.95,3.85,0
P0073,5.05,60.78,1,56.5,0,72.12,2.62,0
P0074,4.22,59.41,1,44.3,0,73.1,2.09,0
P0075,3.53,60.34,1,58.2,1,42.19,3.18,1
P0076,4.81,66.8,1,61.6,0,81.87,2.5,0
P0077,3.68,49.32,0,63.8,0,51.65,2.19,1
P0078,0.0,40.89,1,65.5,0,28.25,2.21,1
P0079,6.8,59.95,1,41.4,1,71.35,2.96,0
P0080,4.99,58.33,1,59.3,1,66.61,2.26,0
P0081,2.45,41.5,1,38.8,1,38.96,2.47,1
P0082,7.5,43.23,1,55.9,1,59.1,3.21,1
P0083,6.46,70.79,0,46.5,0,85.93,2.06,0
P0084,1.63,51.06,0,34.4,0,62.77,1.66,0
P0085,7.39,62.34,1,65.2,1,77.05,2.94,0
P0086,1.65,44.68,1,54.6,1,57.42,1.67,0
P0087,6.93,77.1,1,65.5,1,84.77,2.77,1
P0088,5.91,49.14,1,63.2,0,59.57,2.05,0
P0089,1.02,46.2,1,37.8,0,65.53,1.65,0
P0090,0.73,46.36,0,41.8,0,41.35,2.09,1
P0091,9.99,80.93,1,68.9,1,93.09,2.89,0
P0092,7.85,48.13,1,34.7,1,60.05,2.95,0
P0093,4.67,49.43,0,32.8,0,66.9,2.0,1
P0094,9.83,80.53,0,66.8,1,97.5,2.45,0
P0095,2.43,57.94,0,42.7,0,64.14,2.01,1
P0096,2.68,48.4,0,56.0,0,52.55,2.14,1
P0097,2.02,47.62,1,37.9,0,54.66,2.53,1
P0098,3.1,52.79,0,27.9,1,52.01,2.84,1
P0099,9.85,75.1,1,47.0,1,81.26,2.72,0
P0100,3.74,33.69,1,47.4,1,31.25,3.75,1
P0101,9.69,55.94,1,31.2,1,78.46,2.86,0
P0102,3.51,63.35,0,65.9,0,72.62,2.49,0
P0103,6.2,66.74,0,64.9,1,70.57,3.37,0
P0104,2.77,49.99,1,22.9,0,55.81,1.56,0
P0105,6.01,68.02,1,41.1,0,80.07,1.93,0
P0106,3.04,54.24,0,56.5,0,62.76,2.04,0
P0107,2.52,47.39,0,68.9,0,49.64,1.07,0
P0108,9.77,70.56,0,56.6,1,88.16,2.74,0
P0109,2.0,61.81,0,23.5,0,62.82,1.32,0
P0110,4.22,55.4,0,54.9,1,60.12,3.06,1
P0111,6.84,42.89,1,48.3,1,36.21,2.22,1
P0112,6.12,64.62,1,62.7,1,72.76,2.48,0
P0113,8.07,71.21,1,30.5,1,78.85,2.32,0
P0114,7.42,68.27,0,49.1,1,80.25,3.19,0
P0115,0.51,43.8,1,20.5,0,38.89,2.05,1
P0116,2.31,48.02,1,61.8,1,50.0,2.37,1
P0117,0.72,51.09,0,27.2,0,59.98,1.98,1
P0118,2.34,51.97,0,28.3,0,42.79,1.87,1
P0119,1.6,39.2,0,36.0,0,40.28,2.17,1
P0120,0.14,51.84,1,46.9,1,51.33,3.3,0
P0121,2.02,48.51,1,69.1,0,48.18,1.36,1
P0122,9.49,69.63,1,56.0,1,93.47,2.67,0
P0123,8.2,61.34,1,20.4,1,72.02,2.91,0
P0124,0.06,45.68,0,47.3,0,33.04,1.78,1
P0125,9.7,64.34,1,42.0,1,81.7,2.25,0
P0126,2.01,40.97,0,59.2,0,31.94,1.4,1
P0127,5.83,43.84,1,27.3,1,41.45,2.96,1
P0128,0.97,42.07,0,68.4,1,47.73,2.78,0
P0129,1.13,30.47,0,31.5,0,24.88,1.92,1
P0130,9.0,63.68,1,55.5,1,88.29,2.64,0
P0131,0.54,38.4,0,26.6,0,35.61,2.37,1
P0132,0.22,37.16,0,51.2,0,47.39,2.62,1
P0133,0.56,46.34,0,48.4,0,49.81,1.66,1
P0134,5.92,73.38,1,21.9,1,71.15,1.91,0
P0135,7.56,53.25,1,61.5,1,62.38,2.57,1
P0136,4.89,73.01,1,42.5,0,91.56,1.84,0
P0137,7.31,71.84,1,41.4,1,76.79,1.85,0
P0138,0.8,39.31,0,51.1,0,44.76,0.65,1
P0139,2.01,50.75,1,69.1,0,56.43,1.66,0
P0140,8.13,60.99,1,61.8,1,78.54,2.66,0
P0141,9.96,76.01,0,67.3,1,88.7,3.19,0
P0142,7.0,68.53,0,55.0,1,88.96,3.01,0
P0143,3.62,59.63,1,41.3,1,48.78,3.57,0
P0144,4.55,62.56,1,55.8,1,64.06,3.05,0
P0145,1.47,54.32,0,56.2,0,52.34,2.03,0
P0146,5.15,47.5,1,22.3,1,54.85,2.33,0
P0147,1.94,47.71,1,30.2,0,66.24,1.95,1
P0148,1.29,53.67,0,37.4,1,36.0,2.79,1
P0149,3.15,41.25,1,33.2,0,42.29,1.4,1
P0150,7.38,48.59,0,69.3,1,55.67,2.23,1
P0151,6.28,65.1,1,32.2,1,67.09,3.28,1
P0152,8.4,57.33,1,35.8,1,59.18,3.54,1
P0153,8.5,61.66,1,20.7,1,69.6,2.62,0
P0154,7.31,50.61,1,41.8,1,50.33,3.36,1
P0155,6.74,69.2,1,21.4,1,80.66,2.89,0
P0156,8.32,57.66,0,60.4,1,78.02,3.54,0
P0157,4.15,61.3,0,58.7,0,63.49,2.28,0
P0158,3.88,59.12,1,27.8,0,72.2,1.33,0
P0159,2.52,52.92,1,37.7,0,66.42,1.55,0
P0160,6.09,61.49,0,26.2,1,61.2,2.99,1
P0161,2.93,68.57,1,55.6,0,63.74,2.32,0
P0162,1.51,53.47,0,51.0,0,50.2,1.98,1
P0163,7.82,65.65,1,24.4,1,83.45,2.76,0
P0164,2.08,38.2,1,51.3,0,51.11,1.94,1
P0165,6.0,66.67,1,52.0,0,83.01,1.84,0
P0166,4.95,54.05,0,69.2,0,69.28,1.8,0
P0167,2.72,58.64,0,66.8,0,65.26,1.52,1
P0168,7.3,56.28,1,21.6,1,71.09,3.32,0
P0169,2.08,31.05,0,37.4,1,31.99,2.76,1
P0170,5.04,54.14,0,37.8,1,58.42,3.09,1
P0171,1.77,54.95,0,38.3,0,58.48,2.18,1
P0172,7.58,69.13,0,41.0,1,79.99,2.96,1
P0173,2.36,45.59,1,60.3,0,50.81,1.6,1
P0174,7.9,58.82,0,23.8,1,68.53,2.77,1
P0175,1.33,47.98,0,57.5,0,58.85,2.29,1
P0176,4.02,52.08,1,45.4,1,53.68,3.33,1
P0177,3.79,40.66,1,34.1,1,48.48,3.21,1
P0178,5.46,69.25,1,46.0,1,78.44,2.97,0
P0179,2.61,42.84,1,52.7,0,53.89,2.91,1
P0180,3.64,56.0,0,66.6,0,65.13,2.43,0
P0181,6.55,57.31,0,43.6,1,62.01,2.0,0
P0182,1.68,45.98,0,26.0,0,50.38,1.79,1
P0183,8.39,71.74,1,20.2,1,95.88,1.86,0
P0184,2.92,61.26,1,57.1,0,72.57,1.72,0
P0185,2.37,38.27,1,39.6,1,51.48,2.22,1
P0186,3.99,48.69,1,32.3,1,33.81,1.84,1
P0187,3.22,45.01,0,50.6,1,51.64,3.36,1
P0188,0.8,46.4,0,45.4,0,46.3,2.45,1
P0189,7.98,71.13,1,41.1,1,81.58,2.55,0
P0190,6.59,71.45,1,43.8,1,85.63,3.24,0
P0191,8.15,71.23,1,43.4,1,83.8,3.08,0
P0192,0.25,52.71,1,32.9,1,27.07,3.55,1
P0193,7.78,72.93,0,31.7,1,75.67,2.65,0
P0194,7.73,70.02,1,20.5,1,80.77,2.66,0
P0195,5.51,49.83,0,26.7,1,44.91,3.22,1
P0196,5.09,50.31,0,66.3,1,64.65,3.16,0
P0197,2.16,57.07,0,20.2,0,62.85,2.66,0
P0198,7.79,66.54,0,61.0,1,72.35,3.44,0
P0199,0.97,53.19,1,69.6,0,55.95,2.97,1
P0200,0.87,57.04,0,24.8,0,55.94,2.23,1
P0201,3.2,48.22,1,53.0,1,46.25,3.29,1
P0202,9.51,74.88,0,38.9,1,84.1,2.87,0
P0203,2.38,47.55,1,30.4,1,60.88,2.81,0
P0204,5.46,67.83,1,20.3,1,76.72,2.63,1
P0205,8.18,70.45,0,52.5,1,83.19,2.86,0
P0206,4.67,70.19,0,28.4,0,88.51,1.4,0
P0207,2.9,44.03,1,47.7,1,46.35,3.15,1
P0208,2.52,41.54,0,45.8,1,46.73,2.66,1
P0209,4.74,58.1,0,63.2,0,66.02,1.36,0
P0210,4.07,40.7,1,28.3,0,57.54,1.67,0
P0211,8.65,60.61,1,49.4,1,83.7,2.82,0
P0212,3.58,44.19,0,65.9,0,36.63,2.28,1
P0213,6.2,55.71,1,65.1,1,68.28,3.16,0
P0214,7.11,63.17,1,44.7,1,69.54,3.34,1
P0215,8.95,64.14,1,48.1,1,78.15,3.0,0
P0216,8.93,64.04,0,43.4,1,74.66,2.86,0
P0217,3.28,46.2,1,61.0,0,45.07,2.62,1
P0218,4.25,43.34,1,54.7,1,52.04,2.2,1
P0219,6.48,51.0,1,34.6,1,60.9,3.67,1
P0220,4.3,49.21,1,36.9,1,52.42,2.86,1
P0221,8.09,59.1,1,63.6,1,75.21,1.0,0
P0222,0.92,49.49,1,56.3,0,53.32,2.0,1
P0223,8.37,69.46,0,58.8,1,69.97,2.8,1
P0224,6.11,73.16,1,61.8,1,77.28,1.99,0
P0225,2.54,59.52,0,48.9,0,61.81,1.94,0
P0226,5.9,47.38,1,55.0,1,49.98,2.65,1
P0227,0.31,42.16,0,32.8,0,25.42,2.25,1
P0228,6.6,71.87,1,39.1,1,91.67,2.0,1
P0229,3.44,60.77,0,39.5,1,52.27,2.95,1
P0230,1.06,53.11,0,23.3,0,57.49,1.34,1
P0231,6.3,64.1,1,58.9,1,75.45,2.72,0
P0232,6.24,60.71,0,58.9,0,76.56,1.71,0
P0233,7.53,71.89,0,59.5,1,69.85,2.58,0
P0234,4.6,59.93,1,36.1,1,65.5,2.78,1
P0235,3.07,45.38,1,20.3,0,56.63,2.5,0
P0236,4.0,54.59,1,53.2,0,68.94,1.61,1
P0237,9.74,77.43,1,62.4,1,92.6,3.18,0
P0238,6.8,61.14,1,66.1,1,68.5,2.83,0
P0239,3.91,58.38,0,55.7,0,56.23,2.52,1
P0240,0.15,47.38,0,30.9,0,50.61,1.94,1
P0241,3.53,49.84,0,56.3,0,54.07,1.88,1
P0242,0.34,46.7,1,64.2,0,32.21,2.16,1
P0243,5.83,47.46,1,24.7,1,63.92,2.54,1
P0244,5.26,76.33,1,61.3,1,89.06,4.23,0
P0245,4.81,50.96,0,68.1,0,59.41,2.01,1
P0246,3.18,43.39,0,47.1,0,46.78,2.41,1
P0247,4.12,56.46,1,62.3,1,65.18,3.31,1
P0248,4.52,59.75,1,26.9,1,67.0,2.69,0
P0249,8.79,61.16,1,63.0,1,64.43,2.71,1
P0250,6.22,61.28,1,22.8,1,85.93,2.63,0
P0251,1.82,40.59,1,69.9,0,38.31,2.47,1
P0252,3.62,50.97,0,68.5,0,56.6,1.97,1
P0253,2.23,45.39,0,55.9,0,54.64,2.05,1
P0254,2.2,51.78,0,62.9,0,42.01,1.99,1
P0255,3.03,43.94,0,47.7,0,48.88,2.02,0
P0256,6.3,57.49,1,27.0,1,66.45,2.4,0
P0257,1.92,47.86,0,57.1,1,36.98,2.54,1
P0258,8.13,66.65,1,48.4,1,85.87,3.0,0
P0259,1.77,44.67,1,43.5,0,45.53,1.67,1
P0260,4.65,65.92,0,63.0,0,79.22,1.79,0
P0261,7.98,64.31,0,34.7,1,84.83,3.06,0
P0262,2.91,48.54,1,54.1,0,67.09,2.39,1
P0263,7.81,71.79,0,48.4,1,84.16,3.43,0
P0264,3.74,54.56,1,39.3,0,67.51,1.55,1
P0265,2.86,46.74,1,69.2,1,54.36,2.22,1
P0266,7.43,57.04,1,35.3,1,62.11,2.46,1
P0267,9.72,73.03,1,27.9,1,89.05,2.82,0
P0268,6.22,51.73,1,50.0,1,52.47,2.35,1
P0269,0.6,47.33,0,59.0,0,45.35,2.38,0
P0270,0.53,30.85,1,30.5,1,33.35,2.7,1
P0271,8.83,67.36,0,49.5,1,74.68,3.1,0
P0272,9.85,69.49,1,54.2,1,90.03,3.04,0
P0273,4.77,52.25,1,67.5,1,48.38,3.08,1
P0274,6.79,53.66,1,56.2,0,70.95,1.89,1
P0275,1.17,38.02,1,43.8,0,38.2,1.84,1
P0276,9.58,75.59,0,24.1,1,96.99,2.81,0
P0277,8.72,66.0,1,37.3,1,76.7,3.71,0
P0278,3.38,41.1,0,57.8,1,47.12,2.69,1
P0279,6.06,55.3,0,43.8,1,65.85,2.85,1
P0280,8.17,58.15,1,28.9,1,76.14,2.9,1
P0281,3.82,40.84,0,36.6,1,32.74,2.44,1
P0282,5.84,62.52,1,45.4,1,67.63,2.28,0
P0283,6.74,50.98,0,34.5,1,65.44,2.53,1
P0284,7.76,60.76,1,34.9,1,72.99,3.32,0
P0285,0.87,46.68,1,43.7,0,47.94,2.03,1
P0286,1.74,40.54,0,34.2,1,36.34,2.6,1
P0287,9.32,72.63,0,67.0,1,90.63,2.87,0
P0288,1.08,49.81,1,56.0,0,45.14,2.15,1
P0289,7.83,53.26,0,33.7,1,66.98,1.94,1
P0290,7.39,52.21,0,21.2,1,69.41,3.44,0
P0291,0.56,43.9,1,62.8,0,42.87,1.83,1
P0292,0.16,48.94,1,69.3,0,56.91,1.51,1
P0293,2.55,46.6,1,26.9,0,47.68,1.76,1
P0294,7.74,59.06,1,21.7,1,68.8,2.96,0
P0295,4.12,50.53,1,61.7,0,62.28,1.63,0
P0296,0.72,46.07,0,64.7,0,27.83,2.26,1
P0297,1.58,36.39,0,66.1,0,30.39,2.02,1
P0298,5.99,55.89,0,34.8,1,61.56,3.12,1
P0299,8.13,70.02,1,68.1,1,91.44,2.27,0
P0300,4.42,35.02,0,67.8,0,49.45,2.09,1
P0301,7.14,64.48,1,61.0,1,61.59,3.49,0
P0302,2.08,44.14,0,63.1,0,52.3,2.15,1
P0303,0.3,33.39,0,30.9,0,49.87,1.59,0
P0304,4.35,44.69,0,62.4,0,58.91,2.79,1
P0305,9.74,69.75,1,65.9,1,71.6,2.88,0
P0306,9.15,73.49,1,32.1,1,95.68,3.06,0
P0307,9.6,70.46,0,41.2,1,83.69,3.16,0
P0308,6.89,45.73,1,65.6,1,49.04,3.75,1
P0309,1.51,52.29,1,52.7,1,53.69,2.92,1
P0310,3.82,44.39,1,40.3,0,54.4,3.25,0
P0311,8.55,60.24,0,40.2,1,63.54,2.62,1
P0312,0.46,32.52,0,61.7,0,26.41,3.1,1
P0313,5.87,52.13,1,50.4,1,61.16,2.7,1
P0314,3.45,47.1,1,55.0,0,47.53,1.87,1
P0315,8.96,78.03,1,24.8,1,85.61,2.94,0
P0316,1.52,43.86,1,38.8,1,42.1,1.99,1
P0317,8.26,72.5,1,45.6,1,95.63,2.83,0
P0318,0.03,45.8,1,34.6,0,42.76,2.76,1
P0319,9.39,68.48,1,54.1,1,77.84,2.79,0
P0320,1.03,39.55,0,62.5,0,47.94,2.22,0
P0321,1.24,53.1,1,41.9,1,61.88,2.98,0
P0322,0.7,31.2,1,42.1,0,21.84,1.27,1
P0323,6.21,61.53,0,37.1,0,83.96,1.66,0
P0324,0.7,47.32,1,57.4,1,51.76,1.68,1
P0325,6.13,61.61,1,45.4,1,70.27,3.4,1
P0326,8.34,66.06,0,44.1,1,87.75,2.43,0
P0327,1.87,48.41,0,29.1,0,51.79,1.39,1
P0328,4.95,54.86,1,37.6,1,50.82,2.1,0
P0329,5.42,54.89,1,24.0,0,67.5,2.43,1
P0330,8.48,63.01,0,21.8,1,67.78,2.6,0
P0331,0.74,31.79,0,49.8,0,37.71,1.49,1
P0332,7.23,59.54,1,52.7,1,65.45,2.67,1
P0333,5.98,45.17,1,39.9,1,55.35,2.98,1
P0334,1.98,50.88,1,24.2,0,55.68,2.36,1
P0335,8.1,79.23,0,23.1,0,92.48,2.53,0
P0336,2.2,37.54,1,30.4,0,39.72,2.29,1
P0337,5.76,53.58,1,54.2,1,62.0,3.43,0
P0338,2.79,53.33,1,26.7,1,52.34,3.13,1
P0339,7.27,63.2,1,22.0,1,65.85,3.08,0
P0340,2.15,49.48,1,60.2,1,52.39,3.06,1
P0341,3.81,43.08,1,39.0,1,46.35,3.08,1
P0342,3.4,45.67,1,58.2,0,48.75,2.22,1
P0343,6.48,61.77,0,58.7,1,69.6,3.02,0
P0344,0.54,40.92,0,30.0,0,50.95,2.11,0
P0345,2.35,37.46,1,22.1,1,35.5,2.29,1
P0346,4.5,48.89,1,59.5,1,49.89,2.3,1
P0347,5.51,54.8,1,35.1,1,56.52,3.11,1
P0348,3.47,46.63,0,43.9,0,51.28,2.7,1
P0349,3.76,36.5,1,61.1,1,34.93,2.34,1
P0350,8.54,58.75,1,24.3,1,75.48,3.99,0
P0351,5.5,57.88,0,65.9,1,64.23,3.53,0
P0352,1.38,43.87,1,56.6,0,48.78,1.99,1
P0353,3.41,54.34,0,24.9,0,69.16,1.24,0
P0354,7.46,62.21,0,35.3,0,75.6,1.6,0
P0355,3.95,52.51,1,60.5,1,56.78,2.69,1
P0356,4.49,55.4,1,42.1,0,64.45,1.66,1
P0357,0.15,43.97,0,48.7,0,54.76,1.64,1
P0358,2.37,57.75,1,47.9,0,58.19,2.08,1
P0359,5.5,56.1,1,26.5,0,61.24,1.75,0
P0360,6.23,58.87,0,65.4,0,61.86,2.5,1
P0361,5.13,71.37,0,46.6,1,78.09,2.13,1
P0362,1.57,48.91,1,65.4,0,58.05,1.74,1
P0363,4.94,32.62,0,48.5,0,38.73,1.71,1
P0364,4.32,49.84,1,35.5,1,69.09,2.65,1
P0365,1.37,37.53,1,30.6,1,34.9,3.05,1
P0366,4.99,43.01,0,58.1,1,48.99,1.97,1
P0367,4.62,66.05,1,47.0,1,76.52,2.43,0
P0368,4.44,60.47,0,35.6,1,72.61,3.6,0
P0369,9.91,57.76,1,69.9,1,69.91,2.5,0
P0370,4.56,52.4,1,54.7,1,45.28,2.03,1
P0371,9.7,73.05,1,49.0,1,72.88,2.94,0
P0372,0.37,42.37,1,31.1,0,54.63,1.8,1
P0373,8.29,70.25,1,21.7,0,91.42,1.65,0
P0374,9.29,68.94,1,36.6,1,90.67,2.99,0
P0375,6.18,68.03,1,45.6,1,78.19,3.58,0
P0376,8.44,66.86,1,40.8,1,82.7,3.51,0
P0377,0.15,42.77,0,32.5,1,32.66,2.58,1
P0378,8.52,53.18,0,35.2,1,65.33,3.01,1
P0379,6.56,54.6,1,27.0,1,62.05,2.57,1
P0380,2.97,52.57,1,61.6,0,63.73,2.28,1
P0381,9.08,73.98,0,31.8,1,87.12,2.66,0
P0382,2.29,34.88,1,61.1,0,37.5,1.59,1
P0383,2.68,64.17,0,68.9,1,59.89,3.49,0
P0384,1.82,46.11,0,39.0,0,43.36,1.59,1
P0385,1.58,53.87,0,32.9,0,60.63,1.29,0
P0386,9.22,72.09,0,43.1,1,86.47,3.25,0
P0387,8.09,54.4,1,36.0,1,65.66,2.5,1
P0388,0.88,53.79,0,27.4,0,40.88,2.1,1
P0389,0.53,39.2,0,43.2,0,34.51,2.33,1
P0390,4.1,53.6,0,24.5,0,58.79,2.32,0
P0391,0.21,34.35,0,23.3,0,25.0,1.88,1
P0392,3.73,64.68,0,54.2,0,74.22,1.62,0
P0393,3.82,44.17,1,47.8,0,45.93,2.15,1
P0394,3.23,40.07,1,37.6,0,53.23,1.92,0
P0395,6.28,45.37,1,66.4,1,55.46,1.69,1
P0396,5.89,62.66,1,32.5,0,70.33,1.76,0
P0397,0.98,39.39,1,35.0,0,40.63,1.78,1
P0398,5.23,51.61,0,38.6,0,59.77,1.38,1
P0399,0.24,39.62,0,41.6,0,47.28,1.94,1
P0400,9.56,45.46,1,51.9,1,50.02,2.72,0
P0401,2.23,47.29,0,56.4,0,48.73,2.25,1
P0402,7.58,67.08,1,52.3,1,89.71,2.85,1
P0403,5.23,55.29,1,44.9,1,48.86,2.8,1
P0404,5.57,57.92,1,28.9,1,64.29,2.85,1
P0405,9.75,67.31,1,20.5,1,85.57,3.18,0
P0406,7.42,66.07,1,24.2,1,79.87,3.02,0
P0407,9.78,77.46,0,39.1,1,97.93,3.31,0
P0408,6.8,66.78,0,65.3,1,79.59,3.25,1
P0409,1.62,43.02,0,49.5,0,54.92,2.17,1
P0410,7.25,61.78,1,35.0,1,83.06,2.26,0
P0411,0.25,37.31,1,21.0,0,34.04,2.06,1
P0412,6.82,45.38,0,22.1,1,60.64,2.68,0
P0413,3.51,62.81,1,27.1,1,67.15,2.45,1
P0414,6.37,61.04,1,64.0,1,67.94,2.62,0
P0415,0.82,56.33,1,24.3,0,54.87,1.52,1
P0416,8.44,59.13,1,62.0,1,65.02,2.91,1
P0417,8.78,43.27,1,20.5,1,37.09,3.45,1
P0418,9.24,90.03,1,60.5,1,113.06,2.88,0
P0419,8.13,77.88,1,60.0,1,102.34,3.03,0
P0420,9.71,66.55,1,33.7,1,87.77,2.74,0
P0421,9.86,66.17,0,48.4,1,77.91,3.07,0
P0422,0.7,32.25,1,22.0,0,31.65,0.92,1
P0423,5.23,50.8,1,31.5,1,39.18,2.95,1
P0424,9.8,56.81,1,46.7,1,79.32,3.35,0
P0425,9.73,38.29,1,67.9,1,50.56,1.99,1
P0426,1.68,45.21,1,69.1,1,46.48,2.39,1
P0427,2.64,37.54,0,61.7,1,40.77,4.04,1
P0428,7.42,62.55,0,21.8,0,86.0,0.81,0
P0429,8.44,60.72,0,49.0,1,80.22,2.9,0
P0430,0.55,44.86,0,61.1,0,49.02,2.62,1
P0431,7.03,68.02,1,58.1,1,71.84,2.82,1
P0432,0.41,41.28,1,57.0,0,39.9,2.15,1
P0433,2.33,49.94,0,47.7,0,62.21,1.78,0
P0434,6.98,52.33,0,53.6,1,60.75,2.94,1
P0435,4.51,46.67,1,47.6,1,48.2,2.68,1
P0436,2.89,45.14,1,31.8,1,43.8,3.21,1
P0437,0.98,36.96,1,53.5,0,28.98,2.52,1
P0438,2.78,62.66,1,63.7,1,59.03,2.9,0
P0439,8.74,65.76,1,34.4,1,83.96,3.75,0
P0440,6.89,63.99,1,43.8,1,58.75,3.17,1
P0441,3.2,52.09,0,29.6,0,51.19,1.23,1
P0442,4.52,63.71,0,47.0,0,77.59,1.96,0
P0443,7.78,69.99,1,49.6,1,85.28,2.6,0
P0444,5.39,59.02,0,39.5,0,66.82,2.69,0
P0445,0.65,20.96,0,38.1,0,21.06,2.31,1
P0446,1.92,46.37,0,51.7,1,44.61,2.52,1
P0447,6.11,60.27,1,36.4,1,69.07,2.79,0
P0448,7.67,68.47,0,27.8,1,87.25,3.22,0
P0449,3.27,41.56,1,33.4,0,46.71,1.59,1
P0450,6.08,62.91,0,49.2,1,69.58,2.55,1
P0451,2.3,44.04,0,35.5,1,65.45,2.71,1
P0452,3.35,43.34,1,24.3,1,51.47,3.15,1
P0453,7.7,65.34,0,39.6,1,54.27,2.68,1
P0454,3.33,37.9,0,38.0,0,53.58,1.04,0
P0455,8.1,67.73,1,32.8,1,92.05,2.59,0
P0456,2.94,46.26,0,45.1,0,47.63,2.53,1
P0457,6.86,52.74,0,65.1,1,62.66,3.15,1
P0458,2.22,43.82,1,20.9,0,61.7,2.51,0
P0459,1.43,52.54,1,30.7,0,55.99,2.06,0
P0460,8.6,61.7,1,54.3,1,82.37,2.06,0
P0461,3.93,47.59,1,54.6,1,46.16,2.35,1
P0462,2.34,54.1,1,48.7,0,47.84,2.18,1
P0463,3.2,56.49,0,40.1,0,65.12,2.44,0
