contact_id,ticket_id,contact_sequence,contact_type,contact_date,staff_minutes
T00053-1,T00053,1,首次受理,2026-03-02,7.43
T00054-1,T00054,1,首次受理,2026-03-02,4.52
T00055-1,T00055,1,首次受理,2026-03-02,9.82
T00056-1,T00056,1,首次受理,2026-03-02,2.79
T00056-2,T00056,2,补充沟通,2026-03-02,4.07
T00057-1,T00057,1,首次受理,2026-03-02,9.62
T00057-2,T00057,2,补充沟通,2026-03-02,8.11
T00058-1,T00058,1,首次受理,2026-03-02,4.32
T00059-1,T00059,1,首次受理,2026-03-02,10.54
T00060-1,T00060,1,首次受理,2026-03-02,9.77
T00061-1,T00061,1,首次受理,2026-03-02,3.98
T00061-2,T00061,2,补充沟通,2026-03-02,7.11
T00061-3,T00061,3,补充沟通,2026-03-02,13.69
T00062-1,T00062,1,首次受理,2026-03-02,2.9
T00063-1,T00063,1,首次受理,2026-03-02,5.0
T00064-1,T00064,1,首次受理,2026-03-02,7.3
T00065-1,T00065,1,首次受理,2026-03-02,9.3
T00065-2,T00065,2,补充沟通,2026-03-02,18.09
T00066-1,T00066,1,首次受理,2026-03-02,8.25
T00067-1,T00067,1,首次受理,2026-03-02,3.59
T00067-2,T00067,2,补充沟通,2026-03-02,2.61
T00068-1,T00068,1,首次受理,2026-03-02,7.79
T00068-2,T00068,2,补充沟通,2026-03-02,6.57
T00069-1,T00069,1,首次受理,2026-03-02,9.14
T00070-1,T00070,1,首次受理,2026-03-02,3.94
T00071-1,T00071,1,首次受理,2026-03-02,8.5
T00071-2,T00071,2,补充沟通,2026-03-02,2.5
T00072-1,T00072,1,首次受理,2026-03-02,6.37
T00073-1,T00073,1,首次受理,2026-03-02,8.54
T00073-2,T00073,2,补充沟通,2026-03-02,5.5
T00073-3,T00073,3,补充沟通,2026-03-02,12.46
T00074-1,T00074,1,首次受理,2026-03-02,9.6
T00075-1,T00075,1,首次受理,2026-03-02,6.82
T00075-2,T00075,2,补充沟通,2026-03-02,8.91
T00076-1,T00076,1,首次受理,2026-03-02,12.1
T00076-2,T00076,2,补充沟通,2026-03-02,19.02
T00077-1,T00077,1,首次受理,2026-03-02,9.39
T00078-1,T00078,1,首次受理,2026-03-02,6.19
T00079-1,T00079,1,首次受理,2026-03-02,3.16
T00079-2,T00079,2,补充沟通,2026-03-02,3.91
T00080-1,T00080,1,首次受理,2026-03-02,3.49
T00081-1,T00081,1,首次受理,2026-03-02,7.86
T00082-1,T00082,1,首次受理,2026-03-02,4.51
T00082-2,T00082,2,补充沟通,2026-03-02,7.73
T00083-1,T00083,1,首次受理,2026-03-02,9.89
T00083-2,T00083,2,补充沟通,2026-03-02,6.66
T00084-1,T00084,1,首次受理,2026-03-02,5.06
T00084-2,T00084,2,补充沟通,2026-03-02,18.89
T00085-1,T00085,1,首次受理,2026-03-02,6.83
T00086-1,T00086,1,首次受理,2026-03-02,15.02
T00086-2,T00086,2,补充沟通,2026-03-02,18.17
T00086-3,T00086,3,补充沟通,2026-03-02,13.13
T00087-1,T00087,1,首次受理,2026-03-02,6.55
T00087-2,T00087,2,补充沟通,2026-03-02,13.87
T00088-1,T00088,1,首次受理,2026-03-02,6.43
T00089-1,T00089,1,首次受理,2026-03-02,14.84
T00089-2,T00089,2,补充沟通,2026-03-02,7.78
T00090-1,T00090,1,首次受理,2026-03-02,10.7
T00090-2,T00090,2,补充沟通,2026-03-02,11.43
T00090-3,T00090,3,补充沟通,2026-03-02,12.24
T00091-1,T00091,1,首次受理,2026-03-02,7.15
T00092-1,T00092,1,首次受理,2026-03-02,10.8
T00092-2,T00092,2,补充沟通,2026-03-02,18.96
T00092-3,T00092,3,补充沟通,2026-03-02,8.32
T00092-4,T00092,4,补充沟通,2026-03-02,13.09
T00093-1,T00093,1,首次受理,2026-03-02,9.46
T00094-1,T00094,1,首次受理,2026-03-02,14.69
T00094-2,T00094,2,补充沟通,2026-03-02,16.69
T00095-1,T00095,1,首次受理,2026-03-02,5.85
T00095-2,T00095,2,补充沟通,2026-03-02,12.87
T00095-3,T00095,3,补充沟通,2026-03-02,5.48
T00096-1,T00096,1,首次受理,2026-03-02,13.35
T00096-2,T00096,2,补充沟通,2026-03-02,10.52
T00097-1,T00097,1,首次受理,2026-03-02,8.31
T00098-1,T00098,1,首次受理,2026-03-02,4.17
T00098-2,T00098,2,补充沟通,2026-03-02,4.22
T00099-1,T00099,1,首次受理,2026-03-02,5.67
T00100-1,T00100,1,首次受理,2026-03-02,7.28
T00101-1,T00101,1,首次受理,2026-03-02,3.11
T00102-1,T00102,1,首次受理,2026-03-02,7.56
T00103-1,T00103,1,首次受理,2026-03-02,11.04
T00103-2,T00103,2,补充沟通,2026-03-02,3.93
T00103-3,T00103,3,补充沟通,2026-03-02,16.97
T00104-1,T00104,1,首次受理,2026-03-02,5.27
T00104-2,T00104,2,补充沟通,2026-03-02,15.53
T00105-1,T00105,1,首次受理,2026-03-02,7.63
T00105-2,T00105,2,补充沟通,2026-03-02,3.04
T00106-1,T00106,1,首次受理,2026-03-02,17.69
T00106-2,T00106,2,补充沟通,2026-03-02,10.46
T00107-1,T00107,1,首次受理,2026-03-02,9.39
T00108-1,T00108,1,首次受理,2026-03-02,9.28
T00109-1,T00109,1,首次受理,2026-03-02,8.33
T00109-2,T00109,2,补充沟通,2026-03-02,4.27
T00110-1,T00110,1,首次受理,2026-03-02,5.77
T00111-1,T00111,1,首次受理,2026-03-02,12.89
T00111-2,T00111,2,补充沟通,2026-03-02,8.34
T00112-1,T00112,1,首次受理,2026-03-02,18.5
T00112-2,T00112,2,补充沟通,2026-03-02,7.14
T00113-1,T00113,1,首次受理,2026-03-02,10.69
T00114-1,T00114,1,首次受理,2026-03-02,7.24
T00114-2,T00114,2,补充沟通,2026-03-02,6.48
T00115-1,T00115,1,首次受理,2026-03-02,3.98
T00115-2,T00115,2,补充沟通,2026-03-02,4.53
T00116-1,T00116,1,首次受理,2026-03-02,18.98
T00116-2,T00116,2,补充沟通,2026-03-02,5.2
T00117-1,T00117,1,首次受理,2026-03-02,2.56
T00118-1,T00118,1,首次受理,2026-03-02,6.64
T00119-1,T00119,1,首次受理,2026-03-02,6.18
T00119-2,T00119,2,补充沟通,2026-03-02,4.03
T00120-1,T00120,1,首次受理,2026-03-02,14.66
T00120-2,T00120,2,补充沟通,2026-03-02,16.53
T00121-1,T00121,1,首次受理,2026-03-03,9.22
T00122-1,T00122,1,首次受理,2026-03-03,16.84
T00122-2,T00122,2,补充沟通,2026-03-03,15.98
T00123-1,T00123,1,首次受理,2026-03-03,7.51
T00123-2,T00123,2,补充沟通,2026-03-03,19.42
T00124-1,T00124,1,首次受理,2026-03-03,14.0
T00124-2,T00124,2,补充沟通,2026-03-03,8.75
T00125-1,T00125,1,首次受理,2026-03-03,11.82
T00125-2,T00125,2,补充沟通,2026-03-03,10.17
T00125-3,T00125,3,补充沟通,2026-03-03,6.7
T00126-1,T00126,1,首次受理,2026-03-03,5.23
T00126-2,T00126,2,补充沟通,2026-03-03,18.39
T00126-3,T00126,3,补充沟通,2026-03-03,4.19
T00127-1,T00127,1,首次受理,2026-03-03,6.77
T00128-1,T00128,1,首次受理,2026-03-03,13.06
T00128-2,T00128,2,补充沟通,2026-03-03,13.2
T00129-1,T00129,1,首次受理,2026-03-03,13.07
T00129-2,T00129,2,补充沟通,2026-03-03,10.86
T00130-1,T00130,1,首次受理,2026-03-03,13.3
T00130-2,T00130,2,补充沟通,2026-03-03,13.22
T00130-3,T00130,3,补充沟通,2026-03-03,5.89
T00131-1,T00131,1,首次受理,2026-03-03,7.33
T00131-2,T00131,2,补充沟通,2026-03-03,6.69
T00132-1,T00132,1,首次受理,2026-03-03,10.61
T00133-1,T00133,1,首次受理,2026-03-03,14.51
T00133-2,T00133,2,补充沟通,2026-03-03,4.53
T00133-3,T00133,3,补充沟通,2026-03-03,10.8
T00134-1,T00134,1,首次受理,2026-03-03,16.95
T00134-2,T00134,2,补充沟通,2026-03-03,7.67
T00135-1,T00135,1,首次受理,2026-03-03,12.15
T00135-2,T00135,2,补充沟通,2026-03-03,8.91
T00136-1,T00136,1,首次受理,2026-03-03,6.9
T00136-2,T00136,2,补充沟通,2026-03-03,4.34
T00136-3,T00136,3,补充沟通,2026-03-03,8.23
T00136-4,T00136,4,补充沟通,2026-03-03,19.5
T00137-1,T00137,1,首次受理,2026-03-03,17.03
T00137-2,T00137,2,补充沟通,2026-03-03,9.82
T00138-1,T00138,1,首次受理,2026-03-03,18.91
T00138-2,T00138,2,补充沟通,2026-03-03,15.15
T00139-1,T00139,1,首次受理,2026-03-03,13.63
T00139-2,T00139,2,补充沟通,2026-03-03,6.48
T00139-3,T00139,3,补充沟通,2026-03-03,19.39
T00139-4,T00139,4,补充沟通,2026-03-03,9.45
T00140-1,T00140,1,首次受理,2026-03-03,18.06
T00140-2,T00140,2,补充沟通,2026-03-03,6.01
T00141-1,T00141,1,首次受理,2026-03-03,13.65
T00141-2,T00141,2,补充沟通,2026-03-03,13.17
T00142-1,T00142,1,首次受理,2026-03-03,18.54
T00142-2,T00142,2,补充沟通,2026-03-03,4.75
T00143-1,T00143,1,首次受理,2026-03-03,6.65
T00143-2,T00143,2,补充沟通,2026-03-03,10.95
T00144-1,T00144,1,首次受理,2026-03-03,7.13
T00144-2,T00144,2,补充沟通,2026-03-03,6.91
T00145-1,T00145,1,首次受理,2026-03-03,13.93
T00145-2,T00145,2,补充沟通,2026-03-03,17.49
T00145-3,T00145,3,补充沟通,2026-03-03,12.55
T00146-1,T00146,1,首次受理,2026-03-03,6.49
T00146-2,T00146,2,补充沟通,2026-03-03,10.56
T00146-3,T00146,3,补充沟通,2026-03-03,18.61
T00146-4,T00146,4,补充沟通,2026-03-03,5.66
T00147-1,T00147,1,首次受理,2026-03-03,19.4
T00147-2,T00147,2,补充沟通,2026-03-03,10.5
T00147-3,T00147,3,补充沟通,2026-03-03,13.76
T00148-1,T00148,1,首次受理,2026-03-03,9.15
T00148-2,T00148,2,补充沟通,2026-03-03,16.05
T00148-3,T00148,3,补充沟通,2026-03-03,17.68
T00149-1,T00149,1,首次受理,2026-03-03,19.7
T00149-2,T00149,2,补充沟通,2026-03-03,9.54
T00149-3,T00149,3,补充沟通,2026-03-03,13.76
T00150-1,T00150,1,首次受理,2026-03-03,5.08
T00151-1,T00151,1,首次受理,2026-03-03,3.63
T00151-2,T00151,2,补充沟通,2026-03-03,8.73
T00151-3,T00151,3,补充沟通,2026-03-03,9.35
T00152-1,T00152,1,首次受理,2026-03-03,19.17
T00152-2,T00152,2,补充沟通,2026-03-03,9.7
T00153-1,T00153,1,首次受理,2026-03-03,10.96
T00153-2,T00153,2,补充沟通,2026-03-03,14.02
T00154-1,T00154,1,首次受理,2026-03-03,12.29
T00154-2,T00154,2,补充沟通,2026-03-03,18.29
T00154-3,T00154,3,补充沟通,2026-03-03,4.84
T00154-4,T00154,4,补充沟通,2026-03-03,18.1
T00155-1,T00155,1,首次受理,2026-03-03,3.8
T00155-2,T00155,2,补充沟通,2026-03-03,4.27
T00156-1,T00156,1,首次受理,2026-03-03,7.64
T00156-2,T00156,2,补充沟通,2026-03-03,14.32
T00157-1,T00157,1,首次受理,2026-03-03,2.13
T00157-2,T00157,2,补充沟通,2026-03-03,7.0
T00158-1,T00158,1,首次受理,2026-03-03,5.79
T00158-2,T00158,2,补充沟通,2026-03-03,18.76
T00159-1,T00159,1,首次受理,2026-03-03,14.59
T00159-2,T00159,2,补充沟通,2026-03-03,6.22
T00159-3,T00159,3,补充沟通,2026-03-03,10.88
T00159-4,T00159,4,补充沟通,2026-03-03,4.75
T00160-1,T00160,1,首次受理,2026-03-03,2.31
T00161-1,T00161,1,首次受理,2026-03-03,3.73
T00162-1,T00162,1,首次受理,2026-03-03,4.61
T00163-1,T00163,1,首次受理,2026-03-03,3.58
T00164-1,T00164,1,首次受理,2026-03-03,11.39
T00164-2,T00164,2,补充沟通,2026-03-03,14.12
T00164-3,T00164,3,补充沟通,2026-03-03,17.44
T00165-1,T00165,1,首次受理,2026-03-03,4.42
T00166-1,T00166,1,首次受理,2026-03-03,2.33
T00167-1,T00167,1,首次受理,2026-03-03,8.4
T00168-1,T00168,1,首次受理,2026-03-03,19.67
T00168-2,T00168,2,补充沟通,2026-03-03,19.03
T00168-3,T00168,3,补充沟通,2026-03-03,12.56
T00169-1,T00169,1,首次受理,2026-03-03,10.99
T00169-2,T00169,2,补充沟通,2026-03-03,11.5
T00169-3,T00169,3,补充沟通,2026-03-03,6.1
T00170-1,T00170,1,首次受理,2026-03-03,7.5
T00171-1,T00171,1,首次受理,2026-03-03,6.94
T00172-1,T00172,1,首次受理,2026-03-03,7.0
T00173-1,T00173,1,首次受理,2026-03-03,10.55
T00174-1,T00174,1,首次受理,2026-03-03,8.04
T00174-2,T00174,2,补充沟通,2026-03-03,6.29
T00174-3,T00174,3,补充沟通,2026-03-03,7.19
T00175-1,T00175,1,首次受理,2026-03-03,6.79
T00176-1,T00176,1,首次受理,2026-03-03,4.97
T00176-2,T00176,2,补充沟通,2026-03-03,10.97
T00177-1,T00177,1,首次受理,2026-03-03,2.48
T00178-1,T00178,1,首次受理,2026-03-03,4.76
T00179-1,T00179,1,首次受理,2026-03-03,9.17
T00180-1,T00180,1,首次受理,2026-03-03,7.51
T00181-1,T00181,1,首次受理,2026-03-03,14.06
T00181-2,T00181,2,补充沟通,2026-03-03,18.37
T00181-3,T00181,3,补充沟通,2026-03-03,4.1
T00182-1,T00182,1,首次受理,2026-03-03,5.06
T00183-1,T00183,1,首次受理,2026-03-03,2.92
T00184-1,T00184,1,首次受理,2026-03-03,14.46
T00184-2,T00184,2,补充沟通,2026-03-03,10.94
T00184-3,T00184,3,补充沟通,2026-03-03,14.17
T00185-1,T00185,1,首次受理,2026-03-03,12.28
T00185-2,T00185,2,补充沟通,2026-03-03,5.45
T00186-1,T00186,1,首次受理,2026-03-03,10.79
T00186-2,T00186,2,补充沟通,2026-03-03,5.1
T00187-1,T00187,1,首次受理,2026-03-03,5.44
T00188-1,T00188,1,首次受理,2026-03-03,2.94
T00189-1,T00189,1,首次受理,2026-03-03,8.67
T00190-1,T00190,1,首次受理,2026-03-03,2.43
T00191-1,T00191,1,首次受理,2026-03-03,16.43
T00191-2,T00191,2,补充沟通,2026-03-03,11.25
T00191-3,T00191,3,补充沟通,2026-03-03,7.41
T00192-1,T00192,1,首次受理,2026-03-03,18.65
T00192-2,T00192,2,补充沟通,2026-03-03,9.32
T00193-1,T00193,1,首次受理,2026-03-03,11.84
T00193-2,T00193,2,补充沟通,2026-03-03,10.94
T00193-3,T00193,3,补充沟通,2026-03-03,16.93
T00194-1,T00194,1,首次受理,2026-03-03,10.0
T00195-1,T00195,1,首次受理,2026-03-03,12.0
T00195-2,T00195,2,补充沟通,2026-03-03,11.42
T00196-1,T00196,1,首次受理,2026-03-03,6.07
T00197-1,T00197,1,首次受理,2026-03-03,4.76
T00197-2,T00197,2,补充沟通,2026-03-03,6.61
T00198-1,T00198,1,首次受理,2026-03-03,2.1
T00198-2,T00198,2,补充沟通,2026-03-03,4.01
T00199-1,T00199,1,首次受理,2026-03-03,9.42
T00199-2,T00199,2,补充沟通,2026-03-03,8.95
T00199-3,T00199,3,补充沟通,2026-03-03,15.22
T00200-1,T00200,1,首次受理,2026-03-03,15.87
T00200-2,T00200,2,补充沟通,2026-03-03,9.83
T00201-1,T00201,1,首次受理,2026-03-03,6.97
T00202-1,T00202,1,首次受理,2026-03-03,9.88
T00203-1,T00203,1,首次受理,2026-03-03,5.14
T00204-1,T00204,1,首次受理,2026-03-03,9.77
T00204-2,T00204,2,补充沟通,2026-03-03,12.42
T00205-1,T00205,1,首次受理,2026-03-03,11.41
T00205-2,T00205,2,补充沟通,2026-03-03,7.94
T00205-3,T00205,3,补充沟通,2026-03-03,12.13
T00206-1,T00206,1,首次受理,2026-03-03,14.79
T00206-2,T00206,2,补充沟通,2026-03-03,3.92
T00206-3,T00206,3,补充沟通,2026-03-03,19.06
T00207-1,T00207,1,首次受理,2026-03-03,3.05
T00208-1,T00208,1,首次受理,2026-03-03,9.18
T00208-2,T00208,2,补充沟通,2026-03-03,16.25
T00208-3,T00208,3,补充沟通,2026-03-03,14.19
T00208-4,T00208,4,补充沟通,2026-03-03,9.06
T00209-1,T00209,1,首次受理,2026-03-03,6.35
T00209-2,T00209,2,补充沟通,2026-03-03,5.09
T00210-1,T00210,1,首次受理,2026-03-03,13.15
T00210-2,T00210,2,补充沟通,2026-03-03,4.73
T00211-1,T00211,1,首次受理,2026-03-03,10.98
T00212-1,T00212,1,首次受理,2026-03-03,6.85
T00212-2,T00212,2,补充沟通,2026-03-03,7.34
T00213-1,T00213,1,首次受理,2026-03-03,3.52
T00214-1,T00214,1,首次受理,2026-03-03,7.25
T00215-1,T00215,1,首次受理,2026-03-03,5.72
T00215-2,T00215,2,补充沟通,2026-03-03,17.56
T00215-3,T00215,3,补充沟通,2026-03-03,18.58
T00216-1,T00216,1,首次受理,2026-03-03,6.39
T00216-2,T00216,2,补充沟通,2026-03-03,7.0
T00217-1,T00217,1,首次受理,2026-03-03,18.29
T00217-2,T00217,2,补充沟通,2026-03-03,17.51
T00217-3,T00217,3,补充沟通,2026-03-03,16.13
T00218-1,T00218,1,首次受理,2026-03-03,2.21
T00218-2,T00218,2,补充沟通,2026-03-03,4.77
T00218-3,T00218,3,补充沟通,2026-03-03,5.65
T00219-1,T00219,1,首次受理,2026-03-03,19.14
T00219-2,T00219,2,补充沟通,2026-03-03,10.45
T00220-1,T00220,1,首次受理,2026-03-03,5.33
T00221-1,T00221,1,首次受理,2026-03-03,10.38
T00221-2,T00221,2,补充沟通,2026-03-03,11.49
T00221-3,T00221,3,补充沟通,2026-03-03,14.0
T00222-1,T00222,1,首次受理,2026-03-03,10.72
T00223-1,T00223,1,首次受理,2026-03-03,5.89
T00224-1,T00224,1,首次受理,2026-03-03,2.46
T00225-1,T00225,1,首次受理,2026-03-03,19.52
T00225-2,T00225,2,补充沟通,2026-03-03,17.67
T00226-1,T00226,1,首次受理,2026-03-03,11.87
T00226-2,T00226,2,补充沟通,2026-03-03,11.91
T00226-3,T00226,3,补充沟通,2026-03-03,19.01
T00227-1,T00227,1,首次受理,2026-03-03,10.38
T00228-1,T00228,1,首次受理,2026-03-03,15.83
T00228-2,T00228,2,补充沟通,2026-03-03,5.29
T00228-3,T00228,3,补充沟通,2026-03-03,7.97
T00229-1,T00229,1,首次受理,2026-03-03,5.11
T00230-1,T00230,1,首次受理,2026-03-03,12.19
T00230-2,T00230,2,补充沟通,2026-03-03,14.84
T00231-1,T00231,1,首次受理,2026-03-03,4.67
T00231-2,T00231,2,补充沟通,2026-03-03,8.07
T00231-3,T00231,3,补充沟通,2026-03-03,7.12
T00232-1,T00232,1,首次受理,2026-03-03,10.66
T00233-1,T00233,1,首次受理,2026-03-03,9.58
T00234-1,T00234,1,首次受理,2026-03-03,8.76
T00235-1,T00235,1,首次受理,2026-03-03,9.14
T00236-1,T00236,1,首次受理,2026-03-03,9.62
T00237-1,T00237,1,首次受理,2026-03-03,8.57
T00237-2,T00237,2,补充沟通,2026-03-03,13.3
T00238-1,T00238,1,首次受理,2026-03-03,19.64
T00238-2,T00238,2,补充沟通,2026-03-03,11.14
T00238-3,T00238,3,补充沟通,2026-03-03,4.55
T00239-1,T00239,1,首次受理,2026-03-03,4.29
T00240-1,T00240,1,首次受理,2026-03-03,18.15
T00240-2,T00240,2,补充沟通,2026-03-03,11.75
T00240-3,T00240,3,补充沟通,2026-03-03,4.45
T00241-1,T00241,1,首次受理,2026-03-04,5.94
T00242-1,T00242,1,首次受理,2026-03-04,6.13
T00242-2,T00242,2,补充沟通,2026-03-04,13.89
T00242-3,T00242,3,补充沟通,2026-03-04,16.57
T00242-4,T00242,4,补充沟通,2026-03-04,18.75
T00243-1,T00243,1,首次受理,2026-03-04,18.91
T00243-2,T00243,2,补充沟通,2026-03-04,17.99
T00244-1,T00244,1,首次受理,2026-03-04,16.97
T00244-2,T00244,2,补充沟通,2026-03-04,6.42
T00245-1,T00245,1,首次受理,2026-03-04,13.42
T00245-2,T00245,2,补充沟通,2026-03-04,12.98
T00246-1,T00246,1,首次受理,2026-03-04,4.17
T00246-2,T00246,2,补充沟通,2026-03-04,15.55
T00246-3,T00246,3,补充沟通,2026-03-04,14.26
T00247-1,T00247,1,首次受理,2026-03-04,9.09
T00248-1,T00248,1,首次受理,2026-03-04,5.18
T00249-1,T00249,1,首次受理,2026-03-04,19.46
T00249-2,T00249,2,补充沟通,2026-03-04,18.52
T00249-3,T00249,3,补充沟通,2026-03-04,9.56
T00250-1,T00250,1,首次受理,2026-03-04,6.76
T00250-2,T00250,2,补充沟通,2026-03-04,9.56
T00251-1,T00251,1,首次受理,2026-03-04,17.06
T00251-2,T00251,2,补充沟通,2026-03-04,19.41
T00252-1,T00252,1,首次受理,2026-03-04,16.69
T00252-2,T00252,2,补充沟通,2026-03-04,11.86
T00252-3,T00252,3,补充沟通,2026-03-04,7.17
T00253-1,T00253,1,首次受理,2026-03-04,16.0
T00253-2,T00253,2,补充沟通,2026-03-04,10.87
T00253-3,T00253,3,补充沟通,2026-03-04,17.68
T00254-1,T00254,1,首次受理,2026-03-04,12.83
T00254-2,T00254,2,补充沟通,2026-03-04,8.84
T00254-3,T00254,3,补充沟通,2026-03-04,15.36
T00255-1,T00255,1,首次受理,2026-03-04,10.82
T00255-2,T00255,2,补充沟通,2026-03-04,5.03
T00256-1,T00256,1,首次受理,2026-03-04,18.21
T00256-2,T00256,2,补充沟通,2026-03-04,12.73
T00256-3,T00256,3,补充沟通,2026-03-04,7.81
T00257-1,T00257,1,首次受理,2026-03-04,8.49
T00257-2,T00257,2,补充沟通,2026-03-04,16.91
T00258-1,T00258,1,首次受理,2026-03-04,8.2
