ticket_id,person_id,date,arrival_period,window_id,business_code,appointment,wait_minutes,service_minutes,abandoned,completed_same_day
T00053,P2284,2026-03-02,上午,B1,basic,1,11.05,5.64,0,1
T00054,P1556,2026-03-02,上午,B2,basic,1,26.52,5.11,0,1
T00055,P1647,2026-03-02,下午,B1,basic,1,7.36,5.51,0,1
T00056,P1559,2026-03-02,上午,B2,basic,0,9.63,5.67,0,1
T00057,P1597,2026-03-02,上午,B1,basic,1,70.06,,1,0
T00058,P0787,2026-03-02,上午,B2,basic,1,6.89,10.05,0,1
T00059,P0912,2026-03-02,上午,B1,basic,0,18.08,2.35,0,1
T00060,P0289,2026-03-02,下午,B2,basic,0,6.42,9.14,0,1
T00061,P1938,2026-03-02,上午,B1,case,0,17.99,25.76,0,0
T00062,P0909,2026-03-02,上午,B2,basic,1,12.22,2.9,0,1
T00063,P2618,2026-03-02,上午,B1,basic,1,4.67,5.9,0,1
T00064,P1601,2026-03-02,上午,B2,basic,0,13.78,6.48,0,1
T00065,P1685,2026-03-02,上午,B1,case,0,53.13,29.77,0,1
T00066,P0117,2026-03-02,下午,B2,basic,0,9.67,13.89,0,1
T00067,P1693,2026-03-02,上午,B1,basic,1,10.37,12.74,0,0
T00068,P0615,2026-03-02,上午,B2,basic,1,9.38,2.48,0,1
T00069,P0657,2026-03-02,下午,B1,basic,1,16.44,6.75,0,1
T00070,P2556,2026-03-02,下午,B2,basic,1,3.84,5.56,0,1
T00071,P0461,2026-03-02,下午,B1,basic,0,13.96,2.74,0,1
T00072,P1147,2026-03-02,上午,B2,basic,0,6.64,8.91,0,1
T00073,P0896,2026-03-02,上午,B1,case,0,32.83,,1,0
T00074,P0398,2026-03-02,上午,B2,basic,1,5.03,5.52,0,1
T00075,P1051,2026-03-02,上午,B1,case,0,15.6,31.08,0,1
T00076,P0030,2026-03-02,上午,B2,case,1,20.76,17.49,0,1
T00077,P0153,2026-03-02,下午,B1,basic,1,5.13,2.86,0,1
T00078,P0438,2026-03-02,上午,B2,basic,1,6.47,4.01,0,1
T00079,P0746,2026-03-02,上午,B1,basic,1,40.74,,1,0
T00080,P1591,2026-03-02,下午,B2,basic,1,3.38,2.75,0,1
T00081,P1337,2026-03-02,上午,C1,basic,1,9.16,5.51,0,1
T00082,P1104,2026-03-02,下午,C2,basic,1,3.07,5.76,0,1
T00083,P1124,2026-03-02,上午,C1,basic,0,14.91,14.72,0,0
T00084,P1347,2026-03-02,下午,C2,case,0,14.69,9.08,0,1
T00085,P2079,2026-03-02,下午,C1,basic,1,3.47,7.56,0,1
T00086,P1553,2026-03-02,下午,C2,case,1,8.17,21.4,0,1
T00087,P0869,2026-03-02,上午,C1,case,0,11.72,28.76,0,1
T00088,P1473,2026-03-02,下午,C2,basic,1,3.68,8.44,0,1
T00089,P1506,2026-03-02,下午,C1,case,0,4.7,14.93,0,1
T00090,P2372,2026-03-02,下午,C2,case,0,18.78,39.25,0,0
T00091,P2255,2026-03-02,上午,C1,basic,1,3.09,4.19,0,1
T00092,P1438,2026-03-02,上午,C2,case,0,33.29,16.84,0,0
T00093,P1758,2026-03-02,上午,C1,basic,1,4.57,10.66,0,1
T00094,P0127,2026-03-02,上午,C2,case,0,22.08,10.81,0,1
T00095,P0942,2026-03-02,上午,C1,case,0,16.56,28.09,0,1
T00096,P0924,2026-03-02,上午,C2,case,0,39.26,16.41,0,1
T00097,P1190,2026-03-02,上午,C1,basic,1,5.17,6.54,0,1
T00098,P2513,2026-03-02,上午,C2,basic,1,1.39,8.41,0,1
T00099,P2534,2026-03-02,上午,C1,basic,0,15.14,2.78,0,1
T00100,P1323,2026-03-02,上午,C2,basic,1,4.04,8.7,0,1
T00101,P1691,2026-03-02,上午,C1,basic,1,6.24,4.59,0,1
T00102,P0231,2026-03-02,下午,C2,basic,1,2.45,6.88,0,1
T00103,P1616,2026-03-02,上午,C1,case,0,29.43,15.23,0,1
T00104,P0766,2026-03-02,上午,C2,case,1,11.86,3.72,0,1
T00105,P1035,2026-03-02,下午,C1,basic,0,2.64,6.49,0,0
T00106,P1564,2026-03-02,下午,C2,case,1,12.0,46.06,0,1
T00107,P2674,2026-03-02,下午,C1,basic,1,3.65,2.31,0,1
T00108,P2249,2026-03-02,上午,C2,basic,0,10.74,18.84,0,1
T00109,P2696,2026-03-02,上午,C1,case,1,11.15,11.71,0,1
T00110,P0476,2026-03-02,上午,C2,basic,1,5.24,6.4,0,1
T00111,P1123,2026-03-02,上午,C1,case,1,16.51,21.02,0,1
T00112,P2123,2026-03-02,下午,C2,case,1,7.65,16.56,0,1
T00113,P1032,2026-03-02,上午,C1,basic,1,7.66,4.37,0,1
T00114,P1841,2026-03-02,下午,C2,case,1,13.52,12.43,0,1
T00115,P1227,2026-03-02,上午,C1,basic,0,6.98,3.53,0,1
T00116,P1126,2026-03-02,上午,C2,case,1,25.68,7.5,0,1
T00117,P2119,2026-03-02,上午,C1,basic,0,7.84,15.18,0,1
T00118,P2465,2026-03-02,上午,C2,basic,1,3.65,4.52,0,1
T00119,P0558,2026-03-02,下午,C1,case,0,7.09,12.82,0,1
T00120,P2056,2026-03-02,上午,C2,case,0,18.83,24.56,0,1
T00121,P1963,2026-03-03,下午,A1,basic,0,1.41,7.09,0,1
T00122,P0641,2026-03-03,下午,A2,case,0,10.6,17.3,0,1
T00123,P2464,2026-03-03,上午,A1,case,0,88.32,28.29,0,1
T00124,P0032,2026-03-03,下午,A2,case,1,3.74,13.37,0,1
T00125,P1321,2026-03-03,上午,A1,case,0,32.68,26.81,0,0
T00126,P0361,2026-03-03,下午,A2,case,0,13.95,14.14,0,1
T00127,P1553,2026-03-03,上午,A1,basic,1,5.5,8.25,0,1
T00128,P1888,2026-03-03,上午,A2,case,0,27.6,19.31,0,1
T00129,P0858,2026-03-03,上午,A1,case,0,9.38,17.48,0,1
T00130,P1170,2026-03-03,上午,A2,case,0,26.47,51.45,0,0
T00131,P0368,2026-03-03,上午,A1,case,0,20.95,10.37,0,1
T00132,P0475,2026-03-03,上午,A2,basic,0,9.29,7.25,0,1
T00133,P1439,2026-03-03,上午,A1,case,1,81.71,,1,0
T00134,P0059,2026-03-03,上午,A2,case,0,29.27,13.02,0,1
T00135,P1865,2026-03-03,上午,A1,case,0,49.8,29.78,0,1
T00136,P1383,2026-03-03,上午,A2,case,0,18.32,19.14,0,0
T00137,P1928,2026-03-03,上午,A1,case,0,14.98,5.87,0,1
T00138,P0389,2026-03-03,上午,A2,case,0,7.57,8.67,0,1
T00139,P1415,2026-03-03,上午,A1,case,0,27.52,13.61,0,0
T00140,P2498,2026-03-03,下午,A2,case,0,14.4,5.22,0,1
T00141,P1010,2026-03-03,上午,A1,case,0,18.37,20.7,0,1
T00142,P0397,2026-03-03,上午,A2,case,0,20.99,20.77,0,1
T00143,P2355,2026-03-03,下午,A1,basic,0,2.73,3.91,0,1
T00144,P2541,2026-03-03,上午,A2,case,0,11.73,8.81,0,1
T00145,P0058,2026-03-03,下午,A1,case,1,5.68,20.03,0,0
T00146,P1502,2026-03-03,上午,A2,case,0,12.82,9.14,0,0
T00147,P0588,2026-03-03,下午,A1,case,1,14.98,11.42,0,0
T00148,P1698,2026-03-03,上午,A2,case,1,5.1,5.5,0,0
T00149,P1000,2026-03-03,下午,A1,case,0,12.03,18.53,0,0
T00150,P0762,2026-03-03,上午,A2,basic,0,4.11,9.16,0,1
T00151,P1944,2026-03-03,上午,A1,case,0,15.04,6.23,0,0
T00152,P0156,2026-03-03,上午,A2,case,0,12.32,19.29,0,1
T00153,P0634,2026-03-03,下午,A1,case,1,5.33,26.8,0,1
T00154,P1068,2026-03-03,下午,A2,case,0,10.19,21.28,0,0
T00155,P0563,2026-03-03,上午,A1,case,1,7.03,9.94,0,1
T00156,P2207,2026-03-03,下午,A2,case,0,14.01,10.09,0,1
T00157,P2310,2026-03-03,下午,A1,basic,1,3.32,8.78,0,1
T00158,P1446,2026-03-03,上午,A2,case,1,7.16,29.4,0,1
T00159,P1772,2026-03-03,上午,A1,case,0,10.3,12.79,0,0
T00160,P0354,2026-03-03,上午,A2,basic,1,3.0,16.47,0,1
T00161,P1097,2026-03-03,上午,B1,basic,1,7.6,4.87,0,1
T00162,P0185,2026-03-03,上午,B2,basic,1,3.64,6.23,0,1
T00163,P2686,2026-03-03,下午,B1,basic,0,4.29,4.41,0,1
T00164,P2672,2026-03-03,上午,B2,case,0,29.84,7.79,0,0
T00165,P1017,2026-03-03,下午,B1,basic,1,1.82,3.16,0,1
T00166,P1927,2026-03-03,下午,B2,basic,0,7.9,5.58,0,1
T00167,P2452,2026-03-03,下午,B1,basic,0,4.05,5.35,0,1
T00168,P2547,2026-03-03,上午,B2,case,1,7.32,27.69,0,0
T00169,P0265,2026-03-03,下午,B1,case,0,11.65,26.64,0,0
T00170,P2308,2026-03-03,上午,B2,basic,1,3.42,1.44,0,1
T00171,P0769,2026-03-03,下午,B1,basic,1,3.04,4.73,0,1
T00172,P1257,2026-03-03,上午,B2,basic,0,27.45,11.18,0,1
T00173,P2177,2026-03-03,上午,B1,basic,1,4.4,2.23,0,1
T00174,P2395,2026-03-03,上午,B2,basic,1,7.12,4.58,0,0
T00175,P0032,2026-03-03,上午,B1,basic,1,6.97,4.63,0,1
T00176,P0947,2026-03-03,上午,B2,case,0,14.56,18.66,0,1
T00177,P0546,2026-03-03,下午,B1,basic,1,11.03,2.96,0,1
T00178,P0345,2026-03-03,上午,B2,basic,0,9.97,3.64,0,1
T00179,P1267,2026-03-03,上午,B1,basic,1,3.84,2.0,0,1
T00180,P0057,2026-03-03,上午,B2,basic,0,8.04,6.46,0,1
T00181,P1374,2026-03-03,下午,B1,case,0,7.2,24.75,0,0
T00182,P2443,2026-03-03,上午,B2,basic,0,7.93,18.2,0,1
T00183,P0600,2026-03-03,下午,B1,basic,0,4.24,14.26,0,1
T00184,P0622,2026-03-03,下午,B2,case,1,17.9,13.26,0,0
T00185,P1429,2026-03-03,下午,B1,case,0,13.37,31.28,0,1
T00186,P2294,2026-03-03,上午,B2,basic,1,9.0,4.45,0,1
T00187,P1830,2026-03-03,下午,B1,basic,1,6.92,2.69,0,1
T00188,P2558,2026-03-03,下午,B2,basic,0,9.35,7.74,0,1
T00189,P0425,2026-03-03,下午,B1,basic,1,3.63,4.12,0,1
T00190,P0480,2026-03-03,下午,B2,basic,0,4.31,3.74,0,1
T00191,P1901,2026-03-03,下午,B1,case,0,10.07,26.39,0,1
T00192,P1926,2026-03-03,上午,B2,case,0,58.51,7.47,0,1
T00193,P2647,2026-03-03,上午,B1,case,0,58.31,13.57,0,1
T00194,P1924,2026-03-03,上午,B2,basic,0,7.09,7.36,0,1
T00195,P2661,2026-03-03,上午,B1,case,0,18.49,27.85,0,1
T00196,P2475,2026-03-03,下午,B2,basic,0,2.81,3.83,0,1
T00197,P2022,2026-03-03,上午,B1,basic,1,3.43,4.44,0,0
T00198,P0934,2026-03-03,上午,B2,basic,1,5.56,18.03,0,1
T00199,P1069,2026-03-03,上午,B1,case,0,62.63,10.0,0,0
T00200,P2300,2026-03-03,下午,B2,case,1,16.62,15.0,0,1
T00201,P0944,2026-03-03,下午,C1,basic,0,2.66,6.04,0,1
T00202,P2364,2026-03-03,上午,C2,basic,1,68.63,9.63,0,1
T00203,P0204,2026-03-03,上午,C1,basic,0,13.27,7.65,0,1
T00204,P1204,2026-03-03,上午,C2,case,0,47.29,24.64,0,1
T00205,P2075,2026-03-03,下午,C1,case,1,9.94,46.53,0,0
T00206,P1893,2026-03-03,上午,C2,case,0,9.2,12.13,0,0
T00207,P1832,2026-03-03,下午,C1,basic,0,7.64,9.22,0,1
T00208,P2300,2026-03-03,上午,C2,case,0,22.7,19.63,0,0
T00209,P1531,2026-03-03,上午,C1,case,0,5.97,16.76,0,1
T00210,P0487,2026-03-03,下午,C2,case,0,12.63,21.07,0,1
T00211,P2069,2026-03-03,下午,C1,basic,1,1.81,8.61,0,1
T00212,P1000,2026-03-03,上午,C2,basic,1,6.23,7.42,0,1
T00213,P1986,2026-03-03,上午,C1,basic,0,5.1,4.92,0,1
T00214,P1051,2026-03-03,下午,C2,basic,0,6.15,15.94,0,1
T00215,P2479,2026-03-03,上午,C1,case,1,35.77,57.43,0,1
T00216,P1694,2026-03-03,上午,C2,case,0,49.71,15.54,0,1
T00217,P2302,2026-03-03,上午,C1,case,0,25.67,14.17,0,1
T00218,P1614,2026-03-03,上午,C2,basic,1,19.54,0.94,0,0
T00219,P2616,2026-03-03,下午,C1,case,1,10.18,13.96,0,1
T00220,P0980,2026-03-03,上午,C2,basic,0,5.77,3.92,0,1
T00221,P0936,2026-03-03,上午,C1,case,1,24.02,18.3,0,0
T00222,P0229,2026-03-03,下午,C2,basic,0,3.23,15.28,0,1
T00223,P0898,2026-03-03,上午,C1,basic,1,2.38,4.46,0,1
T00224,P1321,2026-03-03,上午,C2,basic,1,10.09,5.64,0,1
T00225,P1771,2026-03-03,上午,C1,case,1,8.52,18.51,0,1
T00226,P0017,2026-03-03,上午,C2,case,1,33.46,12.23,0,1
T00227,P2429,2026-03-03,上午,C1,basic,0,7.24,2.16,0,1
T00228,P0955,2026-03-03,下午,C2,case,0,7.19,5.38,0,0
T00229,P0409,2026-03-03,下午,C1,basic,1,1.56,4.58,0,1
T00230,P1247,2026-03-03,下午,C2,case,0,24.29,24.12,0,1
T00231,P1270,2026-03-03,下午,C1,case,0,13.46,10.92,0,1
T00232,P2666,2026-03-03,下午,C2,basic,0,7.98,2.9,0,1
T00233,P2656,2026-03-03,下午,C1,basic,0,7.22,12.08,0,1
T00234,P0815,2026-03-03,下午,C2,basic,1,8.58,2.45,0,1
T00235,P0113,2026-03-03,上午,C1,basic,1,2.95,6.01,0,1
T00236,P0416,2026-03-03,下午,C2,basic,1,2.58,17.85,0,1
T00237,P1142,2026-03-03,下午,C1,case,1,8.23,29.03,0,1
T00238,P2075,2026-03-03,上午,C2,case,0,12.2,12.94,0,0
T00239,P0616,2026-03-03,下午,C1,basic,1,4.01,10.49,0,1
T00240,P1763,2026-03-03,下午,C2,case,0,11.77,12.19,0,0
T00241,P0053,2026-03-04,上午,A1,basic,1,4.32,4.72,0,1
T00242,P2569,2026-03-04,上午,A2,case,0,12.84,8.73,0,0
T00243,P0540,2026-03-04,下午,A1,case,0,9.4,5.98,0,1
T00244,P2188,2026-03-04,上午,A2,case,0,27.37,11.45,0,1
T00245,P0612,2026-03-04,上午,A1,case,0,4.5,16.67,0,1
T00246,P2357,2026-03-04,上午,A2,case,0,12.46,31.26,0,0
T00247,P0445,2026-03-04,下午,A1,basic,1,2.79,7.83,0,1
T00248,P0662,2026-03-04,上午,A2,basic,1,9.39,15.57,0,1
T00249,P2245,2026-03-04,上午,A1,case,1,9.09,15.78,0,0
T00250,P0129,2026-03-04,上午,A2,case,0,9.8,19.01,0,1
T00251,P2012,2026-03-04,下午,A1,case,1,10.6,18.38,0,1
T00252,P1581,2026-03-04,上午,A2,case,1,20.54,6.99,0,0
T00253,P0368,2026-03-04,上午,A1,case,0,34.2,,1,0
T00254,P2248,2026-03-04,下午,A2,case,0,9.33,25.28,0,0
T00255,P1971,2026-03-04,上午,A1,basic,0,8.86,9.99,0,1
T00256,P0874,2026-03-04,上午,A2,case,0,49.88,4.88,0,0
T00257,P1321,2026-03-04,上午,A1,case,0,36.09,16.41,0,1
T00258,P1598,2026-03-04,下午,A2,case,0,22.01,30.74,0,1
T00259,P1603,2026-03-04,上午,A1,case,1,7.61,24.0,0,1
T00260,P1336,2026-03-04,上午,A2,basic,1,3.58,5.67,0,1
T00261,P0017,2026-03-04,下午,A1,case,0,6.27,23.09,0,0
T00262,P1513,2026-03-04,下午,A2,case,1,7.96,23.09,0,1
T00263,P2040,2026-03-04,上午,A1,case,1,8.38,17.05,0,0
T00264,P1953,2026-03-04,上午,A2,case,1,5.27,8.16,0,1
T00265,P1533,2026-03-04,上午,A1,basic,0,11.56,4.84,0,1
T00266,P0093,2026-03-04,上午,A2,case,0,15.53,15.83,0,1
T00267,P2494,2026-03-04,上午,A1,basic,0,7.65,2.71,0,1
T00268,P0895,2026-03-04,下午,A2,case,0,16.47,10.27,0,0
T00269,P0049,2026-03-04,下午,A1,case,0,14.32,29.98,0,1
T00270,P1964,2026-03-04,上午,A2,basic,1,3.14,3.05,0,1
T00271,P1365,2026-03-04,上午,A1,case,0,21.7,27.83,0,1
T00272,P0644,2026-03-04,上午,A2,basic,1,4.8,9.99,0,1
T00273,P1148,2026-03-04,上午,A1,case,1,8.96,9.78,0,1
T00274,P1956,2026-03-04,下午,A2,case,0,4.91,17.0,0,1
T00275,P0017,2026-03-04,下午,A1,basic,1,2.53,2.94,0,1
T00276,P0832,2026-03-04,下午,A2,basic,1,5.96,7.41,0,1
T00277,P1444,2026-03-04,下午,A1,basic,1,2.24,3.51,0,1
T00278,P0522,2026-03-04,上午,A2,case,1,62.97,,1,0
T00279,P1369,2026-03-04,下午,A1,case,0,15.77,23.94,0,1
T00280,P2324,2026-03-04,上午,A2,case,0,25.02,6.95,0,1
T00281,P0419,2026-03-04,上午,B1,basic,0,11.84,22.89,0,1
T00282,P2297,2026-03-04,上午,B2,basic,1,3.59,5.2,0,0
T00283,P1894,2026-03-04,上午,B1,basic,1,16.31,12.06,0,1
T00284,P0794,2026-03-04,上午,B2,case,0,19.15,12.34,0,1
T00285,P2674,2026-03-04,下午,B1,basic,0,2.43,6.89,0,1
T00286,P0907,2026-03-04,下午,B2,basic,0,7.59,7.61,0,1
T00287,P2278,2026-03-04,上午,B1,basic,0,7.55,11.95,0,1
T00288,P2497,2026-03-04,下午,B2,basic,1,1.15,17.15,0,1
T00289,P0498,2026-03-04,上午,B1,basic,1,4.69,2.42,0,1
T00290,P1360,2026-03-04,上午,B2,basic,0,7.84,9.01,0,0
T00291,P1147,2026-03-04,下午,B1,basic,1,2.87,8.5,0,1
T00292,P1312,2026-03-04,上午,B2,basic,0,5.4,10.67,0,0
T00293,P1814,2026-03-04,下午,B1,basic,1,5.3,4.58,0,1
T00294,P1150,2026-03-04,下午,B2,basic,1,3.28,6.07,0,1
T00295,P1584,2026-03-04,上午,B1,basic,1,17.21,7.92,0,1
T00296,P2062,2026-03-04,上午,B2,basic,1,7.91,5.74,0,1
T00297,P2034,2026-03-04,下午,B1,basic,0,7.17,9.78,0,1
T00298,P2399,2026-03-04,下午,B2,basic,1,1.59,15.69,0,1
T00299,P1882,2026-03-04,下午,B1,basic,0,2.82,2.32,0,1
T00300,P1266,2026-03-04,上午,B2,basic,1,3.49,2.53,0,1
T00301,P1517,2026-03-04,下午,B1,basic,1,4.9,6.4,0,1
T00302,P1127,2026-03-04,上午,B2,case,0,37.47,14.9,0,1
T00303,P2512,2026-03-04,上午,B1,basic,0,13.2,5.68,0,1
T00304,P0012,2026-03-04,上午,B2,basic,0,4.2,4.24,0,1
T00305,P0935,2026-03-04,上午,B1,basic,0,5.88,3.66,0,1
T00306,P2553,2026-03-04,上午,B2,basic,1,6.7,4.26,0,1
T00307,P1750,2026-03-04,上午,B1,basic,0,6.56,20.9,0,1
T00308,P1022,2026-03-04,下午,B2,basic,0,4.55,3.89,0,1
T00309,P1604,2026-03-04,上午,B1,basic,1,6.87,13.09,0,1
T00310,P0859,2026-03-04,上午,B2,basic,1,5.22,11.03,0,1
T00311,P0803,2026-03-04,上午,B1,basic,0,10.23,2.23,0,1
T00312,P0593,2026-03-04,上午,B2,case,0,12.28,5.2,0,1
T00313,P2632,2026-03-04,下午,B1,basic,1,8.03,12.86,0,1
T00314,P2094,2026-03-04,下午,B2,basic,0,7.54,14.37,0,1
T00315,P1587,2026-03-04,下午,B1,basic,1,10.09,6.36,0,1
T00316,P0555,2026-03-04,下午,B2,basic,0,5.96,3.05,0,0
T00317,P0889,2026-03-04,上午,B1,case,0,32.92,7.45,0,1
T00318,P2486,2026-03-04,下午,B2,basic,1,4.68,0.87,0,1
T00319,P0218,2026-03-04,下午,B1,case,0,10.2,4.74,0,1
T00320,P1540,2026-03-04,下午,B2,case,0,13.99,15.71,0,1
T00321,P1080,2026-03-04,下午,C1,case,0,10.05,14.21,0,1
T00322,P0426,2026-03-04,下午,C2,case,0,14.98,14.65,0,1
T00323,P0414,2026-03-04,下午,C1,case,1,9.99,26.28,0,0
T00324,P1992,2026-03-04,下午,C2,case,1,12.51,8.14,0,1
T00325,P0351,2026-03-04,下午,C1,basic,1,3.65,7.56,0,1
T00326,P2577,2026-03-04,上午,C2,basic,1,6.59,8.88,0,1
T00327,P1052,2026-03-04,上午,C1,case,0,15.81,33.35,0,1
T00328,P0133,2026-03-04,上午,C2,case,0,20.78,14.7,0,1
T00329,P1917,2026-03-04,上午,C1,basic,0,3.63,6.92,0,1
T00330,P2517,2026-03-04,上午,C2,case,0,7.06,6.68,0,1
T00331,P1305,2026-03-04,上午,C1,basic,0,8.12,5.43,0,1
T00332,P0251,2026-03-04,上午,C2,case,0,19.91,16.37,0,1
T00333,P1710,2026-03-04,下午,C1,basic,1,1.8,8.32,0,1
T00334,P2559,2026-03-04,上午,C2,basic,0,6.33,15.15,0,1
T00335,P1096,2026-03-04,上午,C1,basic,0,4.44,3.95,0,1
T00336,P0761,2026-03-04,上午,C2,basic,1,4.57,2.58,0,1
T00337,P2655,2026-03-04,上午,C1,basic,0,15.2,5.8,0,1
T00338,P1308,2026-03-04,上午,C2,basic,1,5.41,5.32,0,1
T00339,P2691,2026-03-04,上午,C1,case,0,13.76,17.12,0,1
T00340,P0185,2026-03-04,上午,C2,case,0,47.85,,1,0
T00341,P0471,2026-03-04,上午,C1,case,0,18.8,22.13,0,1
T00342,P2355,2026-03-04,上午,C2,basic,1,1.75,9.72,0,1
T00343,P0389,2026-03-04,下午,C1,basic,1,5.68,11.86,0,1
T00344,P2487,2026-03-04,上午,C2,case,0,12.44,13.45,0,1
T00345,P2454,2026-03-04,上午,C1,basic,1,4.88,5.97,0,1
T00346,P1034,2026-03-04,下午,C2,case,0,16.33,13.0,0,1
T00347,P0736,2026-03-04,上午,C1,basic,1,10.26,9.85,0,1
T00348,P1547,2026-03-04,上午,C2,case,0,11.66,28.3,0,1
T00349,P0399,2026-03-04,下午,C1,basic,1,2.19,4.19,0,1
T00350,P1330,2026-03-04,上午,C2,case,1,50.36,14.35,0,1
T00351,P0329,2026-03-04,下午,C1,case,0,13.17,20.03,0,0
T00352,P0138,2026-03-04,上午,C2,case,0,24.92,11.08,0,1
T00353,P1880,2026-03-04,下午,C1,basic,0,5.58,3.44,0,1
T00354,P2696,2026-03-04,下午,C2,basic,0,2.77,3.98,0,1
T00355,P0414,2026-03-04,上午,C1,case,0,18.63,12.29,0,0
T00356,P1858,2026-03-04,上午,C2,basic,0,7.02,11.9,0,1
T00357,P2475,2026-03-04,下午,C1,case,0,8.17,33.16,0,1
T00358,P0064,2026-03-04,下午,C2,case,0,19.73,12.08,0,1
T00359,P2269,2026-03-04,上午,C1,case,1,45.86,24.09,0,0
T00360,P2428,2026-03-04,上午,C2,case,1,10.04,18.93,0,1
T00361,P0462,2026-03-05,上午,A1,case,0,18.57,33.06,0,0
T00362,P2175,2026-03-05,下午,A2,case,1,5.24,9.55,0,1
T00363,P2455,2026-03-05,上午,A1,basic,1,1.67,12.0,0,1
T00364,P1521,2026-03-05,上午,A2,case,0,13.3,28.12,0,1
T00365,P1748,2026-03-05,上午,A1,case,1,8.66,4.67,0,1
T00366,P2005,2026-03-05,下午,A2,case,0,6.45,6.16,0,0
T00367,P1593,2026-03-05,上午,A1,case,0,6.72,15.81,0,1
T00368,P1693,2026-03-05,上午,A2,case,0,16.33,52.68,0,0
T00369,P0350,2026-03-05,上午,A1,case,0,4.07,19.64,0,1
T00370,P1919,2026-03-05,上午,A2,case,0,49.52,8.57,0,0
T00371,P0153,2026-03-05,上午,A1,case,0,9.64,13.79,0,1
