date,window_id,staff_count,open_hours,absence_hours
2026-03-26,A2,1,7,0
2026-03-26,B1,2,7,0
2026-03-26,B2,1,7,0
2026-03-26,C1,2,7,0
2026-03-26,C2,1,7,0
2026-03-27,A1,2,7,0
2026-03-27,A2,1,7,0
2026-03-27,B1,2,7,0
2026-03-27,B2,1,7,0
2026-03-27,C1,2,7,0
2026-03-27,C2,1,7,0
2026-03-30,A1,2,6,0
2026-03-30,A2,1,6,0
2026-03-30,B1,2,6,0
2026-03-30,B2,1,6,0
2026-03-30,C1,2,6,0
2026-03-30,C2,1,6,0
2026-03-31,A1,2,7,1
2026-03-31,A2,1,7,0
2026-03-31,B1,2,7,1
2026-03-31,B2,1,7,0
2026-03-31,C1,2,7,0
2026-03-31,C2,1,7,0
2026-04-01,A1,2,7,0
2026-04-01,A2,1,7,0
2026-04-01,B1,2,7,0
2026-04-01,B2,1,7,1
2026-04-01,C1,2,7,0
2026-04-01,C2,1,7,0
2026-04-02,A1,2,7,0
2026-04-02,A2,1,7,0
2026-04-02,B1,2,7,0
2026-04-02,B2,1,7,0
2026-04-02,C1,2,7,1
2026-04-02,C2,1,7,0
2026-04-03,A1,2,7,1
2026-04-03,A2,1,7,1
2026-04-03,B1,2,7,0
2026-04-03,B2,1,7,0
2026-04-03,C1,2,7,0
2026-04-03,C2,1,7,0
2026-04-06,A1,2,7,0
2026-04-06,A2,1,7,0
2026-04-06,B1,2,7,0
2026-04-06,B2,1,7,1
2026-04-06,C1,2,7,0
2026-04-06,C2,1,7,0
2026-04-07,A1,2,7,1
2026-04-07,A2,1,7,1
2026-04-07,B1,2,7,0
2026-04-07,B2,1,7,0
2026-04-07,C1,2,7,0
2026-04-07,C2,1,7,0
2026-04-08,A1,2,7,0
2026-04-08,A2,1,7,0
2026-04-08,B1,2,7,0
2026-04-08,B2,1,7,0
2026-04-08,C1,2,7,0
2026-04-08,C2,1,7,0
2026-04-09,A1,2,7,0
2026-04-09,A2,1,7,0
2026-04-09,B1,2,7,0
2026-04-09,B2,1,7,0
2026-04-09,C1,2,7,0
2026-04-09,C2,1,7,0
2026-04-10,A1,2,7,0
2026-04-10,A2,1,7,0
2026-04-10,B1,2,7,1
2026-04-10,B2,1,7,0
2026-04-10,C1,2,7,0
2026-04-10,C2,1,7,0
2026-04-13,A1,2,6,0
2026-04-13,A2,1,6,0
2026-04-13,B1,2,6,0
2026-04-13,B2,1,6,0
2026-04-13,C1,2,6,0
2026-04-13,C2,1,6,0
2026-04-14,A1,2,7,0
2026-04-14,A2,1,7,0
2026-04-14,B1,2,7,0
2026-04-14,B2,1,7,0
2026-04-14,C1,2,7,0
2026-04-14,C2,1,7,0
2026-04-15,A1,2,7,0
2026-04-15,A2,1,7,0
2026-04-15,B1,2,7,0
2026-04-15,B2,1,7,0
2026-04-15,C1,2,7,0
2026-04-15,C2,1,7,0
2026-04-16,A1,2,7,0
2026-04-16,A2,1,7,0
2026-04-16,B1,2,7,1
2026-04-16,B2,1,7,0
2026-04-16,C1,2,7,0
2026-04-16,C2,1,7,0
2026-04-17,A1,2,7,0
2026-04-17,A2,1,7,0
2026-04-17,B1,2,7,1
2026-04-17,B2,1,7,0
2026-04-17,C1,2,7,0
2026-04-17,C2,1,7,0
2026-04-20,A1,2,7,0
2026-04-20,A2,1,7,0
2026-04-20,B1,2,7,0
2026-04-20,B2,1,7,0
2026-04-20,C1,2,7,0
2026-04-20,C2,1,7,0
2026-04-21,A1,2,7,0
2026-04-21,A2,1,7,0
2026-04-21,B1,2,7,1
2026-04-21,B2,1,7,0
2026-04-21,C1,2,7,0
2026-04-21,C2,1,7,1
2026-04-22,A1,2,7,0
2026-04-22,A2,1,7,0
2026-04-22,B1,2,7,0
2026-04-22,B2,1,7,0
2026-04-22,C1,2,7,0
2026-04-22,C2,1,7,0
2026-04-23,A1,2,7,0
2026-04-23,A2,1,7,0
2026-04-23,B1,2,7,0
2026-04-23,B2,1,7,0
2026-04-23,C1,2,7,0
2026-04-23,C2,1,7,0
2026-04-24,A1,2,7,0
2026-04-24,A2,1,7,0
2026-04-24,B1,2,7,0
2026-04-24,B2,1,7,0
2026-04-24,C1,2,7,1
2026-04-24,C2,1,7,0
