survey_id,ticket_id,invited,score,response_days
Q00081,T00081,1,5,4
Q00082,T00082,1,,
Q00083,T00083,1,,
Q00084,T00084,1,4,3
Q00085,T00085,1,5,4
Q00086,T00086,0,,
Q00087,T00087,1,,
Q00088,T00088,1,4,2
Q00089,T00089,1,5,2
Q00090,T00090,1,5,0
Q00091,T00091,1,,
Q00092,T00092,1,,
Q00093,T00093,1,5,2
Q00094,T00094,1,4,2
Q00095,T00095,1,5,0
Q00096,T00096,1,,
Q00097,T00097,1,5,2
Q00098,T00098,1,5,3
Q00099,T00099,1,5,3
Q00100,T00100,1,5,3
Q00101,T00101,0,,
Q00102,T00102,0,,
Q00103,T00103,1,5,1
Q00104,T00104,1,,
Q00105,T00105,1,5,2
Q00106,T00106,1,4,4
Q00107,T00107,1,5,0
Q00108,T00108,1,5,2
Q00109,T00109,1,5,2
Q00110,T00110,1,5,1
Q00111,T00111,1,,
Q00112,T00112,1,5,4
Q00113,T00113,1,5,3
Q00114,T00114,1,,
Q00115,T00115,1,5,0
Q00116,T00116,1,,
Q00117,T00117,1,5,4
Q00118,T00118,1,5,1
Q00119,T00119,1,,
Q00120,T00120,1,5,4
Q00121,T00121,1,4,3
Q00122,T00122,1,,
Q00123,T00123,1,1,2
Q00124,T00124,0,,
Q00125,T00125,0,,
Q00126,T00126,1,5,3
Q00127,T00127,1,5,3
Q00128,T00128,0,,
Q00129,T00129,1,,
Q00130,T00130,1,,
Q00131,T00131,1,3,2
Q00132,T00132,1,,
Q00133,T00133,1,,
Q00134,T00134,1,,
Q00135,T00135,0,,
Q00136,T00136,1,4,0
Q00137,T00137,1,5,2
Q00138,T00138,1,5,0
Q00139,T00139,1,2,3
Q00140,T00140,1,5,4
Q00141,T00141,1,4,0
Q00142,T00142,1,,
Q00143,T00143,1,,
Q00144,T00144,1,5,4
Q00145,T00145,1,,
Q00146,T00146,0,,
Q00147,T00147,0,,
Q00148,T00148,0,,
Q00149,T00149,1,,
Q00150,T00150,1,4,2
Q00151,T00151,0,,
Q00152,T00152,1,5,0
Q00153,T00153,1,5,2
Q00154,T00154,1,5,4
Q00155,T00155,1,5,3
Q00156,T00156,1,5,0
Q00157,T00157,1,5,3
Q00158,T00158,1,5,0
Q00159,T00159,0,,
Q00160,T00160,1,5,1
Q00161,T00161,1,5,3
Q00162,T00162,0,,
Q00163,T00163,1,,
Q00164,T00164,1,3,0
Q00165,T00165,1,5,1
Q00166,T00166,1,5,4
Q00167,T00167,1,3,3
Q00168,T00168,1,4,3
Q00169,T00169,1,,
Q00170,T00170,1,5,1
Q00171,T00171,1,5,2
Q00172,T00172,1,3,3
Q00173,T00173,1,5,1
Q00174,T00174,1,5,2
Q00175,T00175,0,,
Q00176,T00176,1,,
Q00177,T00177,1,4,2
Q00178,T00178,1,4,1
Q00179,T00179,1,,
Q00180,T00180,1,,
Q00181,T00181,1,,
Q00182,T00182,1,5,0
Q00183,T00183,1,5,3
Q00184,T00184,1,5,0
Q00185,T00185,0,,
Q00186,T00186,1,4,1
Q00187,T00187,0,,
Q00188,T00188,1,,
Q00189,T00189,0,,
Q00190,T00190,1,5,1
Q00191,T00191,1,5,1
Q00192,T00192,1,,
Q00193,T00193,1,,
Q00194,T00194,1,5,3
Q00195,T00195,1,,
Q00196,T00196,1,5,2
Q00197,T00197,1,5,0
Q00198,T00198,0,,
Q00199,T00199,1,,
Q00200,T00200,1,3,4
Q00201,T00201,1,5,3
Q00202,T00202,0,,
Q00203,T00203,1,5,2
Q00204,T00204,1,,
Q00205,T00205,1,5,2
Q00206,T00206,1,5,4
Q00207,T00207,1,5,1
Q00208,T00208,1,,
Q00209,T00209,1,5,3
Q00210,T00210,1,,
Q00211,T00211,1,5,2
Q00212,T00212,1,3,4
Q00213,T00213,1,5,2
Q00214,T00214,1,5,0
Q00215,T00215,1,,
Q00216,T00216,1,,
Q00217,T00217,1,4,4
Q00218,T00218,1,5,4
Q00219,T00219,1,5,3
Q00220,T00220,0,,
Q00221,T00221,1,,
Q00222,T00222,1,5,4
Q00223,T00223,1,5,2
Q00224,T00224,1,5,4
Q00225,T00225,1,5,1
Q00226,T00226,1,4,1
Q00227,T00227,1,4,3
Q00228,T00228,1,5,2
Q00229,T00229,0,,
Q00230,T00230,1,4,1
Q00231,T00231,1,,
Q00232,T00232,1,5,1
Q00233,T00233,1,3,4
Q00234,T00234,1,5,4
Q00235,T00235,1,5,0
Q00236,T00236,0,,
Q00237,T00237,1,5,2
Q00238,T00238,1,5,3
Q00239,T00239,1,,
Q00240,T00240,0,,
Q00241,T00241,1,,
Q00242,T00242,1,5,1
Q00243,T00243,1,,
Q00244,T00244,1,,
Q00245,T00245,1,,
Q00246,T00246,1,5,3
Q00247,T00247,1,5,4
Q00248,T00248,1,,
Q00249,T00249,0,,
Q00250,T00250,1,4,3
Q00251,T00251,1,,
Q00252,T00252,1,,
Q00253,T00253,1,5,0
Q00254,T00254,1,5,0
Q00255,T00255,1,5,1
Q00256,T00256,1,,
Q00257,T00257,1,2,3
Q00258,T00258,1,5,4
Q00259,T00259,1,3,3
Q00260,T00260,1,5,3
Q00261,T00261,1,5,2
Q00262,T00262,1,5,3
Q00263,T00263,1,,
Q00264,T00264,0,,
Q00265,T00265,1,4,3
Q00266,T00266,1,,
Q00267,T00267,1,5,3
Q00268,T00268,1,4,1
Q00269,T00269,1,5,2
Q00270,T00270,1,5,3
Q00271,T00271,1,4,4
Q00272,T00272,1,5,2
Q00273,T00273,1,5,2
Q00274,T00274,1,5,0
Q00275,T00275,1,4,4
Q00276,T00276,1,3,4
Q00277,T00277,0,,
Q00278,T00278,1,1,2
Q00279,T00279,1,5,2
Q00280,T00280,1,,
Q00281,T00281,1,2,3
Q00282,T00282,1,,
Q00283,T00283,1,4,0
Q00284,T00284,1,4,0
Q00285,T00285,1,,
Q00286,T00286,1,,
Q00287,T00287,1,,
Q00288,T00288,1,,
Q00289,T00289,1,5,4
Q00290,T00290,1,,
Q00291,T00291,1,4,1
Q00292,T00292,1,5,1
Q00293,T00293,0,,
Q00294,T00294,1,5,3
Q00295,T00295,1,,
Q00296,T00296,1,5,3
Q00297,T00297,1,2,2
Q00298,T00298,1,5,2
Q00299,T00299,1,5,3
Q00300,T00300,1,4,1
Q00301,T00301,1,,
Q00302,T00302,1,,
Q00303,T00303,1,5,1
Q00304,T00304,1,5,0
Q00305,T00305,1,,
Q00306,T00306,1,,
Q00307,T00307,1,,
Q00308,T00308,1,5,1
Q00309,T00309,1,3,2
Q00310,T00310,1,5,1
Q00311,T00311,1,5,2
Q00312,T00312,1,3,3
Q00313,T00313,1,,
Q00314,T00314,1,5,2
Q00315,T00315,1,5,3
Q00316,T00316,1,,
Q00317,T00317,1,3,3
Q00318,T00318,1,4,0
Q00319,T00319,0,,
Q00320,T00320,0,,
Q00321,T00321,1,,
Q00322,T00322,1,,
Q00323,T00323,0,,
Q00324,T00324,1,,
Q00325,T00325,1,5,2
Q00326,T00326,1,,
Q00327,T00327,1,,
Q00328,T00328,1,,
Q00329,T00329,1,5,1
Q00330,T00330,1,3,1
Q00331,T00331,0,,
Q00332,T00332,1,,
Q00333,T00333,1,,
Q00334,T00334,1,5,0
Q00335,T00335,1,4,2
Q00336,T00336,1,,
Q00337,T00337,1,,
Q00338,T00338,1,5,2
Q00339,T00339,0,,
Q00340,T00340,0,,
Q00341,T00341,1,5,0
Q00342,T00342,1,,
Q00343,T00343,1,5,3
Q00344,T00344,1,3,3
Q00345,T00345,1,5,4
Q00346,T00346,1,,
Q00347,T00347,1,4,0
Q00348,T00348,1,4,1
Q00349,T00349,1,,
Q00350,T00350,1,,
Q00351,T00351,1,3,1
Q00352,T00352,1,4,2
Q00353,T00353,1,5,3
Q00354,T00354,1,,
Q00355,T00355,0,,
Q00356,T00356,1,5,3
Q00357,T00357,1,,
Q00358,T00358,1,5,0
Q00359,T00359,1,,
Q00360,T00360,1,,
Q00361,T00361,1,,
Q00362,T00362,1,5,0
Q00363,T00363,0,,
Q00364,T00364,1,5,0
Q00365,T00365,1,4,2
Q00366,T00366,1,4,0
Q00367,T00367,0,,
Q00368,T00368,1,5,2
Q00369,T00369,1,5,0
Q00370,T00370,1,,
Q00371,T00371,1,4,1
Q00372,T00372,0,,
Q00373,T00373,1,5,4
Q00374,T00374,1,,
Q00375,T00375,0,,
Q00376,T00376,1,5,0
Q00377,T00377,1,5,2
Q00378,T00378,1,,
Q00379,T00379,0,,
Q00380,T00380,1,5,1
Q00381,T00381,1,,
Q00382,T00382,1,5,0
Q00383,T00383,1,,
Q00384,T00384,0,,
Q00385,T00385,1,,
Q00386,T00386,1,4,1
Q00387,T00387,1,5,2
Q00388,T00388,1,,
Q00389,T00389,1,5,0
Q00390,T00390,1,5,1
Q00391,T00391,1,4,2
Q00392,T00392,1,,
Q00393,T00393,1,,
Q00394,T00394,1,5,0
Q00395,T00395,1,5,3
Q00396,T00396,0,,
Q00397,T00397,1,3,1
Q00398,T00398,1,5,3
Q00399,T00399,1,,
Q00400,T00400,1,,
Q00401,T00401,0,,
Q00402,T00402,1,5,0
Q00403,T00403,1,5,4
Q00404,T00404,1,,
Q00405,T00405,1,5,0
Q00406,T00406,1,5,3
Q00407,T00407,0,,
Q00408,T00408,1,4,1
Q00409,T00409,1,5,1
Q00410,T00410,1,3,1
Q00411,T00411,1,4,3
Q00412,T00412,1,,
Q00413,T00413,1,4,2
Q00414,T00414,1,,
Q00415,T00415,1,5,1
Q00416,T00416,1,,
Q00417,T00417,1,5,3
Q00418,T00418,1,,
Q00419,T00419,0,,
Q00420,T00420,1,,
Q00421,T00421,1,2,3
Q00422,T00422,1,4,0
Q00423,T00423,1,5,1
Q00424,T00424,1,5,2
Q00425,T00425,1,,
Q00426,T00426,1,,
Q00427,T00427,1,3,3
Q00428,T00428,1,,
Q00429,T00429,1,5,1
Q00430,T00430,1,5,1
Q00431,T00431,1,,
Q00432,T00432,1,5,3
Q00433,T00433,1,,
Q00434,T00434,1,,
Q00435,T00435,0,,
Q00436,T00436,1,5,3
Q00437,T00437,1,4,2
Q00438,T00438,1,5,3
Q00439,T00439,1,,
Q00440,T00440,1,5,3
Q00441,T00441,1,,
Q00442,T00442,1,5,4
Q00443,T00443,1,,
Q00444,T00444,1,4,4
Q00445,T00445,1,5,1
Q00446,T00446,1,4,1
Q00447,T00447,1,5,3
Q00448,T00448,0,,
Q00449,T00449,1,,
Q00450,T00450,1,,
Q00451,T00451,1,4,2
Q00452,T00452,1,5,0
Q00453,T00453,1,4,0
Q00454,T00454,1,5,0
Q00455,T00455,0,,
Q00456,T00456,1,5,3
Q00457,T00457,1,4,4
Q00458,T00458,1,5,4
Q00459,T00459,1,,
Q00460,T00460,1,5,3
Q00461,T00461,1,5,2
Q00462,T00462,1,,
Q00463,T00463,1,5,4
Q00464,T00464,1,,
Q00465,T00465,1,4,0
Q00466,T00466,1,,
Q00467,T00467,1,,
Q00468,T00468,1,,
Q00469,T00469,1,5,4
Q00470,T00470,1,3,2
Q00471,T00471,1,4,2
Q00472,T00472,0,,
Q00473,T00473,1,,
Q00474,T00474,1,,
Q00475,T00475,1,5,4
Q00476,T00476,1,,
Q00477,T00477,1,,
Q00478,T00478,1,4,1
Q00479,T00479,1,,
Q00480,T00480,1,,
Q00481,T00481,1,3,3
Q00482,T00482,1,4,2
Q00483,T00483,1,,
Q00484,T00484,1,5,0
Q00485,T00485,0,,
Q00486,T00486,1,,
Q00487,T00487,1,5,2
Q00488,T00488,1,,
Q00489,T00489,1,5,0
Q00490,T00490,1,4,1
Q00491,T00491,1,4,2
Q00492,T00492,1,5,3
Q00493,T00493,1,,
Q00494,T00494,1,,
Q00495,T00495,1,5,2
Q00496,T00496,1,,
Q00497,T00497,1,,
Q00498,T00498,1,,
Q00499,T00499,0,,
Q00500,T00500,1,4,0
Q00501,T00501,1,,
Q00502,T00502,1,,
Q00503,T00503,1,5,0
Q00504,T00504,1,5,1
Q00505,T00505,1,,
Q00506,T00506,0,,
Q00507,T00507,1,4,0
Q00508,T00508,1,5,2
Q00509,T00509,1,,
Q00510,T00510,1,,
Q00511,T00511,0,,
Q00512,T00512,1,4,3
Q00513,T00513,1,,
Q00514,T00514,1,,
Q00515,T00515,1,5,2
Q00516,T00516,0,,
Q00517,T00517,1,4,4
Q00518,T00518,1,,
Q00519,T00519,1,,
Q00520,T00520,1,3,3
Q00521,T00521,1,,
Q00522,T00522,1,5,1
Q00523,T00523,1,4,2
Q00524,T00524,1,5,1
Q00525,T00525,1,,
Q00526,T00526,1,5,0
Q00527,T00527,1,,
Q00528,T00528,1,,
Q00529,T00529,1,5,2
Q00530,T00530,1,5,1
Q00531,T00531,1,5,0
Q00532,T00532,1,5,4
Q00533,T00533,1,5,1
Q00534,T00534,1,5,2
Q00535,T00535,1,2,0
Q00536,T00536,0,,
Q00537,T00537,1,5,0
Q00538,T00538,1,5,3
Q00539,T00539,1,5,2
Q00540,T00540,1,,
Q00541,T00541,1,4,1
Q00542,T00542,0,,
Q00543,T00543,0,,
Q00544,T00544,1,5,3
Q00545,T00545,1,,
Q00546,T00546,1,4,2
Q00547,T00547,1,5,3
Q00548,T00548,1,5,1
Q00549,T00549,1,5,0
Q00550,T00550,1,5,1
Q00551,T00551,1,5,4
Q00552,T00552,1,5,0
Q00553,T00553,1,,
Q00554,T00554,1,,
Q00555,T00555,1,,
Q00556,T00556,1,,
Q00557,T00557,1,5,4
Q00558,T00558,1,,
Q00559,T00559,1,5,2
Q00560,T00560,1,3,2
Q00561,T00561,1,5,0
Q00562,T00562,1,5,1
Q00563,T00563,1,5,1
Q00564,T00564,1,4,2
Q00565,T00565,1,5,2
Q00566,T00566,1,3,2
Q00567,T00567,1,5,0
Q00568,T00568,1,4,2
Q00569,T00569,1,4,2
Q00570,T00570,1,,
Q00571,T00571,1,,
Q00572,T00572,1,,
Q00573,T00573,0,,
Q00574,T00574,1,,
Q00575,T00575,1,,
Q00576,T00576,1,4,3
Q00577,T00577,0,,
Q00578,T00578,1,5,1
Q00579,T00579,1,5,0
Q00580,T00580,1,4,0
Q00581,T00581,1,4,4
Q00582,T00582,1,5,0
Q00583,T00583,1,,
Q00584,T00584,1,5,2
Q00585,T00585,1,,
Q00586,T00586,0,,
Q00587,T00587,1,5,4
Q00588,T00588,1,4,3
Q00589,T00589,1,4,0
Q00590,T00590,1,4,2
Q00591,T00591,0,,
Q00592,T00592,1,3,4
Q00593,T00593,1,,
Q00594,T00594,1,,
Q00595,T00595,1,4,2
Q00596,T00596,1,,
Q00597,T00597,0,,
Q00598,T00598,1,4,3
Q00599,T00599,1,,
Q00600,T00600,1,5,1
Q00601,T00601,1,,
Q00602,T00602,1,2,3
Q00603,T00603,1,5,0
Q00604,T00604,1,4,4
Q00605,T00605,1,5,0
Q00606,T00606,1,,
Q00607,T00607,1,,
Q00608,T00608,1,,
Q00609,T00609,1,5,0
Q00610,T00610,1,,
Q00611,T00611,1,4,3
Q00612,T00612,1,5,2
Q00613,T00613,1,,
Q00614,T00614,0,,
Q00615,T00615,1,,
Q00616,T00616,0,,
Q00617,T00617,0,,
Q00618,T00618,1,,
Q00619,T00619,1,,
Q00620,T00620,1,,
Q00621,T00621,1,,
Q00622,T00622,1,5,2
Q00623,T00623,1,4,2
Q00624,T00624,1,,
Q00625,T00625,1,5,3
Q00626,T00626,1,5,2
Q00627,T00627,1,,
Q00628,T00628,1,4,0
Q00629,T00629,1,4,3
Q00630,T00630,1,,
Q00631,T00631,1,5,1
Q00632,T00632,1,4,0
Q00633,T00633,1,,
Q00634,T00634,1,5,1
Q00635,T00635,1,5,0
Q00636,T00636,1,4,4
Q00637,T00637,1,,
Q00638,T00638,1,,
Q00639,T00639,1,5,4
Q00640,T00640,1,4,3
Q00641,T00641,1,,
Q00642,T00642,1,5,2
Q00643,T00643,1,,
Q00644,T00644,1,5,1
Q00645,T00645,1,5,2
Q00646,T00646,1,,
Q00647,T00647,1,5,3
Q00648,T00648,1,5,2
Q00649,T00649,1,4,1
Q00650,T00650,1,,
Q00651,T00651,1,5,3
Q00652,T00652,1,5,3
Q00653,T00653,0,,
Q00654,T00654,1,4,4
Q00655,T00655,1,,
Q00656,T00656,1,,
Q00657,T00657,1,5,1
Q00658,T00658,1,4,0
Q00659,T00659,0,,
Q00660,T00660,1,4,0
Q00661,T00661,1,,
Q00662,T00662,1,5,1
Q00663,T00663,1,,
Q00664,T00664,1,5,4
Q00665,T00665,1,5,2
Q00666,T00666,1,5,2
Q00667,T00667,0,,
Q00668,T00668,1,,
Q00669,T00669,1,4,3
Q00670,T00670,1,,
Q00671,T00671,1,5,0
Q00672,T00672,1,,
Q00673,T00673,1,4,4
Q00674,T00674,1,5,3
Q00675,T00675,1,,
Q00676,T00676,0,,
Q00677,T00677,0,,
Q00678,T00678,1,5,0
Q00679,T00679,1,,
Q00680,T00680,0,,
Q00681,T00681,1,5,2
Q00682,T00682,1,5,0
Q00683,T00683,1,,
Q00684,T00684,1,5,1
Q00685,T00685,1,5,0
Q00686,T00686,1,5,1
Q00687,T00687,1,,
Q00688,T00688,1,,
Q00689,T00689,0,,
Q00690,T00690,1,,
Q00691,T00691,1,,
Q00692,T00692,1,4,4
Q00693,T00693,1,,
Q00694,T00694,1,3,1
Q00695,T00695,1,,
Q00696,T00696,1,1,4
Q00697,T00697,1,5,4
Q00698,T00698,0,,
Q00699,T00699,1,5,4
Q00700,T00700,1,,
Q00701,T00701,1,5,1
Q00702,T00702,1,4,3
Q00703,T00703,1,,
Q00704,T00704,1,,
Q00705,T00705,1,5,0
Q00706,T00706,1,,
Q00707,T00707,1,,
Q00708,T00708,0,,
Q00709,T00709,1,5,3
Q00710,T00710,1,,
Q00711,T00711,1,4,4
Q00712,T00712,1,4,3
Q00713,T00713,1,3,4
Q00714,T00714,1,5,0
Q00715,T00715,1,4,1
Q00716,T00716,1,5,2
Q00717,T00717,1,4,3
Q00718,T00718,1,4,2
Q00719,T00719,1,,
Q00720,T00720,1,5,0
Q00721,T00721,1,5,3
Q00722,T00722,1,,
Q00723,T00723,1,5,0
Q00724,T00724,1,5,2
Q00725,T00725,1,5,1
Q00726,T00726,1,5,2
Q00727,T00727,1,,
Q00728,T00728,0,,
Q00729,T00729,1,3,2
Q00730,T00730,1,5,3
Q00731,T00731,1,5,1
Q00732,T00732,1,,
Q00733,T00733,1,3,4
Q00734,T00734,1,5,1
Q00735,T00735,1,5,4
Q00736,T00736,1,,
Q00737,T00737,1,5,2
Q00738,T00738,1,5,1
Q00739,T00739,1,5,4
Q00740,T00740,1,,
Q00741,T00741,1,5,2
Q00742,T00742,1,4,2
Q00743,T00743,0,,
Q00744,T00744,1,,
Q00745,T00745,1,,
Q00746,T00746,1,,
Q00747,T00747,1,5,4
Q00748,T00748,0,,
Q00749,T00749,1,,
Q00750,T00750,0,,
Q00751,T00751,1,5,3
Q00752,T00752,1,3,4
Q00753,T00753,1,,
Q00754,T00754,1,5,4
Q00755,T00755,1,,
Q00756,T00756,1,5,2
Q00757,T00757,1,5,3
Q00758,T00758,1,5,3
Q00759,T00759,1,4,2
Q00760,T00760,1,,
Q00761,T00761,1,1,4
Q00762,T00762,1,,
Q00763,T00763,1,,
Q00764,T00764,1,,
Q00765,T00765,1,4,2
Q00766,T00766,0,,
Q00767,T00767,0,,
Q00768,T00768,1,,
Q00769,T00769,1,,
Q00770,T00770,1,5,3
Q00771,T00771,1,5,3
Q00772,T00772,1,5,1
Q00773,T00773,1,5,1
Q00774,T00774,1,5,3
Q00775,T00775,1,,
Q00776,T00776,1,5,4
Q00777,T00777,1,5,0
Q00778,T00778,1,,
Q00779,T00779,1,5,0
Q00780,T00780,1,,
Q00781,T00781,1,5,2
Q00782,T00782,1,4,1
Q00783,T00783,1,,
Q00784,T00784,1,,
Q00785,T00785,1,5,2
Q00786,T00786,1,4,3
Q00787,T00787,0,,
Q00788,T00788,1,5,3
Q00789,T00789,0,,
Q00790,T00790,1,,
Q00791,T00791,1,4,3
Q00792,T00792,0,,
Q00793,T00793,1,5,3
Q00794,T00794,0,,
Q00795,T00795,1,5,3
Q00796,T00796,1,5,4
Q00797,T00797,1,5,3
Q00798,T00798,1,5,0
Q00799,T00799,1,,
Q00800,T00800,1,5,0
Q00801,T00801,1,4,0
Q00802,T00802,1,4,4
Q00803,T00803,1,3,2
Q00804,T00804,1,4,1
Q00805,T00805,1,5,3
Q00806,T00806,1,4,1
Q00807,T00807,1,5,4
Q00808,T00808,1,5,0
Q00809,T00809,1,,
Q00810,T00810,1,4,4
Q00811,T00811,1,4,1
Q00812,T00812,1,2,3
Q00813,T00813,0,,
Q00814,T00814,1,5,3
Q00815,T00815,1,,
Q00816,T00816,1,5,1
Q00817,T00817,1,4,3
Q00818,T00818,1,,
Q00819,T00819,1,,
Q00820,T00820,1,5,1
Q00821,T00821,0,,
Q00822,T00822,1,3,3
Q00823,T00823,1,,
Q00824,T00824,1,,
Q00825,T00825,1,5,2
Q00826,T00826,1,,
Q00827,T00827,1,5,1
Q00828,T00828,1,5,1
Q00829,T00829,1,3,0
Q00830,T00830,1,3,3
Q00831,T00831,1,,
Q00832,T00832,1,5,1
Q00833,T00833,0,,
Q00834,T00834,1,,
Q00835,T00835,1,5,1
Q00836,T00836,1,4,2
Q00837,T00837,1,3,3
Q00838,T00838,1,4,1
Q00839,T00839,0,,
Q00840,T00840,1,4,4
Q00841,T00841,1,5,0
Q00842,T00842,1,4,1
Q00843,T00843,0,,
Q00844,T00844,1,4,1
Q00845,T00845,1,,
Q00846,T00846,1,5,1
Q00847,T00847,0,,
Q00848,T00848,1,,
Q00849,T00849,0,,
Q00850,T00850,1,5,1
Q00851,T00851,1,5,2
Q00852,T00852,1,2,3
Q00853,T00853,1,4,4
Q00854,T00854,1,5,0
Q00855,T00855,1,4,1
Q00856,T00856,1,5,1
Q00857,T00857,1,2,1
Q00858,T00858,0,,
Q00859,T00859,1,,
Q00860,T00860,1,5,3
Q00861,T00861,0,,
Q00862,T00862,1,,
Q00863,T00863,1,,
Q00864,T00864,1,5,0
Q00865,T00865,1,4,4
Q00866,T00866,1,,
Q00867,T00867,1,4,2
Q00868,T00868,1,5,2
Q00869,T00869,1,5,0
Q00870,T00870,0,,
Q00871,T00871,0,,
Q00872,T00872,1,5,4
Q00873,T00873,1,,
Q00874,T00874,1,5,1
Q00875,T00875,0,,
Q00876,T00876,1,5,2
Q00877,T00877,1,,
Q00878,T00878,1,4,4
Q00879,T00879,1,5,4
Q00880,T00880,1,5,2
Q00881,T00881,1,3,4
Q00882,T00882,1,4,3
Q00883,T00883,1,4,3
Q00884,T00884,1,,
Q00885,T00885,0,,
Q00886,T00886,1,5,0
Q00887,T00887,1,3,1
Q00888,T00888,1,,
Q00889,T00889,1,5,0
Q00890,T00890,1,,
Q00891,T00891,1,4,2
Q00892,T00892,1,,
Q00893,T00893,1,5,3
Q00894,T00894,1,5,2
Q00895,T00895,1,5,0
Q00896,T00896,1,,
Q00897,T00897,1,4,3
Q00898,T00898,1,,
Q00899,T00899,1,5,3
Q00900,T00900,0,,
Q00901,T00901,1,5,1
Q00902,T00902,1,4,4
Q00903,T00903,1,4,4
Q00904,T00904,1,5,3
Q00905,T00905,1,4,2
Q00906,T00906,1,4,0
Q00907,T00907,1,5,3
Q00908,T00908,1,,
Q00909,T00909,1,5,1
Q00910,T00910,1,4,1
Q00911,T00911,1,3,2
Q00912,T00912,0,,
Q00913,T00913,1,4,3
Q00914,T00914,1,,
Q00915,T00915,1,,
Q00916,T00916,1,,
Q00917,T00917,1,4,0
Q00918,T00918,1,5,2
Q00919,T00919,1,,
Q00920,T00920,1,4,4
Q00921,T00921,1,,
Q00922,T00922,1,,
Q00923,T00923,1,,
Q00924,T00924,1,,
Q00925,T00925,1,5,3
Q00926,T00926,1,5,2
Q00927,T00927,1,,
Q00928,T00928,1,3,2
Q00929,T00929,1,5,2
Q00930,T00930,0,,
Q00931,T00931,1,,
Q00932,T00932,1,5,0
Q00933,T00933,1,4,2
Q00934,T00934,0,,
Q00935,T00935,1,,
Q00936,T00936,0,,
Q00937,T00937,1,4,2
Q00938,T00938,0,,
Q00939,T00939,1,5,4
Q00940,T00940,1,,
Q00941,T00941,1,5,4
Q00942,T00942,1,5,4
Q00943,T00943,1,4,1
Q00944,T00944,1,1,1
Q00945,T00945,1,5,1
Q00946,T00946,1,,
Q00947,T00947,1,5,3
Q00948,T00948,1,5,1
Q00949,T00949,0,,
Q00950,T00950,0,,
Q00951,T00951,1,,
Q00952,T00952,1,4,3
Q00953,T00953,0,,
Q00954,T00954,1,,
Q00955,T00955,1,4,0
Q00956,T00956,1,5,2
Q00957,T00957,1,,
Q00958,T00958,0,,
Q00959,T00959,1,5,4
Q00960,T00960,1,4,0
Q00961,T00961,1,,
Q00962,T00962,1,5,4
Q00963,T00963,1,,
Q00964,T00964,1,5,1
Q00965,T00965,1,4,0
Q00966,T00966,1,3,0
Q00967,T00967,1,5,2
Q00968,T00968,1,5,4
Q00969,T00969,1,5,1
Q00970,T00970,1,3,2
Q00971,T00971,1,4,2
Q00972,T00972,1,5,1
Q00973,T00973,1,4,0
Q00974,T00974,1,5,1
Q00975,T00975,1,,
Q00976,T00976,1,4,0
Q00977,T00977,1,4,1
Q00978,T00978,1,3,2
Q00979,T00979,1,4,4
Q00980,T00980,1,3,1
Q00981,T00981,1,4,2
Q00982,T00982,1,5,2
Q00983,T00983,1,,
Q00984,T00984,1,5,0
Q00985,T00985,1,,
