record_id,date,device_id,risk_score,failure_within_24h
2026-06-16-D037,2026-06-16,D037,51.0,0
2026-06-16-D038,2026-06-16,D038,57.5,0
2026-06-16-D039,2026-06-16,D039,27.5,0
2026-06-16-D040,2026-06-16,D040,34.8,0
2026-06-16-D041,2026-06-16,D041,27.9,0
2026-06-16-D042,2026-06-16,D042,54.1,1
2026-06-16-D043,2026-06-16,D043,36.9,0
2026-06-16-D044,2026-06-16,D044,5.4,0
2026-06-16-D045,2026-06-16,D045,44.5,0
2026-06-16-D046,2026-06-16,D046,11.2,0
2026-06-16-D047,2026-06-16,D047,20.6,0
2026-06-16-D048,2026-06-16,D048,28.6,0
2026-06-16-D049,2026-06-16,D049,16.6,0
2026-06-16-D050,2026-06-16,D050,18.7,0
2026-06-16-D051,2026-06-16,D051,14.2,0
2026-06-16-D052,2026-06-16,D052,53.1,0
2026-06-16-D053,2026-06-16,D053,57.9,0
2026-06-16-D054,2026-06-16,D054,41.6,0
2026-06-16-D055,2026-06-16,D055,29.7,0
2026-06-16-D056,2026-06-16,D056,59.7,1
2026-06-16-D057,2026-06-16,D057,26.2,0
2026-06-16-D058,2026-06-16,D058,79.7,0
2026-06-16-D059,2026-06-16,D059,12.0,0
2026-06-16-D060,2026-06-16,D060,59.7,1
2026-06-16-D061,2026-06-16,D061,43.1,0
2026-06-16-D062,2026-06-16,D062,16.8,0
2026-06-16-D063,2026-06-16,D063,0,0
2026-06-16-D064,2026-06-16,D064,20.0,0
2026-06-16-D065,2026-06-16,D065,66.8,0
2026-06-16-D066,2026-06-16,D066,16.8,0
2026-06-16-D067,2026-06-16,D067,71.9,0
2026-06-16-D068,2026-06-16,D068,89.3,1
2026-06-16-D069,2026-06-16,D069,36.8,1
2026-06-16-D070,2026-06-16,D070,19.0,0
2026-06-16-D071,2026-06-16,D071,33.8,1
2026-06-16-D072,2026-06-16,D072,36.8,0
2026-06-16-D073,2026-06-16,D073,46.1,0
2026-06-16-D074,2026-06-16,D074,59.6,1
2026-06-16-D075,2026-06-16,D075,28.7,0
2026-06-16-D076,2026-06-16,D076,71.3,0
2026-06-16-D077,2026-06-16,D077,41.0,0
2026-06-16-D078,2026-06-16,D078,68.6,0
2026-06-16-D079,2026-06-16,D079,40.0,0
2026-06-16-D080,2026-06-16,D080,17.4,0
2026-06-16-D081,2026-06-16,D081,31.9,1
2026-06-16-D082,2026-06-16,D082,52.8,0
2026-06-16-D083,2026-06-16,D083,56.8,0
2026-06-16-D084,2026-06-16,D084,55.6,0
2026-06-16-D085,2026-06-16,D085,27.4,0
2026-06-16-D086,2026-06-16,D086,31.6,0
2026-06-16-D087,2026-06-16,D087,64.1,0
2026-06-16-D088,2026-06-16,D088,36.0,0
2026-06-16-D089,2026-06-16,D089,40.0,1
2026-06-16-D090,2026-06-16,D090,57.4,0
2026-06-17-D001,2026-06-17,D001,40.0,0
2026-06-17-D002,2026-06-17,D002,14.7,0
2026-06-17-D003,2026-06-17,D003,62.7,0
2026-06-17-D004,2026-06-17,D004,72.1,0
2026-06-17-D005,2026-06-17,D005,51.2,0
2026-06-17-D006,2026-06-17,D006,32.8,0
2026-06-17-D007,2026-06-17,D007,25.6,0
2026-06-17-D008,2026-06-17,D008,17.0,0
2026-06-17-D009,2026-06-17,D009,37.9,0
2026-06-17-D010,2026-06-17,D010,68.2,0
2026-06-17-D011,2026-06-17,D011,87.3,0
2026-06-17-D012,2026-06-17,D012,59.2,1
2026-06-17-D013,2026-06-17,D013,55.1,0
2026-06-17-D014,2026-06-17,D014,63.3,0
2026-06-17-D015,2026-06-17,D015,21.0,0
2026-06-17-D016,2026-06-17,D016,34.4,0
2026-06-17-D017,2026-06-17,D017,65.0,0
2026-06-17-D018,2026-06-17,D018,45.3,0
2026-06-17-D019,2026-06-17,D019,14.9,0
2026-06-17-D020,2026-06-17,D020,81.1,1
2026-06-17-D021,2026-06-17,D021,27.9,0
2026-06-17-D022,2026-06-17,D022,34.8,0
2026-06-17-D023,2026-06-17,D023,72.9,1
2026-06-17-D024,2026-06-17,D024,30.9,0
2026-06-17-D025,2026-06-17,D025,84.8,1
2026-06-17-D026,2026-06-17,D026,59.8,0
2026-06-17-D027,2026-06-17,D027,0,0
2026-06-17-D028,2026-06-17,D028,49.0,0
2026-06-17-D029,2026-06-17,D029,89.9,1
2026-06-17-D030,2026-06-17,D030,18.7,0
2026-06-17-D031,2026-06-17,D031,46.5,0
2026-06-17-D032,2026-06-17,D032,21.7,0
2026-06-17-D033,2026-06-17,D033,49.9,0
2026-06-17-D034,2026-06-17,D034,53.4,0
2026-06-17-D035,2026-06-17,D035,46.7,0
2026-06-17-D036,2026-06-17,D036,31.2,0
2026-06-17-D037,2026-06-17,D037,40.3,0
2026-06-17-D038,2026-06-17,D038,57.0,1
2026-06-17-D039,2026-06-17,D039,68.5,0
2026-06-17-D040,2026-06-17,D040,37.9,0
2026-06-17-D041,2026-06-17,D041,52.3,0
2026-06-17-D042,2026-06-17,D042,79.9,1
2026-06-17-D043,2026-06-17,D043,48.3,0
2026-06-17-D044,2026-06-17,D044,16.8,0
2026-06-17-D045,2026-06-17,D045,6.5,0
2026-06-17-D046,2026-06-17,D046,41.8,0
2026-06-17-D047,2026-06-17,D047,21.9,0
2026-06-17-D048,2026-06-17,D048,13.2,0
2026-06-17-D049,2026-06-17,D049,16.1,0
2026-06-17-D050,2026-06-17,D050,28.0,0
2026-06-17-D051,2026-06-17,D051,68.5,0
2026-06-17-D052,2026-06-17,D052,47.7,1
2026-06-17-D053,2026-06-17,D053,32.8,0
2026-06-17-D054,2026-06-17,D054,19.3,1
2026-06-17-D055,2026-06-17,D055,71.0,0
2026-06-17-D056,2026-06-17,D056,31.5,0
2026-06-17-D057,2026-06-17,D057,73.2,1
2026-06-17-D058,2026-06-17,D058,32.0,0
2026-06-17-D059,2026-06-17,D059,17.1,0
2026-06-17-D060,2026-06-17,D060,28.0,0
2026-06-17-D061,2026-06-17,D061,62.8,0
2026-06-17-D062,2026-06-17,D062,36.9,0
2026-06-17-D063,2026-06-17,D063,11.1,0
2026-06-17-D064,2026-06-17,D064,17.3,0
2026-06-17-D065,2026-06-17,D065,23.4,0
2026-06-17-D066,2026-06-17,D066,18.7,0
2026-06-17-D067,2026-06-17,D067,56.8,0
2026-06-17-D068,2026-06-17,D068,36.9,0
2026-06-17-D069,2026-06-17,D069,48.3,0
2026-06-17-D070,2026-06-17,D070,19.4,0
2026-06-17-D071,2026-06-17,D071,39.5,0
2026-06-17-D072,2026-06-17,D072,24.9,0
2026-06-17-D073,2026-06-17,D073,34.8,0
2026-06-17-D074,2026-06-17,D074,49.0,0
2026-06-17-D075,2026-06-17,D075,20.6,0
2026-06-17-D076,2026-06-17,D076,81.3,0
2026-06-17-D077,2026-06-17,D077,27.4,1
2026-06-17-D078,2026-06-17,D078,8.6,0
2026-06-17-D079,2026-06-17,D079,16.0,0
2026-06-17-D080,2026-06-17,D080,63.9,0
2026-06-17-D081,2026-06-17,D081,42.0,0
2026-06-17-D082,2026-06-17,D082,68.8,0
2026-06-17-D083,2026-06-17,D083,65.6,1
2026-06-17-D084,2026-06-17,D084,40.1,1
2026-06-17-D085,2026-06-17,D085,43.0,0
2026-06-17-D086,2026-06-17,D086,32.4,0
2026-06-17-D087,2026-06-17,D087,43.7,0
2026-06-17-D088,2026-06-17,D088,10.4,0
2026-06-17-D089,2026-06-17,D089,17.6,0
2026-06-17-D090,2026-06-17,D090,26.2,0
2026-06-18-D001,2026-06-18,D001,14.8,0
2026-06-18-D002,2026-06-18,D002,76.6,1
2026-06-18-D003,2026-06-18,D003,8.6,0
2026-06-18-D004,2026-06-18,D004,86.8,0
2026-06-18-D005,2026-06-18,D005,64.9,0
2026-06-18-D006,2026-06-18,D006,23.2,0
2026-06-18-D007,2026-06-18,D007,78.6,1
2026-06-18-D008,2026-06-18,D008,36.7,0
2026-06-18-D009,2026-06-18,D009,34.1,1
2026-06-18-D010,2026-06-18,D010,85.6,0
2026-06-18-D011,2026-06-18,D011,16.7,0
2026-06-18-D012,2026-06-18,D012,46.3,1
2026-06-18-D013,2026-06-18,D013,35.4,0
2026-06-18-D014,2026-06-18,D014,47.9,0
2026-06-18-D015,2026-06-18,D015,5.9,0
2026-06-18-D016,2026-06-18,D016,57.6,0
2026-06-18-D017,2026-06-18,D017,53.3,1
2026-06-18-D018,2026-06-18,D018,17.6,0
2026-06-18-D019,2026-06-18,D019,35.6,0
2026-06-18-D020,2026-06-18,D020,62.7,0
2026-06-18-D021,2026-06-18,D021,41.2,0
2026-06-18-D022,2026-06-18,D022,72.0,0
2026-06-18-D023,2026-06-18,D023,11.5,0
2026-06-18-D024,2026-06-18,D024,30.6,0
2026-06-18-D025,2026-06-18,D025,33.1,0
2026-06-18-D026,2026-06-18,D026,36.8,0
2026-06-18-D027,2026-06-18,D027,50.5,0
2026-06-18-D028,2026-06-18,D028,6.5,0
2026-06-18-D029,2026-06-18,D029,57.1,0
2026-06-18-D030,2026-06-18,D030,70.5,1
2026-06-18-D031,2026-06-18,D031,37.0,0
2026-06-18-D032,2026-06-18,D032,19.6,0
2026-06-18-D033,2026-06-18,D033,19.8,0
2026-06-18-D034,2026-06-18,D034,5.9,0
2026-06-18-D035,2026-06-18,D035,6.6,0
2026-06-18-D036,2026-06-18,D036,10.6,0
2026-06-18-D037,2026-06-18,D037,38.7,0
2026-06-18-D038,2026-06-18,D038,34.7,0
2026-06-18-D039,2026-06-18,D039,11.0,0
2026-06-18-D040,2026-06-18,D040,75.6,0
2026-06-18-D041,2026-06-18,D041,31.9,0
2026-06-18-D042,2026-06-18,D042,1.9,0
2026-06-18-D043,2026-06-18,D043,81.0,1
2026-06-18-D044,2026-06-18,D044,27.6,0
2026-06-18-D045,2026-06-18,D045,13.0,0
2026-06-18-D046,2026-06-18,D046,98.1,1
2026-06-18-D047,2026-06-18,D047,46.8,0
2026-06-18-D048,2026-06-18,D048,52.9,0
2026-06-18-D049,2026-06-18,D049,78.2,0
2026-06-18-D050,2026-06-18,D050,44.6,1
2026-06-18-D051,2026-06-18,D051,36.5,0
2026-06-18-D052,2026-06-18,D052,29.2,0
2026-06-18-D053,2026-06-18,D053,34.2,0
2026-06-18-D054,2026-06-18,D054,11.3,0
2026-06-18-D055,2026-06-18,D055,26.1,0
2026-06-18-D056,2026-06-18,D056,60.4,0
2026-06-18-D057,2026-06-18,D057,41.5,0
2026-06-18-D058,2026-06-18,D058,26.2,0
2026-06-18-D059,2026-06-18,D059,7.3,0
2026-06-18-D060,2026-06-18,D060,3.7,0
2026-06-18-D061,2026-06-18,D061,41.4,0
2026-06-18-D062,2026-06-18,D062,22.7,0
2026-06-18-D063,2026-06-18,D063,18.3,0
2026-06-18-D064,2026-06-18,D064,45.0,0
2026-06-18-D065,2026-06-18,D065,19.0,0
2026-06-18-D066,2026-06-18,D066,3.6,0
2026-06-18-D067,2026-06-18,D067,54.9,0
2026-06-18-D068,2026-06-18,D068,7.8,0
2026-06-18-D069,2026-06-18,D069,19.1,0
2026-06-18-D070,2026-06-18,D070,15.3,0
2026-06-18-D071,2026-06-18,D071,4.6,0
2026-06-18-D072,2026-06-18,D072,24.8,0
2026-06-18-D073,2026-06-18,D073,47.5,0
2026-06-18-D074,2026-06-18,D074,61.7,1
2026-06-18-D075,2026-06-18,D075,37.7,0
2026-06-18-D076,2026-06-18,D076,55.6,0
2026-06-18-D077,2026-06-18,D077,57.9,0
2026-06-18-D078,2026-06-18,D078,33.9,0
2026-06-18-D079,2026-06-18,D079,32.5,0
2026-06-18-D080,2026-06-18,D080,8.8,0
2026-06-18-D081,2026-06-18,D081,7.9,0
2026-06-18-D082,2026-06-18,D082,20.2,0
2026-06-18-D083,2026-06-18,D083,23.3,0
2026-06-18-D084,2026-06-18,D084,27.2,0
2026-06-18-D085,2026-06-18,D085,50.6,0
2026-06-18-D086,2026-06-18,D086,63.7,0
2026-06-18-D087,2026-06-18,D087,65.7,1
2026-06-18-D088,2026-06-18,D088,26.9,0
2026-06-18-D089,2026-06-18,D089,25.9,0
2026-06-18-D090,2026-06-18,D090,62.7,0
2026-06-19-D001,2026-06-19,D001,42.0,0
2026-06-19-D002,2026-06-19,D002,65.4,1
2026-06-19-D003,2026-06-19,D003,35.4,0
2026-06-19-D004,2026-06-19,D004,45.3,0
2026-06-19-D005,2026-06-19,D005,89.3,1
2026-06-19-D006,2026-06-19,D006,17.5,0
2026-06-19-D007,2026-06-19,D007,31.0,0
2026-06-19-D008,2026-06-19,D008,8.2,0
2026-06-19-D009,2026-06-19,D009,51.6,0
2026-06-19-D010,2026-06-19,D010,26.8,0
2026-06-19-D011,2026-06-19,D011,71.1,0
2026-06-19-D012,2026-06-19,D012,15.0,0
2026-06-19-D013,2026-06-19,D013,55.2,0
2026-06-19-D014,2026-06-19,D014,28.3,0
2026-06-19-D015,2026-06-19,D015,13.1,0
2026-06-19-D016,2026-06-19,D016,37.0,0
2026-06-19-D017,2026-06-19,D017,45.6,0
2026-06-19-D018,2026-06-19,D018,26.1,0
2026-06-19-D019,2026-06-19,D019,78.5,0
2026-06-19-D020,2026-06-19,D020,61.0,1
2026-06-19-D021,2026-06-19,D021,56.6,0
2026-06-19-D022,2026-06-19,D022,18.4,0
2026-06-19-D023,2026-06-19,D023,69.8,0
2026-06-19-D024,2026-06-19,D024,30.8,0
2026-06-19-D025,2026-06-19,D025,58.6,0
2026-06-19-D026,2026-06-19,D026,57.5,1
2026-06-19-D027,2026-06-19,D027,10.3,0
2026-06-19-D028,2026-06-19,D028,13.8,0
2026-06-19-D029,2026-06-19,D029,30.8,0
2026-06-19-D030,2026-06-19,D030,58.4,1
2026-06-19-D031,2026-06-19,D031,73.5,0
2026-06-19-D032,2026-06-19,D032,91.4,1
2026-06-19-D033,2026-06-19,D033,75.4,0
2026-06-19-D034,2026-06-19,D034,23.1,0
2026-06-19-D035,2026-06-19,D035,55.0,1
2026-06-19-D036,2026-06-19,D036,46.0,1
2026-06-19-D037,2026-06-19,D037,29.4,0
2026-06-19-D038,2026-06-19,D038,51.8,1
2026-06-19-D039,2026-06-19,D039,37.6,0
2026-06-19-D040,2026-06-19,D040,38.9,0
2026-06-19-D041,2026-06-19,D041,27.2,0
2026-06-19-D042,2026-06-19,D042,57.9,0
2026-06-19-D043,2026-06-19,D043,60.3,1
2026-06-19-D044,2026-06-19,D044,27.5,0
2026-06-19-D045,2026-06-19,D045,38.1,0
2026-06-19-D046,2026-06-19,D046,51.6,0
2026-06-19-D047,2026-06-19,D047,13.1,0
2026-06-19-D048,2026-06-19,D048,14.7,0
2026-06-19-D049,2026-06-19,D049,72.1,0
2026-06-19-D050,2026-06-19,D050,13.6,0
2026-06-19-D051,2026-06-19,D051,45.9,0
2026-06-19-D052,2026-06-19,D052,20.4,0
2026-06-19-D053,2026-06-19,D053,1.9,0
2026-06-19-D054,2026-06-19,D054,23.3,0
2026-06-19-D055,2026-06-19,D055,19.5,0
2026-06-19-D056,2026-06-19,D056,50.5,0
2026-06-19-D057,2026-06-19,D057,48.5,0
2026-06-19-D058,2026-06-19,D058,15.2,0
2026-06-19-D059,2026-06-19,D059,63.3,0
2026-06-19-D060,2026-06-19,D060,20.1,0
2026-06-19-D061,2026-06-19,D061,12.8,0
2026-06-19-D062,2026-06-19,D062,46.1,0
2026-06-19-D063,2026-06-19,D063,48.4,0
2026-06-19-D064,2026-06-19,D064,51.8,0
2026-06-19-D065,2026-06-19,D065,35.5,0
2026-06-19-D066,2026-06-19,D066,75.0,1
2026-06-19-D067,2026-06-19,D067,52.7,0
2026-06-19-D068,2026-06-19,D068,37.1,0
2026-06-19-D069,2026-06-19,D069,45.2,0
2026-06-19-D070,2026-06-19,D070,41.7,0
2026-06-19-D071,2026-06-19,D071,22.9,1
2026-06-19-D072,2026-06-19,D072,22.9,1
2026-06-19-D073,2026-06-19,D073,27.7,0
2026-06-19-D074,2026-06-19,D074,37.6,0
2026-06-19-D075,2026-06-19,D075,25.7,0
2026-06-19-D076,2026-06-19,D076,40.6,0
2026-06-19-D077,2026-06-19,D077,47.6,0
2026-06-19-D078,2026-06-19,D078,76.1,1
2026-06-19-D079,2026-06-19,D079,47.6,1
2026-06-19-D080,2026-06-19,D080,22.4,0
2026-06-19-D081,2026-06-19,D081,34.8,0
2026-06-19-D082,2026-06-19,D082,85.3,1
2026-06-19-D083,2026-06-19,D083,76.1,0
2026-06-19-D084,2026-06-19,D084,8.8,0
2026-06-19-D085,2026-06-19,D085,45.9,0
2026-06-19-D086,2026-06-19,D086,61.1,0
2026-06-19-D087,2026-06-19,D087,18.2,1
2026-06-19-D088,2026-06-19,D088,29.9,0
2026-06-19-D089,2026-06-19,D089,19.4,0
2026-06-19-D090,2026-06-19,D090,0,0
2026-06-20-D001,2026-06-20,D001,37.7,0
2026-06-20-D002,2026-06-20,D002,11.4,0
2026-06-20-D003,2026-06-20,D003,77.7,1
2026-06-20-D004,2026-06-20,D004,24.9,0
2026-06-20-D005,2026-06-20,D005,34.7,0
2026-06-20-D006,2026-06-20,D006,30.8,1
2026-06-20-D007,2026-06-20,D007,71.9,1
2026-06-20-D008,2026-06-20,D008,27.1,0
2026-06-20-D009,2026-06-20,D009,52.5,0
2026-06-20-D010,2026-06-20,D010,60.1,0
2026-06-20-D011,2026-06-20,D011,46.5,0
2026-06-20-D012,2026-06-20,D012,26.6,0
2026-06-20-D013,2026-06-20,D013,54.6,0
2026-06-20-D014,2026-06-20,D014,61.0,0
2026-06-20-D015,2026-06-20,D015,17.2,0
2026-06-20-D016,2026-06-20,D016,26.1,0
2026-06-20-D017,2026-06-20,D017,7.9,0
2026-06-20-D018,2026-06-20,D018,49.3,1
2026-06-20-D019,2026-06-20,D019,54.5,0
2026-06-20-D020,2026-06-20,D020,46.5,0
2026-06-20-D021,2026-06-20,D021,15.4,0
2026-06-20-D022,2026-06-20,D022,57.6,0
2026-06-20-D023,2026-06-20,D023,39.6,0
2026-06-20-D024,2026-06-20,D024,73.5,0
2026-06-20-D025,2026-06-20,D025,41.7,0
2026-06-20-D026,2026-06-20,D026,75.1,1
2026-06-20-D027,2026-06-20,D027,1.4,0
2026-06-20-D028,2026-06-20,D028,36.0,0
2026-06-20-D029,2026-06-20,D029,24.0,0
2026-06-20-D030,2026-06-20,D030,35.8,0
2026-06-20-D031,2026-06-20,D031,45.6,0
2026-06-20-D032,2026-06-20,D032,43.5,0
2026-06-20-D033,2026-06-20,D033,47.2,0
2026-06-20-D034,2026-06-20,D034,31.9,0
2026-06-20-D035,2026-06-20,D035,22.2,0
2026-06-20-D036,2026-06-20,D036,48.6,0
2026-06-20-D037,2026-06-20,D037,12.8,0
2026-06-20-D038,2026-06-20,D038,49.9,0
2026-06-20-D039,2026-06-20,D039,43.7,0
2026-06-20-D040,2026-06-20,D040,17.1,0
2026-06-20-D041,2026-06-20,D041,30.0,0
2026-06-20-D042,2026-06-20,D042,57.9,0
2026-06-20-D043,2026-06-20,D043,17.5,0
2026-06-20-D044,2026-06-20,D044,35.2,0
2026-06-20-D045,2026-06-20,D045,0,0
2026-06-20-D046,2026-06-20,D046,32.5,0
2026-06-20-D047,2026-06-20,D047,59.1,1
2026-06-20-D048,2026-06-20,D048,18.7,0
2026-06-20-D049,2026-06-20,D049,23.9,0
2026-06-20-D050,2026-06-20,D050,26.7,0
2026-06-20-D051,2026-06-20,D051,32.6,0
2026-06-20-D052,2026-06-20,D052,1.5,0
2026-06-20-D053,2026-06-20,D053,11.9,0
2026-06-20-D054,2026-06-20,D054,2.7,0
2026-06-20-D055,2026-06-20,D055,23.8,0
2026-06-20-D056,2026-06-20,D056,54.1,0
2026-06-20-D057,2026-06-20,D057,64.9,1
2026-06-20-D058,2026-06-20,D058,29.2,0
2026-06-20-D059,2026-06-20,D059,58.8,0
2026-06-20-D060,2026-06-20,D060,48.3,0
2026-06-20-D061,2026-06-20,D061,30.2,0
2026-06-20-D062,2026-06-20,D062,53.8,1
2026-06-20-D063,2026-06-20,D063,47.4,1
2026-06-20-D064,2026-06-20,D064,25.4,0
2026-06-20-D065,2026-06-20,D065,34.9,0
2026-06-20-D066,2026-06-20,D066,54.0,1
2026-06-20-D067,2026-06-20,D067,50.2,0
2026-06-20-D068,2026-06-20,D068,23.9,0
2026-06-20-D069,2026-06-20,D069,7.6,0
2026-06-20-D070,2026-06-20,D070,62.5,0
2026-06-20-D071,2026-06-20,D071,16.1,0
2026-06-20-D072,2026-06-20,D072,47.9,1
2026-06-20-D073,2026-06-20,D073,44.3,0
2026-06-20-D074,2026-06-20,D074,34.6,0
2026-06-20-D075,2026-06-20,D075,75.5,0
2026-06-20-D076,2026-06-20,D076,48.9,0
2026-06-20-D077,2026-06-20,D077,65.4,0
2026-06-20-D078,2026-06-20,D078,64.0,0
2026-06-20-D079,2026-06-20,D079,11.7,0
2026-06-20-D080,2026-06-20,D080,63.9,0
2026-06-20-D081,2026-06-20,D081,16.0,0
2026-06-20-D082,2026-06-20,D082,25.5,0
2026-06-20-D083,2026-06-20,D083,88.1,0
2026-06-20-D084,2026-06-20,D084,24.0,0
2026-06-20-D085,2026-06-20,D085,58.5,0
2026-06-20-D086,2026-06-20,D086,30.9,0
2026-06-20-D087,2026-06-20,D087,16.7,0
