person_id,team,block,baseline_minutes,workload
E12-14,T12,B2,53.229,1.018
E12-15,T12,B2,72.238,0.996
E12-16,T12,B2,61.478,1.168
E12-17,T12,B2,62.968,0.699
E12-18,T12,B2,64.581,1.294
E12-19,T12,B2,63.517,0.748
E12-20,T12,B2,59.334,1.279
E13-01,T13,B3,61.578,0.71
E13-02,T13,B3,47.133,0.615
E13-03,T13,B3,63.647,1.272
E13-04,T13,B3,54.604,1.003
E13-05,T13,B3,77.321,0.624
E13-06,T13,B3,58.081,0.759
E13-07,T13,B3,58.231,0.728
E13-08,T13,B3,59.094,1.411
E13-09,T13,B3,53.787,1.025
E13-10,T13,B3,72.154,1.299
E13-11,T13,B3,53.275,0.789
E13-12,T13,B3,75.423,1.318
E13-13,T13,B3,61.839,1.008
E13-14,T13,B3,46.169,0.734
E13-15,T13,B3,57.412,0.828
E13-16,T13,B3,48.85,0.75
E13-17,T13,B3,53.836,1.478
E13-18,T13,B3,58.685,1.178
E13-19,T13,B3,61.707,0.743
E13-20,T13,B3,68.601,0.762
E14-01,T14,B3,41.703,0.794
E14-02,T14,B3,56.635,0.848
E14-03,T14,B3,51.47,0.655
E14-04,T14,B3,53.01,1.144
E14-05,T14,B3,40.095,1.09
E14-06,T14,B3,58.022,1.404
E14-07,T14,B3,61.541,0.69
E14-08,T14,B3,53.278,1.224
E14-09,T14,B3,65.18,1.146
E14-10,T14,B3,51.502,1.278
E14-11,T14,B3,43.438,0.749
E14-12,T14,B3,48.602,1.398
E14-13,T14,B3,38.162,1.109
E14-14,T14,B3,55.333,1.112
E14-15,T14,B3,52.552,0.768
E14-16,T14,B3,49.14,1.044
E14-17,T14,B3,50.099,0.796
E14-18,T14,B3,51.587,0.832
E14-19,T14,B3,49.303,1.15
E14-20,T14,B3,46.931,0.651
E15-01,T15,B3,60.971,1.408
E15-02,T15,B3,59.282,1.304
E15-03,T15,B3,47.472,1.109
E15-04,T15,B3,48.397,1.018
E15-05,T15,B3,51.638,0.901
E15-06,T15,B3,34.823,1.264
E15-07,T15,B3,45.331,1.466
E15-08,T15,B3,53.174,0.913
E15-09,T15,B3,52.932,1.206
E15-10,T15,B3,34.982,1.182
E15-11,T15,B3,34.238,0.693
E15-12,T15,B3,48.698,1.216
E15-13,T15,B3,39.659,0.73
E15-14,T15,B3,40.642,0.751
E15-15,T15,B3,44.127,0.883
E15-16,T15,B3,52.511,0.977
E15-17,T15,B3,44.004,0.631
E15-18,T15,B3,47.457,1.42
E15-19,T15,B3,58.766,0.919
E15-20,T15,B3,45.829,1.371
E16-01,T16,B3,62.897,1.058
E16-02,T16,B3,50.327,1.14
E16-03,T16,B3,64.01,1.031
E16-04,T16,B3,54.543,1.498
E16-05,T16,B3,49.28,0.715
E16-06,T16,B3,61.543,1.381
E16-07,T16,B3,51.023,1.327
E16-08,T16,B3,55.356,0.948
E16-09,T16,B3,53.013,1.21
E16-10,T16,B3,71.047,1.265
E16-11,T16,B3,52.65,1.134
E16-12,T16,B3,58.598,1.204
E16-13,T16,B3,68.71,0.61
E16-14,T16,B3,43.196,1.16
E16-15,T16,B3,53.346,0.787
E16-16,T16,B3,45.698,0.729
E16-17,T16,B3,64.193,1.204
E16-18,T16,B3,47.259,0.838
E16-19,T16,B3,53.682,1.173
E16-20,T16,B3,65.208,1.268
E17-01,T17,B3,54.516,0.848
E17-02,T17,B3,57.819,0.69
E17-03,T17,B3,57.333,0.663
E17-04,T17,B3,45.461,1.285
E17-05,T17,B3,56.169,1.087
E17-06,T17,B3,69.159,1.211
E17-07,T17,B3,47.377,1.434
E17-08,T17,B3,62.313,1.234
E17-09,T17,B3,63.782,1.005
E17-10,T17,B3,42.2,1.184
E17-11,T17,B3,63.366,1.397
E17-12,T17,B3,64.496,0.644
E17-13,T17,B3,61.418,1.443
E17-14,T17,B3,56.589,1.464
E17-15,T17,B3,56.317,0.856
E17-16,T17,B3,50.444,1.077
E17-17,T17,B3,64.11,1.289
E17-18,T17,B3,51.619,0.678
E17-19,T17,B3,59.849,0.894
E17-20,T17,B3,56.933,0.792
E18-01,T18,B3,61.763,1.26
E18-02,T18,B3,58.478,0.614
E18-03,T18,B3,59.697,0.998
E18-04,T18,B3,64.678,1.166
E18-05,T18,B3,56.51,1.333
E18-06,T18,B3,64.824,1.011
E18-07,T18,B3,62.464,1.467
E18-08,T18,B3,48.331,0.816
E18-09,T18,B3,57.3,1.141
E18-10,T18,B3,54.02,1.092
E18-11,T18,B3,44.048,1.11
E18-12,T18,B3,53.657,0.776
E18-13,T18,B3,46.962,0.756
E18-14,T18,B3,41.948,1.274
E18-15,T18,B3,58.719,0.91
E18-16,T18,B3,55.308,1.073
E18-17,T18,B3,55.382,1.142
E18-18,T18,B3,49.204,1.245
E18-19,T18,B3,63.661,0.917
E18-20,T18,B3,57.371,1.152
E19-01,T19,B4,35.197,0.888
E19-02,T19,B4,46.381,1.427
E19-03,T19,B4,43.755,0.988
E19-04,T19,B4,32.697,0.968
E19-05,T19,B4,53.729,1.151
E19-06,T19,B4,41.17,0.981
E19-07,T19,B4,57.413,1.425
E19-08,T19,B4,46.818,0.947
E19-09,T19,B4,54.312,1.405
E19-10,T19,B4,40.757,1.348
E19-11,T19,B4,49.995,1.128
E19-12,T19,B4,51.095,1.022
E19-13,T19,B4,52.987,1.27
E19-14,T19,B4,39.224,1.019
E19-15,T19,B4,47.234,1.257
E19-16,T19,B4,32.577,1.278
E19-17,T19,B4,42.45,1.114
E19-18,T19,B4,51.189,0.85
E19-19,T19,B4,45.202,0.641
E19-20,T19,B4,44.954,0.979
E20-01,T20,B4,60.5,1.486
E20-02,T20,B4,69.564,1.016
E20-03,T20,B4,60.85,1.11
E20-04,T20,B4,68.665,0.723
E20-05,T20,B4,64.921,0.658
E20-06,T20,B4,74.783,1.278
E20-07,T20,B4,58.4,1.404
E20-08,T20,B4,65.227,1.206
E20-09,T20,B4,63.689,1.29
E20-10,T20,B4,60.916,1.167
E20-11,T20,B4,63.895,1.226
E20-12,T20,B4,50.777,0.635
E20-13,T20,B4,58.686,0.962
E20-14,T20,B4,69.071,0.806
E20-15,T20,B4,62.882,1.022
E20-16,T20,B4,59.928,0.842
E20-17,T20,B4,57.292,0.834
E20-18,T20,B4,54.853,0.656
E20-19,T20,B4,64.813,1.083
E20-20,T20,B4,64.132,1.286
E21-01,T21,B4,66.301,1.058
E21-02,T21,B4,69.728,1.091
E21-03,T21,B4,63.78,1.135
E21-04,T21,B4,63.689,1.493
E21-05,T21,B4,67.688,0.855
E21-06,T21,B4,59.257,1.392
E21-07,T21,B4,62.282,0.888
E21-08,T21,B4,52.214,0.958
E21-09,T21,B4,50.851,1.5
E21-10,T21,B4,60.998,1.293
E21-11,T21,B4,60.944,1.434
E21-12,T21,B4,49.939,1.176
E21-13,T21,B4,66.289,0.986
E21-14,T21,B4,61.978,0.804
E21-15,T21,B4,65.044,0.636
E21-16,T21,B4,39.32,1.02
E21-17,T21,B4,57.575,1.206
E21-18,T21,B4,83.779,1.332
E21-19,T21,B4,50.029,1.161
E21-20,T21,B4,70.305,0.76
E22-01,T22,B4,50.182,1.319
E22-02,T22,B4,56.912,1.049
E22-03,T22,B4,52.301,0.878
E22-04,T22,B4,54.911,0.894
E22-05,T22,B4,46.995,0.866
E22-06,T22,B4,51.382,1.379
E22-07,T22,B4,55.785,0.661
E22-08,T22,B4,68.837,1.38
E22-09,T22,B4,63.751,1.463
E22-10,T22,B4,50.826,1.145
E22-11,T22,B4,48.633,0.936
E22-12,T22,B4,52.32,0.974
E22-13,T22,B4,53.606,1.433
E22-14,T22,B4,54.294,1.229
E22-15,T22,B4,54.381,1.49
E22-16,T22,B4,51.418,1.181
E22-17,T22,B4,62.919,1.323
E22-18,T22,B4,54.289,0.746
E22-19,T22,B4,60.377,0.869
E22-20,T22,B4,44.479,1.443
E23-01,T23,B4,51.329,1.075
E23-02,T23,B4,54.46,1.201
E23-03,T23,B4,50.01,1.495
E23-04,T23,B4,68.241,0.946
E23-05,T23,B4,52.681,1.212
E23-06,T23,B4,51.237,1.155
E23-07,T23,B4,59.318,1.141
E23-08,T23,B4,50.75,1.161
E23-09,T23,B4,54.282,0.639
E23-10,T23,B4,65.943,0.615
E23-11,T23,B4,37.151,1.131
E23-12,T23,B4,47.812,1.227
E23-13,T23,B4,55.859,0.992
E23-14,T23,B4,43.458,1.414
E23-15,T23,B4,42.122,0.725
E23-16,T23,B4,62.192,1.469
E23-17,T23,B4,71.136,0.721
E23-18,T23,B4,55.385,1.339
E23-19,T23,B4,62.374,1.453
E23-20,T23,B4,51.704,1.092
E24-01,T24,B4,56.995,0.683
E24-02,T24,B4,64.575,0.751
E24-03,T24,B4,64.735,0.88
E24-04,T24,B4,52.469,0.744
E24-05,T24,B4,52.823,0.742
E24-06,T24,B4,54.925,0.882
E24-07,T24,B4,46.558,0.71
E24-08,T24,B4,61.165,1.443
E24-09,T24,B4,54.875,0.724
E24-10,T24,B4,56.597,1.012
E24-11,T24,B4,60.596,1.336
E24-12,T24,B4,58.749,1.134
E24-13,T24,B4,55.822,1.01
E24-14,T24,B4,62.754,0.692
E24-15,T24,B4,48.833,1.189
E24-16,T24,B4,57.812,1.129
E24-17,T24,B4,68.522,1.196
E24-18,T24,B4,56.683,1.144
E24-19,T24,B4,51.731,1.155
E24-20,T24,B4,59.357,1.066
