person_id,assigned_arm,received_tool,followup_observed,followup_minutes,implementation_cost
E09-03,usual,1,1,59.885,0
E09-04,usual,0,1,51.028,0
E09-05,usual,0,0,,0
E09-06,usual,0,0,,0
E09-07,usual,1,1,54.549,0
E09-08,usual,0,0,,0
E09-09,usual,0,1,61.591,0
E09-10,usual,0,1,56.894,0
E09-11,usual,0,1,47.87,0
E09-12,usual,0,1,61.38,0
E09-13,usual,0,1,42.988,0
E09-14,usual,0,1,69.235,0
E09-15,usual,0,1,64.306,0
E09-16,usual,0,1,62.716,0
E09-17,usual,0,0,,0
E09-18,usual,1,1,56.957,0
E09-19,usual,1,1,38.847,0
E09-20,usual,0,1,60.472,0
E10-01,tool,1,0,,8
E10-02,tool,0,1,48.492,8
E10-03,tool,1,1,59.03,8
E10-04,tool,0,1,65.775,8
E10-05,tool,1,1,48.489,8
E10-06,tool,1,1,62.981,8
E10-07,tool,1,1,40.7,8
E10-08,tool,1,1,47.042,8
E10-09,tool,1,1,50.877,8
E10-10,tool,1,0,,8
E10-11,tool,1,1,50.09,8
E10-12,tool,1,1,62.311,8
E10-13,tool,1,1,46.845,8
E10-14,tool,1,1,58.636,8
E10-15,tool,1,1,54.396,8
E10-16,tool,0,1,73.835,8
E10-17,tool,1,0,,8
E10-18,tool,0,1,57.009,8
E10-19,tool,0,1,66.215,8
E10-20,tool,1,1,50.858,8
E11-01,usual,0,1,64.005,0
E11-02,usual,0,1,53.592,0
E11-03,usual,0,1,76.752,0
E11-04,usual,0,0,,0
E11-05,usual,0,1,73.544,0
E11-06,usual,0,1,73.291,0
E11-07,usual,0,0,,0
E11-08,usual,0,1,59.113,0
E11-09,usual,0,1,66.714,0
E11-10,usual,0,1,44.275,0
E11-11,usual,1,1,58.406,0
E11-12,usual,0,1,76.857,0
E11-13,usual,0,1,61.608,0
E11-14,usual,0,1,65.431,0
E11-15,usual,0,1,71.882,0
E11-16,usual,0,1,70.508,0
E11-17,usual,0,1,60.049,0
E11-18,usual,0,1,56.055,0
E11-19,usual,0,1,59.225,0
E11-20,usual,0,1,68.205,0
E12-01,usual,0,1,66.742,0
E12-02,usual,0,1,62.477,0
E12-03,usual,0,1,75.867,0
E12-04,usual,0,1,60.232,0
E12-05,usual,0,1,59.666,0
E12-06,usual,0,1,59.723,0
E12-07,usual,0,1,60.829,0
E12-08,usual,0,1,43.946,0
E12-09,usual,0,0,,0
E12-10,usual,0,1,54.954,0
E12-11,usual,0,1,44.041,0
E12-12,usual,0,1,50.148,0
E12-13,usual,0,1,69.939,0
E12-14,usual,0,1,48.528,0
E12-15,usual,0,1,72.84,0
E12-16,usual,0,1,59.908,0
E12-17,usual,0,1,56.904,0
E12-18,usual,0,0,,0
E12-19,usual,1,1,54.283,0
E12-20,usual,0,1,65.156,0
E13-01,usual,0,1,65.56,0
E13-02,usual,0,1,53.734,0
E13-03,usual,0,0,,0
E13-04,usual,0,1,60.575,0
E13-05,usual,0,1,80.026,0
E13-06,usual,1,1,60.151,0
E13-07,usual,0,1,61.508,0
E13-08,usual,0,1,65.764,0
E13-09,usual,0,1,61.104,0
E13-10,usual,0,1,75.341,0
E13-11,usual,0,1,64.411,0
E13-12,usual,0,1,83.106,0
E13-13,usual,0,1,69.104,0
E13-14,usual,0,1,52.344,0
E13-15,usual,0,1,69.582,0
E13-16,usual,0,1,60.648,0
E13-17,usual,0,1,67.058,0
E13-18,usual,0,1,68.003,0
E13-19,usual,0,0,,0
E13-20,usual,0,1,71.939,0
E14-01,usual,0,1,42.609,0
E14-02,usual,1,1,53.798,0
E14-03,usual,0,1,54.086,0
E14-04,usual,0,1,53.786,0
E14-05,usual,0,1,42.001,0
E14-06,usual,0,1,63.345,0
E14-07,usual,0,1,59.096,0
E14-08,usual,0,1,49.226,0
E14-09,usual,0,1,65.103,0
E14-10,usual,0,1,60.638,0
E14-11,usual,0,1,37.42,0
E14-12,usual,0,1,43.659,0
E14-13,usual,0,1,41.036,0
E14-14,usual,0,1,56.158,0
E14-15,usual,0,1,49.282,0
E14-16,usual,0,1,48.319,0
E14-17,usual,0,1,52.026,0
E14-18,usual,1,1,48.517,0
E14-19,usual,0,1,55.016,0
E14-20,usual,0,1,39.142,0
E15-01,usual,0,1,63.274,0
E15-02,usual,0,0,,0
E15-03,usual,0,1,51.152,0
E15-04,usual,0,1,46.966,0
E15-05,usual,0,1,48.041,0
E15-06,usual,0,1,41.357,0
E15-07,usual,0,1,41.267,0
E15-08,usual,0,1,59.209,0
E15-09,usual,0,1,58.199,0
E15-10,usual,0,1,33.718,0
E15-11,usual,0,1,37.106,0
E15-12,usual,0,1,47.919,0
E15-13,usual,0,0,,0
E15-14,usual,0,0,,0
E15-15,usual,0,1,41.163,0
E15-16,usual,0,1,53.389,0
E15-17,usual,0,1,43.534,0
E15-18,usual,0,1,46.094,0
E15-19,usual,0,1,57.958,0
E15-20,usual,0,1,47.781,0
E16-01,tool,1,1,51.094,8
E16-02,tool,1,1,42.865,8
E16-03,tool,1,1,55.434,8
E16-04,tool,1,1,54.748,8
E16-05,tool,1,1,53.46,8
E16-06,tool,1,1,55.186,8
E16-07,tool,1,1,46.163,8
E16-08,tool,1,1,44.532,8
E16-09,tool,1,1,47.816,8
E16-10,tool,1,1,63.443,8
E16-11,tool,1,1,46.948,8
E16-12,tool,1,1,52.113,8
E16-13,tool,1,1,69.728,8
E16-14,tool,1,1,30.486,8
E16-15,tool,1,1,48.903,8
E16-16,tool,1,1,39.26,8
E16-17,tool,1,1,58.793,8
E16-18,tool,1,1,47.555,8
E16-19,tool,1,1,50.776,8
E16-20,tool,1,1,59.599,8
E17-01,tool,1,1,49.89,8
E17-02,tool,0,1,61.079,8
E17-03,tool,1,1,54.12,8
E17-04,tool,1,1,44.54,8
E17-05,tool,1,1,46.611,8
E17-06,tool,1,1,62.482,8
E17-07,tool,1,1,42.738,8
E17-08,tool,1,1,53.638,8
E17-09,tool,1,1,54.64,8
E17-10,tool,1,1,27.298,8
E17-11,tool,1,1,54.686,8
E17-12,tool,1,0,,8
E17-13,tool,1,1,52.815,8
E17-14,tool,1,1,52.261,8
E17-15,tool,1,1,43.874,8
E17-16,tool,1,1,39.683,8
E17-17,tool,0,1,69.047,8
E17-18,tool,1,1,38.854,8
E17-19,tool,1,1,55.052,8
E17-20,tool,0,1,60.183,8
E18-01,tool,1,1,59.146,8
E18-02,tool,0,1,60.981,8
E18-03,tool,1,1,52.327,8
E18-04,tool,1,1,61.181,8
E18-05,tool,1,1,51.727,8
E18-06,tool,1,1,58.213,8
E18-07,tool,1,1,64.483,8
E18-08,tool,1,0,,8
E18-09,tool,1,1,42.819,8
E18-10,tool,1,1,50.005,8
E18-11,tool,0,1,42.418,8
E18-12,tool,1,1,52.795,8
E18-13,tool,1,1,40.375,8
E18-14,tool,1,1,35.472,8
E18-15,tool,0,1,58.458,8
E18-16,tool,0,1,52.838,8
E18-17,tool,1,1,49.372,8
E18-18,tool,0,1,44.329,8
E18-19,tool,1,1,58.016,8
E18-20,tool,0,1,64.755,8
E19-01,tool,1,1,27.631,8
E19-02,tool,1,1,39.035,8
E19-03,tool,1,1,32.011,8
E19-04,tool,0,1,29.039,8
E19-05,tool,1,1,40.336,8
E19-06,tool,1,1,39.815,8
E19-07,tool,1,1,50.858,8
E19-08,tool,0,1,42.719,8
E19-09,tool,1,1,42.643,8
E19-10,tool,1,1,31.753,8
E19-11,tool,1,1,35.911,8
E19-12,tool,1,1,42.467,8
E19-13,tool,1,1,44.438,8
E19-14,tool,1,1,34.799,8
E19-15,tool,1,1,35.178,8
E19-16,tool,0,1,38.173,8
E19-17,tool,1,1,29.309,8
E19-18,tool,1,1,44.102,8
E19-19,tool,1,1,35.763,8
E19-20,tool,1,1,34.841,8
E20-01,usual,0,1,65.682,0
E20-02,usual,0,1,73.323,0
E20-03,usual,0,1,59.584,0
E20-04,usual,0,0,,0
E20-05,usual,0,1,62.469,0
E20-06,usual,0,1,85.399,0
E20-07,usual,0,0,,0
E20-08,usual,0,1,68.9,0
E20-09,usual,0,1,69.741,0
E20-10,usual,0,1,61.529,0
E20-11,usual,0,1,64.329,0
E20-12,usual,0,1,66.529,0
E20-13,usual,0,1,61.749,0
E20-14,usual,0,1,71.58,0
E20-15,usual,1,1,65.469,0
E20-16,usual,0,1,67.768,0
E20-17,usual,0,1,60.109,0
E20-18,usual,0,1,59.627,0
E20-19,usual,0,1,70.595,0
E20-20,usual,0,1,68.76,0
E21-01,usual,0,1,66.567,0
E21-02,usual,0,1,70.757,0
E21-03,usual,0,1,66.407,0
E21-04,usual,0,0,,0
E21-05,usual,0,1,63.321,0
E21-06,usual,0,1,58.483,0
E21-07,usual,1,1,54.252,0
E21-08,usual,0,1,51.176,0
E21-09,usual,1,1,52.519,0
E21-10,usual,0,1,60.696,0
E21-11,usual,0,1,56.516,0
E21-12,usual,0,1,58.129,0
E21-13,usual,0,0,,0
E21-14,usual,0,1,57.355,0
E21-15,usual,0,1,61.15,0
E21-16,usual,0,1,39.79,0
E21-17,usual,0,1,60.826,0
E21-18,usual,0,1,83.367,0
E21-19,usual,0,1,45.79,0
E21-20,usual,0,1,70.659,0
E22-01,tool,1,1,48.102,8
E22-02,tool,1,1,63.046,8
E22-03,tool,1,0,,8
E22-04,tool,1,1,51.718,8
E22-05,tool,1,1,51.618,8
E22-06,tool,1,1,48.304,8
E22-07,tool,1,1,51.011,8
E22-08,tool,1,1,77.365,8
E22-09,tool,1,1,62.672,8
E22-10,tool,1,1,48.884,8
E22-11,tool,1,1,44.009,8
E22-12,tool,1,1,43.219,8
E22-13,tool,1,1,56.594,8
E22-14,tool,1,1,50.737,8
E22-15,tool,1,1,58.596,8
E22-16,tool,0,1,54.032,8
E22-17,tool,1,1,59.624,8
E22-18,tool,1,1,52.231,8
E22-19,tool,1,1,61.634,8
E22-20,tool,1,1,44.222,8
E23-01,tool,0,1,45.953,8
E23-02,tool,1,1,45.478,8
E23-03,tool,1,1,41.579,8
E23-04,tool,1,1,57.939,8
E23-05,tool,1,1,42.741,8
E23-06,tool,1,1,50.329,8
E23-07,tool,0,1,46.211,8
E23-08,tool,1,1,40.515,8
E23-09,tool,1,1,50.796,8
E23-10,tool,0,1,65.06,8
E23-11,tool,0,1,40.757,8
E23-12,tool,0,1,44.779,8
E23-13,tool,1,1,51.948,8
E23-14,tool,1,0,,8
E23-15,tool,1,1,31.643,8
E23-16,tool,0,0,,8
E23-17,tool,1,1,63.816,8
E23-18,tool,1,1,47.84,8
E23-19,tool,1,1,55.546,8
E23-20,tool,1,1,47.416,8
E24-01,usual,0,1,51.084,0
E24-02,usual,0,1,63.654,0
E24-03,usual,1,1,52.558,0
E24-04,usual,0,1,51.837,0
E24-05,usual,0,1,50.31,0
E24-06,usual,0,1,60.696,0
E24-07,usual,0,1,45.354,0
E24-08,usual,0,1,65.172,0
E24-09,usual,0,1,55.978,0
E24-10,usual,0,1,59.938,0
E24-11,usual,0,1,59.933,0
E24-12,usual,0,1,59.923,0
E24-13,usual,0,1,62.526,0
E24-14,usual,0,1,58.674,0
E24-15,usual,0,1,41.998,0
E24-16,usual,0,1,52.499,0
E24-17,usual,0,1,63.835,0
E24-18,usual,0,1,47.612,0
E24-19,usual,1,1,45.569,0
E24-20,usual,0,1,62.446,0
