person_id,arm,week,minutes
R022,tool,6,42.088
R023,usual,1,61.09
R023,usual,2,61.821
R023,usual,3,64.75
R023,usual,4,61.841
R023,usual,5,61.213
R023,usual,6,60.884
R024,tool,1,58.759
R024,tool,2,51.572
R024,tool,3,52.261
R024,tool,4,51.583
R024,tool,5,48.478
R024,tool,6,51.336
R025,usual,1,61.238
R025,usual,2,62.696
R025,usual,3,58.477
R025,usual,4,58.316
R025,usual,5,58.797
R025,usual,6,61.12
R026,tool,1,54.78
R026,tool,2,56.71
R026,tool,3,54.638
R026,tool,4,53.858
R026,tool,5,53.125
R026,tool,6,51.483
R027,usual,1,56.678
R027,usual,2,60.445
R027,usual,3,58.062
R027,usual,4,53.827
R027,usual,5,57.563
R027,usual,6,54.977
R028,tool,1,40.404
R028,tool,2,45.525
R028,tool,3,42.355
R028,tool,4,42.836
R028,tool,5,39.086
R028,tool,6,41.138
R029,usual,1,68.454
R029,usual,2,68.76
R029,usual,3,69.242
R029,usual,4,67.344
R029,usual,5,61.706
R029,usual,6,68.658
R030,tool,1,62.627
R030,tool,2,60.05
R030,tool,3,61.396
R030,tool,4,59.471
R030,tool,5,63.188
R030,tool,6,58.396
R031,usual,1,65.962
R031,usual,2,68.474
R031,usual,3,65.322
R031,usual,4,65.373
R031,usual,5,64.287
R031,usual,6,64.325
R032,tool,1,55.971
R032,tool,2,55.758
R032,tool,3,54.279
R032,tool,4,53.122
R032,tool,5,50.888
R032,tool,6,51.13
R033,usual,1,46.976
R033,usual,2,48.087
R033,usual,3,46.683
R033,usual,4,44.991
R033,usual,5,45.344
R033,usual,6,44.25
R034,tool,1,69.815
R034,tool,2,68.468
R034,tool,3,67.426
R034,tool,4,65.688
R034,tool,5,62.832
R034,tool,6,62.507
R035,usual,1,67.578
R035,usual,2,71.071
R035,usual,3,61.267
R035,usual,4,64.703
R035,usual,5,61.507
R035,usual,6,65.554
R036,tool,1,52.056
R036,tool,2,51.707
R036,tool,3,51.482
R036,tool,4,52.016
R036,tool,5,49.225
R036,tool,6,48.372
R037,usual,1,65.847
R037,usual,2,62.258
R037,usual,3,63.716
R037,usual,4,67.571
R037,usual,5,63.029
R037,usual,6,59.046
R038,tool,1,48.063
R038,tool,2,47.416
R038,tool,3,47.388
R038,tool,4,50.164
R038,tool,5,44.668
R038,tool,6,44.155
R039,usual,1,64.327
R039,usual,2,66.64
R039,usual,3,64.346
R039,usual,4,62.218
R039,usual,5,57.44
R039,usual,6,60.039
R040,tool,1,55.637
R040,tool,2,56.14
R040,tool,3,51.659
R040,tool,4,52.196
R040,tool,5,50.627
R040,tool,6,53.253
R041,usual,1,44.845
R041,usual,2,43.117
R041,usual,3,42.166
R041,usual,4,45.931
R041,usual,5,38.709
R041,usual,6,43.647
R042,tool,1,46.722
R042,tool,2,46.251
R042,tool,3,44.905
R042,tool,4,46.246
R042,tool,5,43.691
R042,tool,6,45.031
R043,usual,1,66.981
R043,usual,2,63.756
R043,usual,3,63.133
R043,usual,4,62.034
R043,usual,5,66.751
R043,usual,6,59.101
R044,tool,1,70.047
R044,tool,2,68.866
R044,tool,3,66.374
R044,tool,4,64.91
R044,tool,5,62.092
R044,tool,6,66.333
R045,usual,1,46.534
R045,usual,2,54.9
R045,usual,3,52.449
R045,usual,4,48.423
R045,usual,5,50.113
R045,usual,6,51.54
R046,tool,1,52.475
R046,tool,2,52.722
R046,tool,3,54.814
R046,tool,4,53.961
R046,tool,5,52.652
R046,tool,6,53.678
R047,usual,1,69.718
R047,usual,2,72.852
R047,usual,3,69.123
R047,usual,4,66.762
R047,usual,5,64.015
R047,usual,6,67.329
R048,tool,1,65.327
R048,tool,2,64.529
R048,tool,3,66.307
R048,tool,4,64.847
R048,tool,5,62.464
R048,tool,6,61.84
