person_id,campus,stage,stratum,baseline_score,responded
P2-0073,north,late,north_late,58.69,0
P2-0074,north,late,north_late,81.9,0
P2-0075,north,late,north_late,51.61,0
P2-0076,north,late,north_late,59.0,1
P2-0077,north,late,north_late,43.4,0
P2-0078,north,late,north_late,76.99,0
P2-0079,north,late,north_late,59.92,1
P2-0080,north,late,north_late,60.34,0
P2-0081,north,late,north_late,69.76,0
P2-0082,north,late,north_late,67.05,1
P2-0083,north,late,north_late,71.99,1
P2-0084,north,late,north_late,48.29,1
P2-0085,north,late,north_late,65.74,0
P2-0086,north,late,north_late,57.91,0
P2-0087,north,late,north_late,54.74,0
P2-0088,north,late,north_late,35.89,0
P2-0089,north,late,north_late,60.49,1
P2-0090,north,late,north_late,67.69,1
P2-0091,north,late,north_late,52.43,1
P2-0092,north,late,north_late,48.71,0
P2-0093,north,late,north_late,67.98,0
P2-0094,north,late,north_late,66.06,0
P2-0095,north,late,north_late,61.06,1
P2-0096,north,late,north_late,58.05,1
P2-0097,north,late,north_late,49.59,1
P2-0098,north,late,north_late,72.52,1
P2-0099,north,late,north_late,66.78,1
P2-0100,north,late,north_late,54.0,1
P2-0101,north,late,north_late,85.69,0
P2-0102,north,late,north_late,70.37,0
P2-0103,north,late,north_late,90.75,1
P2-0104,north,late,north_late,51.67,0
P2-0105,north,late,north_late,52.6,0
P2-0106,north,late,north_late,66.28,1
P2-0107,north,late,north_late,29.94,0
P2-0108,north,late,north_late,61.56,1
P2-0109,north,late,north_late,64.63,0
P2-0110,north,late,north_late,58.42,1
P2-0111,north,late,north_late,81.24,0
P2-0112,north,late,north_late,65.95,0
P2-0113,north,late,north_late,63.86,0
P2-0114,north,late,north_late,62.57,0
P2-0115,north,late,north_late,42.89,0
P2-0116,north,late,north_late,60.72,0
P2-0117,north,late,north_late,65.01,1
P2-0118,north,late,north_late,63.97,0
P2-0119,north,late,north_late,62.22,1
P2-0120,north,late,north_late,55.45,1
P2-0121,north,late,north_late,65.26,0
P2-0122,north,late,north_late,52.2,0
P2-0123,north,late,north_late,60.18,0
P2-0124,north,late,north_late,64.32,0
P2-0125,north,late,north_late,56.25,0
P2-0126,north,late,north_late,66.42,1
P2-0127,north,late,north_late,56.44,0
P2-0128,north,late,north_late,59.98,0
P2-0129,north,late,north_late,63.08,0
P2-0130,north,late,north_late,59.83,1
P2-0131,north,late,north_late,50.76,1
P2-0132,north,late,north_late,53.23,1
P2-0133,north,late,north_late,63.93,0
P2-0134,north,late,north_late,68.63,1
P2-0135,north,late,north_late,63.1,1
P2-0136,north,late,north_late,62.84,1
P2-0137,north,late,north_late,85.8,1
P2-0138,north,late,north_late,77.84,0
P2-0139,north,late,north_late,53.95,0
P2-0140,north,late,north_late,52.68,0
P2-0141,north,late,north_late,56.31,0
P2-0142,north,late,north_late,53.38,0
P2-0143,north,late,north_late,38.29,0
P2-0144,north,late,north_late,66.86,1
P2-0145,north,late,north_late,57.75,1
P2-0146,north,late,north_late,57.76,1
P2-0147,north,late,north_late,58.92,0
P2-0148,north,late,north_late,59.94,1
P2-0149,north,late,north_late,43.02,1
P2-0150,north,late,north_late,61.14,1
P2-0151,north,late,north_late,61.02,1
P2-0152,north,late,north_late,46.53,0
P2-0153,north,late,north_late,66.01,0
P2-0154,north,late,north_late,78.56,1
P2-0155,north,late,north_late,56.74,0
P2-0156,north,late,north_late,63.03,1
P2-0157,north,late,north_late,54.7,1
P2-0158,north,late,north_late,57.83,0
P2-0159,north,late,north_late,61.57,1
P2-0160,north,late,north_late,51.66,1
P2-0161,north,late,north_late,59.43,0
P2-0162,north,late,north_late,69.02,0
P2-0163,north,late,north_late,31.37,0
P2-0164,north,late,north_late,52.63,1
P2-0165,north,late,north_late,59.69,0
P2-0166,north,late,north_late,67.14,1
P2-0167,north,late,north_late,53.9,1
P2-0168,north,late,north_late,60.46,0
P2-0169,north,late,north_late,80.38,1
P2-0170,north,late,north_late,59.28,1
P2-0171,north,late,north_late,62.54,1
P2-0172,north,late,north_late,71.78,0
P2-0173,north,late,north_late,53.34,0
P2-0174,north,late,north_late,51.08,0
P2-0175,north,late,north_late,75.89,1
P2-0176,north,late,north_late,70.21,0
P2-0177,north,late,north_late,57.72,1
P2-0178,north,late,north_late,52.32,1
P2-0179,north,late,north_late,78.72,1
P2-0180,north,late,north_late,37.79,0
P2-0181,north,late,north_late,55.21,0
P2-0182,north,late,north_late,65.0,0
P2-0183,north,late,north_late,75.37,1
P2-0184,north,late,north_late,63.16,0
P2-0185,north,late,north_late,58.17,0
P2-0186,north,late,north_late,55.92,0
P2-0187,north,late,north_late,60.79,0
P2-0188,north,late,north_late,61.71,1
P2-0189,north,late,north_late,66.09,0
P2-0190,north,late,north_late,75.61,1
P2-0191,north,late,north_late,72.28,1
P2-0192,north,late,north_late,34.33,0
P2-0193,north,late,north_late,41.17,1
P2-0194,north,late,north_late,55.9,1
P2-0195,north,late,north_late,78.2,0
P2-0196,north,late,north_late,53.71,1
P2-0197,north,late,north_late,62.24,1
