unit_id,scenario,cost
symmetric-0105,symmetric,50.3832
symmetric-0106,symmetric,42.1497
symmetric-0107,symmetric,40.9439
symmetric-0108,symmetric,30.5196
symmetric-0109,symmetric,43.4578
symmetric-0110,symmetric,32.6767
symmetric-0111,symmetric,66.2218
symmetric-0112,symmetric,49.9806
symmetric-0113,symmetric,43.7251
symmetric-0114,symmetric,30.2401
symmetric-0115,symmetric,38.9206
symmetric-0116,symmetric,42.3034
symmetric-0117,symmetric,34.0806
symmetric-0118,symmetric,44.7377
symmetric-0119,symmetric,25.8718
symmetric-0120,symmetric,48.6444
symmetric-0121,symmetric,33.1839
symmetric-0122,symmetric,48.124
symmetric-0123,symmetric,37.0579
symmetric-0124,symmetric,48.7505
symmetric-0125,symmetric,46.1993
symmetric-0126,symmetric,18.4693
symmetric-0127,symmetric,50.7758
symmetric-0128,symmetric,36.6199
symmetric-0129,symmetric,44.0506
symmetric-0130,symmetric,38.7688
symmetric-0131,symmetric,46.4092
symmetric-0132,symmetric,41.7837
symmetric-0133,symmetric,53.5022
symmetric-0134,symmetric,35.1133
symmetric-0135,symmetric,58.1826
symmetric-0136,symmetric,38.8102
symmetric-0137,symmetric,61.3071
symmetric-0138,symmetric,25.263
symmetric-0139,symmetric,51.3331
symmetric-0140,symmetric,27.6508
symmetric-0141,symmetric,33.4007
symmetric-0142,symmetric,58.2096
symmetric-0143,symmetric,45.2819
symmetric-0144,symmetric,37.7973
symmetric-0145,symmetric,32.0681
symmetric-0146,symmetric,47.4721
symmetric-0147,symmetric,55.7422
symmetric-0148,symmetric,27.3948
symmetric-0149,symmetric,41.7399
symmetric-0150,symmetric,52.5342
symmetric-0151,symmetric,47.8027
symmetric-0152,symmetric,52.7693
symmetric-0153,symmetric,32.3925
symmetric-0154,symmetric,47.6999
symmetric-0155,symmetric,31.5505
symmetric-0156,symmetric,41.1329
symmetric-0157,symmetric,43.1328
symmetric-0158,symmetric,46.4276
symmetric-0159,symmetric,41.546
symmetric-0160,symmetric,35.3339
symmetric-0161,symmetric,49.656
symmetric-0162,symmetric,47.5939
symmetric-0163,symmetric,54.3573
symmetric-0164,symmetric,21.8518
symmetric-0165,symmetric,54.1357
symmetric-0166,symmetric,41.7458
symmetric-0167,symmetric,54.7537
symmetric-0168,symmetric,38.9783
symmetric-0169,symmetric,38.5058
symmetric-0170,symmetric,30.0701
symmetric-0171,symmetric,43.54
symmetric-0172,symmetric,43.365
symmetric-0173,symmetric,39.9584
symmetric-0174,symmetric,43.3876
symmetric-0175,symmetric,53.9658
symmetric-0176,symmetric,49.1499
symmetric-0177,symmetric,51.1424
symmetric-0178,symmetric,42.7483
symmetric-0179,symmetric,42.0474
symmetric-0180,symmetric,30.6139
symmetric-0181,symmetric,44.3152
symmetric-0182,symmetric,37.357
symmetric-0183,symmetric,19.803
symmetric-0184,symmetric,44.1966
symmetric-0185,symmetric,39.4135
symmetric-0186,symmetric,39.1019
symmetric-0187,symmetric,46.842
symmetric-0188,symmetric,32.246
symmetric-0189,symmetric,34.0075
symmetric-0190,symmetric,21.5562
symmetric-0191,symmetric,34.264
symmetric-0192,symmetric,32.8653
symmetric-0193,symmetric,33.3941
symmetric-0194,symmetric,36.4712
symmetric-0195,symmetric,52.8477
symmetric-0196,symmetric,50.3703
symmetric-0197,symmetric,43.658
symmetric-0198,symmetric,45.5381
symmetric-0199,symmetric,30.6599
symmetric-0200,symmetric,22.1756
symmetric-0201,symmetric,49.9123
symmetric-0202,symmetric,48.4877
symmetric-0203,symmetric,35.0411
symmetric-0204,symmetric,64.5822
symmetric-0205,symmetric,48.645
symmetric-0206,symmetric,46.2652
symmetric-0207,symmetric,53.5259
symmetric-0208,symmetric,37.9112
symmetric-0209,symmetric,37.4307
symmetric-0210,symmetric,48.2527
symmetric-0211,symmetric,29.111
symmetric-0212,symmetric,26.6712
symmetric-0213,symmetric,45.1823
symmetric-0214,symmetric,31.0661
symmetric-0215,symmetric,39.4024
symmetric-0216,symmetric,38.5431
symmetric-0217,symmetric,54.7806
symmetric-0218,symmetric,34.1147
symmetric-0219,symmetric,28.8602
symmetric-0220,symmetric,33.4578
symmetric-0221,symmetric,27.7334
symmetric-0222,symmetric,38.4877
symmetric-0223,symmetric,32.38
symmetric-0224,symmetric,47.329
symmetric-0225,symmetric,45.8468
symmetric-0226,symmetric,36.5343
symmetric-0227,symmetric,26.8273
symmetric-0228,symmetric,66.1196
symmetric-0229,symmetric,38.1288
symmetric-0230,symmetric,23.9645
symmetric-0231,symmetric,37.0394
symmetric-0232,symmetric,52.7725
symmetric-0233,symmetric,39.9821
symmetric-0234,symmetric,27.7276
symmetric-0235,symmetric,34.9695
symmetric-0236,symmetric,38.1985
symmetric-0237,symmetric,46.9274
symmetric-0238,symmetric,42.5926
symmetric-0239,symmetric,11.9265
symmetric-0240,symmetric,56.7132
symmetric-0241,symmetric,44.7155
symmetric-0242,symmetric,17.695
symmetric-0243,symmetric,38.6193
symmetric-0244,symmetric,22.7188
symmetric-0245,symmetric,38.5507
symmetric-0246,symmetric,55.975
symmetric-0247,symmetric,36.5517
symmetric-0248,symmetric,55.8021
symmetric-0249,symmetric,41.7331
symmetric-0250,symmetric,31.4408
symmetric-0251,symmetric,40.2802
symmetric-0252,symmetric,48.9113
symmetric-0253,symmetric,26.7927
symmetric-0254,symmetric,39.709
symmetric-0255,symmetric,37.5956
symmetric-0256,symmetric,38.8469
symmetric-0257,symmetric,46.8558
symmetric-0258,symmetric,40.689
symmetric-0259,symmetric,44.2365
symmetric-0260,symmetric,50.9941
symmetric-0261,symmetric,20.9968
symmetric-0262,symmetric,46.751
symmetric-0263,symmetric,27.9284
symmetric-0264,symmetric,47.6394
symmetric-0265,symmetric,40.8945
symmetric-0266,symmetric,44.5398
symmetric-0267,symmetric,29.4944
symmetric-0268,symmetric,45.9526
symmetric-0269,symmetric,37.4518
symmetric-0270,symmetric,53.7295
symmetric-0271,symmetric,43.5885
symmetric-0272,symmetric,45.6119
symmetric-0273,symmetric,38.7771
symmetric-0274,symmetric,45.7523
symmetric-0275,symmetric,50.2689
symmetric-0276,symmetric,37.3205
symmetric-0277,symmetric,29.1056
symmetric-0278,symmetric,47.0105
symmetric-0279,symmetric,30.8459
symmetric-0280,symmetric,47.492
symmetric-0281,symmetric,53.7919
symmetric-0282,symmetric,52.9621
symmetric-0283,symmetric,39.6462
symmetric-0284,symmetric,48.3976
symmetric-0285,symmetric,40.4449
symmetric-0286,symmetric,36.6419
symmetric-0287,symmetric,31.2504
symmetric-0288,symmetric,38.5238
symmetric-0289,symmetric,44.1256
symmetric-0290,symmetric,37.6957
symmetric-0291,symmetric,35.4986
symmetric-0292,symmetric,23.2655
symmetric-0293,symmetric,48.4667
symmetric-0294,symmetric,31.9997
symmetric-0295,symmetric,45.2446
symmetric-0296,symmetric,33.1286
symmetric-0297,symmetric,37.0689
symmetric-0298,symmetric,51.3199
symmetric-0299,symmetric,53.1554
symmetric-0300,symmetric,28.9551
symmetric-0301,symmetric,47.8891
symmetric-0302,symmetric,40.8523
symmetric-0303,symmetric,45.709
symmetric-0304,symmetric,31.5883
symmetric-0305,symmetric,45.8123
symmetric-0306,symmetric,23.9998
symmetric-0307,symmetric,62.6731
symmetric-0308,symmetric,41.1728
symmetric-0309,symmetric,48.9577
symmetric-0310,symmetric,45.6413
symmetric-0311,symmetric,45.5302
symmetric-0312,symmetric,28.3806
symmetric-0313,symmetric,27.2652
symmetric-0314,symmetric,49.285
symmetric-0315,symmetric,33.983
symmetric-0316,symmetric,64.8216
symmetric-0317,symmetric,46.5344
symmetric-0318,symmetric,36.537
symmetric-0319,symmetric,45.0896
symmetric-0320,symmetric,45.9374
symmetric-0321,symmetric,41.7288
symmetric-0322,symmetric,39.8415
symmetric-0323,symmetric,42.3071
symmetric-0324,symmetric,43.0578
symmetric-0325,symmetric,44.7687
symmetric-0326,symmetric,40.6683
symmetric-0327,symmetric,47.1877
symmetric-0328,symmetric,55.7615
symmetric-0329,symmetric,36.7868
symmetric-0330,symmetric,27.0721
symmetric-0331,symmetric,33.9756
symmetric-0332,symmetric,60.3513
symmetric-0333,symmetric,48.1302
symmetric-0334,symmetric,33.2728
symmetric-0335,symmetric,51.9429
symmetric-0336,symmetric,41.6972
symmetric-0337,symmetric,26.8141
symmetric-0338,symmetric,50.0156
symmetric-0339,symmetric,47.7884
symmetric-0340,symmetric,25.0154
symmetric-0341,symmetric,51.7854
symmetric-0342,symmetric,39.33
symmetric-0343,symmetric,33.3081
symmetric-0344,symmetric,49.0085
symmetric-0345,symmetric,43.4729
symmetric-0346,symmetric,19.1475
symmetric-0347,symmetric,47.855
symmetric-0348,symmetric,36.4162
symmetric-0349,symmetric,39.8566
symmetric-0350,symmetric,28.4872
symmetric-0351,symmetric,36.5755
symmetric-0352,symmetric,49.6008
symmetric-0353,symmetric,45.7543
symmetric-0354,symmetric,25.7685
symmetric-0355,symmetric,26.6231
symmetric-0356,symmetric,33.9965
symmetric-0357,symmetric,29.4313
symmetric-0358,symmetric,40.8215
symmetric-0359,symmetric,46.9123
symmetric-0360,symmetric,37.8245
symmetric-0361,symmetric,33.9752
symmetric-0362,symmetric,45.7366
symmetric-0363,symmetric,32.4612
symmetric-0364,symmetric,40.0273
symmetric-0365,symmetric,42.0895
symmetric-0366,symmetric,44.4446
symmetric-0367,symmetric,40.6195
symmetric-0368,symmetric,62.1464
symmetric-0369,symmetric,38.3642
symmetric-0370,symmetric,37.0847
symmetric-0371,symmetric,30.2251
symmetric-0372,symmetric,39.3274
symmetric-0373,symmetric,34.6028
symmetric-0374,symmetric,49.7949
symmetric-0375,symmetric,26.5805
symmetric-0376,symmetric,36.2124
symmetric-0377,symmetric,23.9058
symmetric-0378,symmetric,32.6258
symmetric-0379,symmetric,49.7348
symmetric-0380,symmetric,48.1653
symmetric-0381,symmetric,45.1786
symmetric-0382,symmetric,37.5257
symmetric-0383,symmetric,34.5972
symmetric-0384,symmetric,34.3498
symmetric-0385,symmetric,45.3884
symmetric-0386,symmetric,53.1537
symmetric-0387,symmetric,28.5382
symmetric-0388,symmetric,32.8502
symmetric-0389,symmetric,37.4673
symmetric-0390,symmetric,43.6132
symmetric-0391,symmetric,53.1174
symmetric-0392,symmetric,49.3141
symmetric-0393,symmetric,36.7338
symmetric-0394,symmetric,26.2006
symmetric-0395,symmetric,55.1624
symmetric-0396,symmetric,44.7529
symmetric-0397,symmetric,34.5753
symmetric-0398,symmetric,36.9659
symmetric-0399,symmetric,22.7991
symmetric-0400,symmetric,37.8847
symmetric-0401,symmetric,44.3121
symmetric-0402,symmetric,50.9718
symmetric-0403,symmetric,36.5406
symmetric-0404,symmetric,50.3513
symmetric-0405,symmetric,42.3643
symmetric-0406,symmetric,51.8779
symmetric-0407,symmetric,41.8025
symmetric-0408,symmetric,21.3878
symmetric-0409,symmetric,23.4028
symmetric-0410,symmetric,41.4778
symmetric-0411,symmetric,43.8186
symmetric-0412,symmetric,32.9102
symmetric-0413,symmetric,45.118
symmetric-0414,symmetric,46.7735
symmetric-0415,symmetric,34.8901
symmetric-0416,symmetric,40.5397
symmetric-0417,symmetric,48.2805
symmetric-0418,symmetric,44.5128
symmetric-0419,symmetric,59.4545
symmetric-0420,symmetric,36.3095
symmetric-0421,symmetric,68.1732
symmetric-0422,symmetric,45.8494
symmetric-0423,symmetric,30.4525
symmetric-0424,symmetric,37.9114
symmetric-0425,symmetric,30.8313
symmetric-0426,symmetric,34.9809
symmetric-0427,symmetric,34.0987
symmetric-0428,symmetric,36.6902
symmetric-0429,symmetric,46.4079
symmetric-0430,symmetric,49.399
symmetric-0431,symmetric,41.8483
symmetric-0432,symmetric,37.2713
symmetric-0433,symmetric,34.3939
symmetric-0434,symmetric,40.8442
symmetric-0435,symmetric,28.2549
symmetric-0436,symmetric,48.7012
symmetric-0437,symmetric,29.4738
symmetric-0438,symmetric,21.6244
symmetric-0439,symmetric,47.8412
symmetric-0440,symmetric,28.3271
symmetric-0441,symmetric,47.1719
symmetric-0442,symmetric,59.5967
symmetric-0443,symmetric,23.3226
symmetric-0444,symmetric,34.4736
symmetric-0445,symmetric,40.6371
symmetric-0446,symmetric,36.8616
symmetric-0447,symmetric,46.1259
symmetric-0448,symmetric,53.2105
symmetric-0449,symmetric,42.6833
symmetric-0450,symmetric,59.7235
symmetric-0451,symmetric,36.1091
symmetric-0452,symmetric,49.5368
symmetric-0453,symmetric,30.6664
symmetric-0454,symmetric,19.384
symmetric-0455,symmetric,48.3274
symmetric-0456,symmetric,57.0273
symmetric-0457,symmetric,47.334
symmetric-0458,symmetric,38.3172
symmetric-0459,symmetric,60.5529
symmetric-0460,symmetric,40.4719
symmetric-0461,symmetric,55.2167
symmetric-0462,symmetric,44.0009
symmetric-0463,symmetric,35.4743
symmetric-0464,symmetric,43.4455
symmetric-0465,symmetric,43.9266
symmetric-0466,symmetric,54.1525
symmetric-0467,symmetric,49.4964
symmetric-0468,symmetric,27.9363
symmetric-0469,symmetric,35.3957
symmetric-0470,symmetric,37.9107
symmetric-0471,symmetric,40.2931
symmetric-0472,symmetric,62.2688
symmetric-0473,symmetric,49.7476
symmetric-0474,symmetric,43.088
symmetric-0475,symmetric,38.3262
symmetric-0476,symmetric,60.7833
symmetric-0477,symmetric,38.2718
symmetric-0478,symmetric,52.0092
symmetric-0479,symmetric,49.7873
symmetric-0480,symmetric,26.7937
symmetric-0481,symmetric,31.4891
symmetric-0482,symmetric,38.4113
symmetric-0483,symmetric,41.7144
symmetric-0484,symmetric,42.1532
symmetric-0485,symmetric,35.9849
symmetric-0486,symmetric,33.4506
symmetric-0487,symmetric,30.5022
symmetric-0488,symmetric,54.5767
symmetric-0489,symmetric,28.663
symmetric-0490,symmetric,30.0384
symmetric-0491,symmetric,42.4318
symmetric-0492,symmetric,34.6352
symmetric-0493,symmetric,46.6535
symmetric-0494,symmetric,35.3913
symmetric-0495,symmetric,45.0319
symmetric-0496,symmetric,47.4428
symmetric-0497,symmetric,40.2007
symmetric-0498,symmetric,38.1211
symmetric-0499,symmetric,42.806
symmetric-0500,symmetric,49.3967
symmetric-0501,symmetric,50.4761
symmetric-0502,symmetric,56.0137
symmetric-0503,symmetric,28.0669
symmetric-0504,symmetric,32.8113
symmetric-0505,symmetric,36.2887
symmetric-0506,symmetric,53.3621
symmetric-0507,symmetric,45.9984
symmetric-0508,symmetric,22.3319
symmetric-0509,symmetric,39.708
symmetric-0510,symmetric,44.8272
symmetric-0511,symmetric,50.8777
symmetric-0512,symmetric,37.4058
symmetric-0513,symmetric,35.8787
symmetric-0514,symmetric,48.9973
symmetric-0515,symmetric,32.5245
symmetric-0516,symmetric,48.3391
symmetric-0517,symmetric,41.3805
symmetric-0518,symmetric,62.2073
symmetric-0519,symmetric,22.2458
symmetric-0520,symmetric,37.6713
symmetric-0521,symmetric,38.4801
symmetric-0522,symmetric,41.9091
symmetric-0523,symmetric,41.1425
symmetric-0524,symmetric,50.1759
symmetric-0525,symmetric,39.2037
symmetric-0526,symmetric,36.0707
symmetric-0527,symmetric,45.2585
symmetric-0528,symmetric,42.0936
symmetric-0529,symmetric,50.5646
symmetric-0530,symmetric,34.6761
symmetric-0531,symmetric,34.3775
symmetric-0532,symmetric,47.0895
symmetric-0533,symmetric,28.322
symmetric-0534,symmetric,41.2958
symmetric-0535,symmetric,51.0419
symmetric-0536,symmetric,53.7621
symmetric-0537,symmetric,33.6848
symmetric-0538,symmetric,51.8513
symmetric-0539,symmetric,33.9262
symmetric-0540,symmetric,23.8774
symmetric-0541,symmetric,64.0457
symmetric-0542,symmetric,50.5124
symmetric-0543,symmetric,43.4987
symmetric-0544,symmetric,52.1472
symmetric-0545,symmetric,39.6893
symmetric-0546,symmetric,37.4049
symmetric-0547,symmetric,23.313
symmetric-0548,symmetric,45.3597
symmetric-0549,symmetric,47.7532
symmetric-0550,symmetric,44.1014
symmetric-0551,symmetric,34.3206
symmetric-0552,symmetric,17.6481
symmetric-0553,symmetric,42.0944
symmetric-0554,symmetric,34.8373
symmetric-0555,symmetric,28.439
symmetric-0556,symmetric,36.9146
symmetric-0557,symmetric,48.4965
symmetric-0558,symmetric,49.0573
symmetric-0559,symmetric,48.0207
symmetric-0560,symmetric,46.8109
symmetric-0561,symmetric,47.6526
symmetric-0562,symmetric,48.6811
symmetric-0563,symmetric,24.1438
symmetric-0564,symmetric,59.2758
symmetric-0565,symmetric,34.3824
symmetric-0566,symmetric,29.9475
symmetric-0567,symmetric,21.7112
symmetric-0568,symmetric,40.3543
symmetric-0569,symmetric,30.3882
symmetric-0570,symmetric,44.2628
symmetric-0571,symmetric,43.2904
symmetric-0572,symmetric,40.1393
symmetric-0573,symmetric,36.3162
symmetric-0574,symmetric,29.915
symmetric-0575,symmetric,37.8244
symmetric-0576,symmetric,41.0252
symmetric-0577,symmetric,49.6817
symmetric-0578,symmetric,48.1318
symmetric-0579,symmetric,54.5954
symmetric-0580,symmetric,29.199
symmetric-0581,symmetric,34.4648
symmetric-0582,symmetric,45.6629
symmetric-0583,symmetric,60.8784
symmetric-0584,symmetric,34.5942
symmetric-0585,symmetric,44.0801
symmetric-0586,symmetric,39.1984
symmetric-0587,symmetric,25.2903
symmetric-0588,symmetric,57.8073
symmetric-0589,symmetric,36.1145
symmetric-0590,symmetric,19.2158
symmetric-0591,symmetric,46.3594
symmetric-0592,symmetric,44.9715
symmetric-0593,symmetric,45.0472
symmetric-0594,symmetric,44.3283
symmetric-0595,symmetric,43.6819
symmetric-0596,symmetric,46.1735
symmetric-0597,symmetric,43.5489
symmetric-0598,symmetric,33.3852
symmetric-0599,symmetric,59.3668
symmetric-0600,symmetric,26.3836
symmetric-0601,symmetric,48.6245
symmetric-0602,symmetric,52.2871
symmetric-0603,symmetric,36.5793
symmetric-0604,symmetric,51.2645
symmetric-0605,symmetric,42.963
symmetric-0606,symmetric,22.7442
symmetric-0607,symmetric,54.5192
symmetric-0608,symmetric,33.199
symmetric-0609,symmetric,35.6772
symmetric-0610,symmetric,36.2187
symmetric-0611,symmetric,48.8712
symmetric-0612,symmetric,26.0359
symmetric-0613,symmetric,48.8082
symmetric-0614,symmetric,46.3121
symmetric-0615,symmetric,37.7768
symmetric-0616,symmetric,41.609
symmetric-0617,symmetric,59.0206
symmetric-0618,symmetric,41.7702
symmetric-0619,symmetric,42.6211
symmetric-0620,symmetric,50.2252
symmetric-0621,symmetric,43.1944
symmetric-0622,symmetric,33.3276
symmetric-0623,symmetric,23.2256
symmetric-0624,symmetric,23.888
symmetric-0625,symmetric,33.3479
symmetric-0626,symmetric,61.4578
symmetric-0627,symmetric,41.991
symmetric-0628,symmetric,38.384
symmetric-0629,symmetric,32.3471
symmetric-0630,symmetric,39.9467
symmetric-0631,symmetric,38.4771
symmetric-0632,symmetric,26.94
symmetric-0633,symmetric,45.5071
symmetric-0634,symmetric,34.954
symmetric-0635,symmetric,34.2886
symmetric-0636,symmetric,46.5062
symmetric-0637,symmetric,41.208
symmetric-0638,symmetric,31.0308
symmetric-0639,symmetric,37.2094
symmetric-0640,symmetric,51.3745
symmetric-0641,symmetric,42.7713
symmetric-0642,symmetric,43.6437
symmetric-0643,symmetric,46.3763
symmetric-0644,symmetric,30.5488
symmetric-0645,symmetric,26.2744
symmetric-0646,symmetric,48.3731
symmetric-0647,symmetric,15.2004
symmetric-0648,symmetric,39.4205
symmetric-0649,symmetric,43.8864
symmetric-0650,symmetric,42.7633
symmetric-0651,symmetric,33.5203
symmetric-0652,symmetric,19.2718
symmetric-0653,symmetric,40.6742
symmetric-0654,symmetric,54.7755
symmetric-0655,symmetric,51.3683
symmetric-0656,symmetric,43.0787
symmetric-0657,symmetric,49.1975
symmetric-0658,symmetric,35.1613
symmetric-0659,symmetric,39.5059
symmetric-0660,symmetric,48.8575
symmetric-0661,symmetric,40.5255
symmetric-0662,symmetric,46.7886
symmetric-0663,symmetric,32.067
symmetric-0664,symmetric,43.3321
symmetric-0665,symmetric,42.7203
symmetric-0666,symmetric,17.8017
symmetric-0667,symmetric,46.1606
symmetric-0668,symmetric,41.5622
symmetric-0669,symmetric,50.746
symmetric-0670,symmetric,42.3367
symmetric-0671,symmetric,48.8179
symmetric-0672,symmetric,36.3243
symmetric-0673,symmetric,37.8008
symmetric-0674,symmetric,35.3416
symmetric-0675,symmetric,33.6382
symmetric-0676,symmetric,32.694
symmetric-0677,symmetric,50.5698
symmetric-0678,symmetric,49.7691
symmetric-0679,symmetric,48.4351
symmetric-0680,symmetric,44.3013
symmetric-0681,symmetric,55.3219
symmetric-0682,symmetric,39.869
symmetric-0683,symmetric,29.8929
symmetric-0684,symmetric,52.246
symmetric-0685,symmetric,33.954
symmetric-0686,symmetric,21.6482
symmetric-0687,symmetric,36.6139
symmetric-0688,symmetric,50.4102
symmetric-0689,symmetric,29.5021
symmetric-0690,symmetric,52.5713
symmetric-0691,symmetric,35.5332
symmetric-0692,symmetric,27.1386
symmetric-0693,symmetric,44.0037
symmetric-0694,symmetric,47.6223
symmetric-0695,symmetric,35.0865
symmetric-0696,symmetric,44.6432
symmetric-0697,symmetric,17.5465
symmetric-0698,symmetric,43.7532
symmetric-0699,symmetric,42.0483
symmetric-0700,symmetric,19.6709
symmetric-0701,symmetric,45.1432
symmetric-0702,symmetric,19.7721
symmetric-0703,symmetric,38.695
symmetric-0704,symmetric,58.3916
symmetric-0705,symmetric,40.5845
symmetric-0706,symmetric,30.0422
symmetric-0707,symmetric,43.2236
symmetric-0708,symmetric,25.1391
symmetric-0709,symmetric,34.6132
symmetric-0710,symmetric,50.3653
symmetric-0711,symmetric,44.1713
symmetric-0712,symmetric,17.4186
symmetric-0713,symmetric,34.6899
symmetric-0714,symmetric,39.9047
symmetric-0715,symmetric,22.8627
symmetric-0716,symmetric,38.5067
symmetric-0717,symmetric,33.9077
symmetric-0718,symmetric,33.5773
symmetric-0719,symmetric,54.8855
symmetric-0720,symmetric,42.9881
symmetric-0721,symmetric,42.975
symmetric-0722,symmetric,26.7285
symmetric-0723,symmetric,50.1927
symmetric-0724,symmetric,34.7745
symmetric-0725,symmetric,33.8482
symmetric-0726,symmetric,55.5621
symmetric-0727,symmetric,41.0816
symmetric-0728,symmetric,35.3793
symmetric-0729,symmetric,38.9289
symmetric-0730,symmetric,27.1611
symmetric-0731,symmetric,26.4414
symmetric-0732,symmetric,50.4832
symmetric-0733,symmetric,29.5357
symmetric-0734,symmetric,42.1978
symmetric-0735,symmetric,47.448
symmetric-0736,symmetric,45.9917
symmetric-0737,symmetric,39.9929
symmetric-0738,symmetric,49.6181
symmetric-0739,symmetric,48.9394
symmetric-0740,symmetric,53.4885
symmetric-0741,symmetric,34.8362
symmetric-0742,symmetric,36.8518
symmetric-0743,symmetric,27.7615
symmetric-0744,symmetric,36.6626
symmetric-0745,symmetric,26.8128
symmetric-0746,symmetric,61.2693
symmetric-0747,symmetric,42.6628
symmetric-0748,symmetric,31.1724
symmetric-0749,symmetric,21.285
symmetric-0750,symmetric,34.9044
symmetric-0751,symmetric,12.9564
symmetric-0752,symmetric,38.2267
symmetric-0753,symmetric,29.011
symmetric-0754,symmetric,36.3358
symmetric-0755,symmetric,49.6832
symmetric-0756,symmetric,40.9994
symmetric-0757,symmetric,42.8849
symmetric-0758,symmetric,32.3468
symmetric-0759,symmetric,36.0201
symmetric-0760,symmetric,59.4303
symmetric-0761,symmetric,31.4056
symmetric-0762,symmetric,49.7844
symmetric-0763,symmetric,30.2419
symmetric-0764,symmetric,34.4975
symmetric-0765,symmetric,48.6374
symmetric-0766,symmetric,33.3977
symmetric-0767,symmetric,33.7236
symmetric-0768,symmetric,28.7478
symmetric-0769,symmetric,47.9786
symmetric-0770,symmetric,56.1796
symmetric-0771,symmetric,40.7041
symmetric-0772,symmetric,40.6527
symmetric-0773,symmetric,40.0182
symmetric-0774,symmetric,37.2633
symmetric-0775,symmetric,47.8254
symmetric-0776,symmetric,44.2403
symmetric-0777,symmetric,45.1248
symmetric-0778,symmetric,27.2544
symmetric-0779,symmetric,34.4839
symmetric-0780,symmetric,42.6037
