person_id,satisfaction,weekly_use
P1-0334,67.27,6.2
P1-0335,48.92,5.9
P1-0336,53.44,2.2
P1-0338,69.44,1.9
P1-0339,71.47,0
P1-0340,87.02,6.0
P1-0341,68.12,4.4
P1-0342,85.9,6.5
P1-0344,66.73,2.7
P1-0345,43.32,3.7
P1-0348,67.18,2.3
P1-0349,61.57,5.0
P1-0353,58.89,6.7
P1-0355,91.76,5.8
P1-0356,61.69,6.1
P1-0360,85.8,0.9
P1-0361,65.2,0
P1-0362,69.07,2.8
P1-0364,63.97,3.6
P1-0366,58.16,2.4
P1-0367,66.0,3.9
P1-0370,87.06,6.5
P1-0371,45.3,3.5
P1-0372,69.07,4.8
P1-0373,59.26,5.8
P1-0374,32.26,5.6
P1-0375,71.8,1.6
P1-0377,77.31,4.4
P1-0378,74.45,6.7
P1-0381,55.38,1.4
P1-0382,42.57,3.5
P1-0383,30.38,1.7
P1-0385,54.59,4.4
P1-0387,81.01,4.3
P1-0389,46.43,2.9
P1-0390,59.97,1.3
P1-0391,54.46,5.4
P1-0392,76.03,4.2
P1-0393,95.45,4.2
P1-0394,51.0,5.1
P1-0395,55.46,4.2
P1-0398,50.38,6.6
P1-0400,56.32,4.2
P1-0401,82.63,4.0
P1-0403,51.42,0.8
P1-0404,52.41,5.1
P1-0406,44.37,7.5
P1-0407,76.2,5.1
P1-0408,50.76,2.8
P1-0409,73.1,2.0
P1-0410,46.0,5.0
P1-0412,75.19,5.4
P1-0413,72.19,6.0
P1-0414,52.75,7.4
P1-0417,58.62,1.4
P1-0418,43.14,4.2
P1-0419,72.48,3.8
P1-0421,60.48,3.4
P1-0422,35.9,5.5
P1-0423,78.19,4.3
P1-0424,73.79,0
P1-0425,94.36,4.4
P1-0426,84.76,2.9
P1-0427,47.26,5.3
P1-0429,51.1,5.4
P1-0430,55.12,1.0
P1-0431,62.35,3.6
P1-0432,58.55,3.7
P1-0433,62.55,5.2
P1-0434,68.3,4.3
P1-0435,58.26,2.2
P1-0437,77.02,4.9
P1-0439,48.87,2.8
P1-0440,50.93,1.2
P1-0441,58.14,1.4
P1-0442,59.74,4.0
P1-0444,57.14,3.2
P1-0445,61.88,3.3
P1-0448,77.65,2.8
P1-0450,62.2,4.2
P1-0451,50.91,3.7
P1-0453,48.19,3.8
P1-0455,56.21,4.8
P1-0457,60.02,4.9
P1-0460,68.49,2.4
P1-0461,80.89,5.2
P1-0462,61.64,7.4
P1-0464,73.22,7.6
P1-0466,51.56,4.0
P1-0467,64.36,2.2
P1-0469,69.73,1.3
P1-0470,58.53,2.1
P1-0472,54.21,3.8
P1-0473,69.36,6.5
P1-0474,51.43,3.4
P1-0475,77.38,3.4
P1-0476,80.9,2.1
P1-0479,77.12,1.6
P1-0480,62.62,3.5
P1-0481,75.07,5.2
P1-0483,66.86,4.4
P1-0487,62.29,2.7
P1-0489,48.51,1.6
P1-0490,61.29,5.4
P1-0492,56.32,3.5
P1-0495,64.2,1.7
P1-0496,76.37,5.1
P1-0498,59.72,3.4
P1-0500,76.35,2.7
P2-0003,85.09,0.9
P2-0004,72.77,2.9
P2-0008,53.97,0
P2-0010,67.17,3.7
P2-0014,69.01,2.3
P2-0015,33.12,5.8
P2-0016,89.21,5.9
P2-0019,38.68,5.7
P2-0024,55.15,4.1
P2-0026,86.98,4.5
P2-0027,78.56,3.1
P2-0028,41.7,2.8
P2-0029,58.92,5.0
P2-0032,56.66,2.4
P2-0034,85.14,7.8
P2-0040,74.13,2.1
P2-0041,64.44,5.8
P2-0042,90.12,2.7
P2-0043,100,3.6
P2-0045,54.67,7.0
P2-0046,49.57,5.3
P2-0053,70.11,2.1
P2-0054,58.38,4.4
P2-0055,67.28,3.8
P2-0056,50.3,4.6
P2-0057,47.51,6.6
P2-0059,61.96,0.1
P2-0062,63.78,4.0
P2-0068,56.24,5.5
P2-0071,78.8,2.2
P2-0076,68.2,6.6
P2-0079,51.6,3.6
P2-0082,69.91,2.6
P2-0083,75.76,3.1
P2-0084,32.69,0
P2-0089,61.12,2.3
P2-0090,63.61,3.0
P2-0091,45.23,2.5
P2-0095,62.44,3.6
P2-0096,63.09,5.0
P2-0097,49.21,6.1
P2-0098,68.6,6.2
P2-0099,45.82,2.8
P2-0100,44.53,3.1
P2-0103,100,2.9
P2-0106,41.45,5.1
P2-0108,57.96,5.2
P2-0110,81.62,3.3
P2-0117,64.2,2.5
P2-0119,61.47,4.7
P2-0120,50.56,2.7
P2-0126,60.09,2.5
P2-0130,51.83,6.5
P2-0131,60.68,3.8
P2-0132,61.4,4.5
P2-0134,59.93,5.6
P2-0135,44.87,2.7
P2-0136,61.42,1.2
P2-0137,98.63,2.1
P2-0144,58.39,0.8
P2-0145,59.62,2.9
P2-0146,64.1,3.6
P2-0148,38.82,1.7
P2-0149,26.63,5.3
P2-0150,47.69,2.2
P2-0151,59.01,2.6
P2-0154,83.38,4.4
P2-0156,62.59,2.9
P2-0157,48.63,3.6
P2-0159,49.82,5.7
P2-0160,56.41,3.3
P2-0164,39.21,0.8
P2-0166,67.53,0.8
P2-0167,34.77,4.2
P2-0169,86.45,0
P2-0170,66.32,3.9
P2-0171,71.51,4.4
P2-0175,88.95,7.5
P2-0177,58.43,1.7
P2-0178,46.13,5.8
P2-0179,98.41,2.1
P2-0183,87.57,3.8
P2-0188,62.25,6.0
P2-0190,73.46,6.6
P2-0191,80.07,8.9
P2-0193,40.62,0.7
P2-0194,58.59,2.5
P2-0196,47.52,1.1
P2-0197,67.73,0
P2-0198,64.79,3.4
P2-0200,34.31,2.1
P2-0202,52.51,2.5
P2-0205,75.55,7.5
P2-0207,54.41,7.6
P2-0211,64.55,3.0
P2-0214,87.59,1.6
P2-0216,50.95,2.4
P2-0218,65.25,3.1
P2-0220,91.42,6.0
P2-0221,66.34,1.7
P2-0223,54.19,4.5
P2-0227,49.7,3.5
P2-0228,43.49,2.6
P2-0231,59.36,0.5
P2-0232,65.98,3.5
P2-0235,51.8,0.7
P2-0236,59.87,0.8
P2-0240,48.37,2.4
P2-0248,89.91,0.2
P2-0249,58.24,2.9
P2-0250,54.58,6.3
P2-0252,50.36,4.2
P2-0256,79.97,6.3
P2-0259,63.1,3.7
P2-0262,63.78,5.6
P2-0265,68.72,2.9
P2-0270,46.71,3.4
P2-0272,61.56,4.0
P2-0273,74.86,5.1
P2-0279,80.34,1.3
P2-0282,96.39,3.4
P2-0284,73.12,5.8
P2-0285,50.68,3.6
P2-0286,61.31,5.2
P2-0287,59.35,6.0
P2-0301,62.29,4.5
P2-0302,56.75,4.9
P2-0305,65.86,3.3
P2-0306,51.9,2.2
P2-0308,62.29,5.5
P2-0310,95.74,4.1
P2-0312,51.56,3.4
P2-0313,72.0,0.2
P2-0315,60.92,1.5
P2-0317,71.67,3.5
P2-0320,67.78,1.5
P2-0322,92.6,3.5
P2-0327,81.02,7.6
P2-0328,60.13,2.5
P2-0329,37.67,4.3
P2-0337,57.72,4.7
P2-0339,44.83,4.9
P2-0343,58.7,6.5
P2-0344,73.22,2.1
P2-0345,58.5,4.8
P2-0350,44.5,2.9
P2-0354,64.49,6.0
P2-0356,57.74,4.5
P2-0360,46.94,5.8
P2-0361,79.1,6.0
P2-0362,73.07,3.2
P2-0366,83.37,6.0
P2-0369,58.59,2.0
P2-0376,62.54,4.8
P2-0377,66.11,3.8
P2-0384,95.33,0.3
P2-0392,79.51,4.5
P2-0397,66.15,7.2
P2-0399,49.34,3.1
P2-0400,45.96,4.0
P2-0403,68.63,5.3
P2-0404,50.66,3.6
P2-0407,50.84,0.3
P2-0409,37.77,0.5
P2-0412,37.53,2.2
P2-0417,29.0,1.8
P2-0418,44.03,4.2
P2-0421,62.76,4.0
P2-0426,68.01,7.4
P2-0430,28.84,2.2
P2-0431,40.54,6.9
P2-0432,61.19,4.9
P2-0433,55.62,4.4
P2-0434,66.01,5.0
P2-0438,56.01,5.4
P2-0439,59.59,4.2
P2-0441,44.1,5.8
P2-0442,38.66,1.7
P2-0443,69.57,3.2
P2-0447,62.98,0.8
P2-0449,60.01,5.7
P2-0453,64.3,4.6
P2-0458,39.69,2.6
P2-0463,44.42,0.9
P2-0467,61.02,4.3
P2-0468,71.04,1.8
P2-0474,54.7,1.7
P2-0476,92.98,3.3
P2-0477,64.26,7.2
P2-0478,58.07,5.9
P2-0480,92.74,5.4
P2-0484,57.84,4.9
P2-0494,46.78,3.6
P2-0496,68.6,2.1
P2-0497,52.86,5.2
P2-0504,43.14,4.3
P2-0505,68.6,0.3
P2-0507,96.32,4.0
P2-0509,64.83,8.1
P2-0516,71.65,2.7
P2-0520,66.16,0
P2-0521,73.28,4.4
P2-0523,46.99,7.0
P2-0524,39.44,5.1
P2-0525,49.18,3.9
P2-0530,73.17,4.6
P2-0531,62.25,1.6
P2-0533,62.68,4.5
P2-0536,73.33,1.9
P2-0538,45.72,8.1
P2-0539,56.69,2.1
P2-0546,67.18,8.5
P2-0547,38.41,4.2
P2-0548,70.4,1.3
P2-0551,63.03,3.8
P2-0553,79.82,6.1
P2-0555,72.4,2.3
P2-0556,79.42,1.9
P2-0561,71.42,4.0
P2-0566,62.67,5.2
P2-0569,47.55,0.8
P2-0570,40.59,1.8
P2-0576,56.41,1.5
P2-0577,45.24,5.3
P2-0579,41.25,3.1
P2-0580,60.37,2.2
P2-0581,46.51,3.8
P2-0583,54.82,5.1
P2-0590,35.57,3.6
P2-0591,67.24,5.3
P2-0594,84.79,2.0
P2-0595,52.34,1.9
P2-0596,72.02,0.4
P2-0599,82.08,2.5
P2-0601,52.79,5.0
P2-0603,89.45,5.6
P2-0605,70.87,3.6
P2-0607,54.92,0
P2-0614,55.76,4.2
P2-0617,84.72,2.0
P2-0629,68.9,4.1
P2-0632,59.14,5.4
P2-0633,54.78,5.6
P2-0635,83.5,3.3
P2-0637,70.13,4.9
P2-0639,100,5.2
P2-0642,71.53,1.3
P2-0643,54.21,3.3
P2-0645,74.91,3.5
P2-0646,66.7,3.6
P2-0647,80.24,6.0
P2-0651,92.66,4.4
P2-0653,71.76,6.1
P2-0654,50.49,1.6
P2-0655,92.48,1.7
P2-0657,83.32,2.4
P2-0659,75.5,0.8
P2-0664,86.21,3.3
P2-0665,61.04,4.4
P2-0667,53.83,3.2
P2-0672,54.58,3.1
P2-0679,52.94,7.3
P2-0683,63.48,4.6
P2-0684,81.54,5.5
P2-0689,79.48,3.7
P2-0694,61.77,0.1
P2-0696,47.55,1.7
P2-0700,63.22,4.7
P3-0001,53.15,4.7
P3-0002,63.09,5.6
P3-0003,37.9,1.6
P3-0004,61.16,5.5
P3-0005,33.69,5.0
P3-0006,63.78,3.2
P3-0010,23.67,3.6
P3-0012,70.18,6.2
P3-0015,90.15,2.5
P3-0020,42.14,3.9
P3-0022,65.57,1.1
P3-0023,48.95,4.6
P3-0024,58.65,3.5
P3-0025,72.04,3.8
P3-0027,50.52,3.5
P3-0028,47.27,2.3
P3-0030,48.9,5.2
P3-0033,74.66,5.8
P3-0034,48.16,5.9
P3-0035,67.68,3.8
P3-0037,52.06,3.7
P3-0038,63.15,3.7
P3-0039,87.65,4.7
P3-0042,86.4,4.9
P3-0046,61.96,3.5
P3-0049,64.25,5.6
P3-0050,66.6,3.4
P3-0052,37.67,4.6
P3-0056,53.37,5.3
P3-0057,36.8,3.0
P3-0058,54.35,5.0
P3-0059,80.66,6.2
P3-0061,43.99,4.7
P3-0062,46.71,1.8
P3-0063,78.07,6.1
P3-0067,88.83,3.7
P3-0070,75.89,2.3
P3-0071,58.21,2.5
P3-0072,59.98,3.0
P3-0074,70.22,0
P3-0080,82.37,5.5
P3-0081,30.06,7.5
P3-0082,68.89,0.8
P3-0083,76.11,3.4
P3-0085,54.3,5.4
P3-0086,52.63,3.5
P3-0087,47.75,0.1
P3-0088,77.24,7.5
P3-0089,29.16,2.3
P3-0095,30.24,4.1
P3-0097,75.6,2.3
P3-0099,53.83,2.8
P3-0100,84.3,4.8
P3-0108,40.27,2.6
P3-0109,56.1,1.9
P3-0112,60.98,4.3
P3-0113,48.25,4.3
P3-0114,50.08,7.2
P3-0116,64.92,4.1
P3-0121,73.32,1.9
P3-0124,77.54,2.0
P3-0125,54.0,6.3
P3-0128,75.08,3.8
P3-0131,34.0,3.8
P3-0133,74.21,3.1
P3-0138,51.51,2.8
P3-0140,63.31,5.8
P3-0141,74.22,3.2
P3-0142,57.96,3.2
P3-0145,58.37,8.0
P3-0148,49.94,4.7
P3-0150,47.84,8.2
P3-0151,63.58,5.9
P3-0155,31.64,6.5
P3-0157,44.75,9.3
P3-0158,58.94,1.7
P3-0160,47.25,2.4
P3-0162,59.6,0
P3-0163,57.8,4.1
P3-0164,50.87,1.7
P3-0165,68.05,3.0
P3-0168,68.58,5.2
P3-0169,43.03,0
P3-0170,83.85,3.2
P3-0171,82.74,8.4
P3-0172,62.29,4.2
P3-0174,69.57,5.8
P3-0177,60.42,1.0
P3-0180,68.78,0.7
P3-0183,40.36,5.7
P3-0184,34.27,1.5
P3-0186,53.66,7.7
P3-0187,57.32,1.5
P3-0189,91.29,3.5
P3-0190,47.46,9.2
P3-0192,40.06,6.1
P3-0193,38.59,0.6
P3-0194,75.91,4.1
P3-0195,52.5,4.5
P3-0198,40.75,0.9
P3-0199,65.53,2.4
P3-0203,78.08,3.1
P3-0207,67.12,3.8
P3-0209,36.38,7.6
P3-0214,41.12,1.1
P3-0215,53.21,3.2
P3-0216,54.09,6.4
P3-0217,54.14,4.6
P3-0218,44.57,0.4
P3-0221,69.78,5.2
P3-0222,52.15,7.3
P3-0224,68.19,6.4
P3-0226,29.58,3.9
P3-0227,70.62,5.7
P3-0229,49.37,1.3
P3-0230,61.5,3.5
P3-0231,70.6,3.6
P3-0233,82.42,0
P3-0238,39.31,4.6
P3-0239,59.66,6.4
P3-0245,51.68,5.3
P3-0246,56.69,4.8
P3-0247,52.24,3.4
P3-0249,69.99,3.5
P3-0255,75.92,5.3
P3-0257,42.27,3.0
P3-0261,59.5,4.1
P3-0265,57.68,4.5
P3-0267,71.24,5.3
P3-0273,47.75,3.9
P3-0275,60.21,8.1
P3-0283,50.97,1.8
P3-0286,52.35,4.2
P3-0290,39.94,4.0
P3-0291,55.05,8.7
P3-0292,65.85,2.8
P3-0293,73.13,8.0
P3-0294,52.27,2.7
P3-0296,44.39,1.8
P3-0298,56.14,5.1
P3-0305,54.66,2.3
P3-0307,41.56,3.1
P3-0308,63.95,5.9
P3-0309,47.7,4.8
P3-0310,54.85,3.7
P3-0312,51.81,7.5
P3-0319,45.72,3.9
P3-0320,36.75,1.4
P3-0322,73.43,4.7
P3-0323,58.46,7.4
P3-0325,47.57,5.0
P3-0326,42.73,5.8
P3-0327,35.85,6.0
P3-0328,82.0,3.9
P3-0329,37.99,5.9
P3-0331,53.48,1.0
P3-0334,57.33,4.5
P3-0337,78.25,3.9
P3-0338,51.6,6.8
P3-0340,30.55,5.6
P3-0341,84.52,5.9
P3-0343,57.79,6.1
P3-0344,64.11,7.9
P3-0347,37.25,6.1
P3-0350,66.27,3.0
P3-0351,59.37,4.0
P3-0353,65.7,3.2
P3-0354,28.37,0.9
P3-0355,20.94,5.5
P3-0361,71.46,3.2
P3-0364,68.4,3.2
P3-0366,71.49,1.7
P3-0368,65.65,4.6
P3-0371,39.2,4.8
P3-0373,48.63,3.8
P3-0375,48.42,4.6
P3-0376,46.34,4.2
P3-0377,69.01,3.5
P3-0378,75.56,3.8
P3-0379,66.48,4.2
P3-0380,66.94,6.6
P3-0381,51.88,2.5
P3-0383,61.3,1.3
P3-0385,54.62,4.3
P3-0386,55.34,8.1
P3-0388,40.94,0.5
P3-0389,60.04,4.5
P3-0391,42.39,4.1
P3-0392,35.21,5.6
P3-0393,55.34,3.2
P3-0394,75.23,4.0
P3-0395,68.42,6.1
P3-0396,43.43,8.3
P3-0397,37.64,4.2
P3-0398,53.94,2.8
P3-0401,44.55,5.9
P3-0402,57.1,5.4
P3-0403,48.97,1.3
P3-0404,86.98,2.2
P3-0405,48.34,2.3
P3-0406,55.66,5.6
P3-0407,65.64,4.6
P3-0409,52.72,2.8
P3-0411,64.64,1.4
P3-0412,48.43,3.3
P3-0416,62.63,1.3
P3-0417,57.2,2.0
P3-0422,55.06,3.6
P3-0424,49.45,5.1
P3-0425,64.08,6.9
P3-0426,66.05,5.6
P3-0428,25.33,3.8
P3-0429,62.19,2.1
P3-0431,63.96,0.7
P3-0433,76.5,2.1
P3-0439,61.6,5.6
P3-0440,63.54,4.3
P3-0441,36.49,6.4
P3-0442,39.57,3.0
P3-0443,63.92,1.1
P3-0444,75.42,4.2
P3-0446,63.66,6.4
P3-0449,69.35,1.7
P3-0451,49.18,5.2
P3-0455,59.27,2.2
P3-0456,84.34,4.6
P3-0459,56.22,3.2
P3-0461,60.99,2.9
P3-0462,52.2,4.2
P3-0467,61.22,4.9
P3-0468,40.27,2.8
P3-0469,40.4,5.0
P3-0474,42.52,3.2
P3-0477,86.47,3.0
P3-0478,59.46,3.9
P3-0481,67.2,5.2
P3-0482,48.7,3.4
P3-0490,54.1,1.0
P3-0491,78.23,1.3
P3-0492,66.01,2.2
P3-0493,77.69,3.0
P3-0496,80.42,4.1
P3-0498,21.35,2.2
P3-0499,89.37,4.3
P3-0502,48.09,2.6
P3-0503,66.6,6.6
P3-0504,58.45,4.3
P3-0505,67.12,3.6
P3-0506,81.47,2.3
P3-0507,32.66,4.2
P3-0508,60.28,6.3
P3-0510,53.54,2.9
P3-0518,47.44,1.7
P3-0519,15.1,2.5
P3-0521,53.6,3.6
P3-0523,65.15,6.0
P3-0524,33.11,4.4
P3-0527,77.06,4.0
P3-0530,49.26,2.8
P3-0532,58.01,3.8
P3-0533,73.87,5.1
P3-0535,51.26,2.8
P3-0540,69.01,4.3
P3-0543,47.92,7.3
P3-0544,37.69,3.2
P3-0545,53.48,6.0
P3-0549,68.77,2.5
P3-0552,80.61,2.9
P3-0553,83.22,2.0
P3-0557,67.82,0
P3-0562,63.15,5.8
P3-0567,69.44,7.6
P3-0568,42.75,7.1
P3-0569,57.56,3.4
P3-0571,38.07,3.7
P3-0574,32.29,0.5
P3-0576,56.91,5.3
P3-0577,65.19,8.0
P3-0578,87.91,1.5
P3-0579,60.52,3.0
P3-0581,61.36,5.4
P3-0583,50.09,4.6
P3-0584,72.66,2.3
P3-0587,44.54,3.3
P3-0589,72.66,3.0
P3-0591,89.1,2.9
P3-0593,53.04,3.1
P3-0595,39.0,2.7
P3-0596,67.41,2.0
P3-0597,67.53,0.3
P3-0598,57.5,2.3
P4-0011,43.62,3.6
P4-0016,45.92,3.3
P4-0018,78.86,2.5
P4-0020,59.36,1.4
P4-0035,42.51,1.4
P4-0043,49.31,3.1
P4-0044,40.79,7.3
P4-0048,42.38,5.3
P4-0059,53.39,1.7
P4-0060,45.61,3.1
P4-0075,61.14,4.8
P4-0078,39.38,4.5
P4-0085,98.0,5.1
P4-0088,88.81,5.8
P4-0096,69.47,5.4
P4-0097,43.36,0
P4-0098,71.6,1.1
P4-0102,44.36,2.0
P4-0103,67.77,6.3
P4-0106,54.86,0.7
P4-0115,62.6,2.9
P4-0118,63.44,5.7
P4-0119,59.14,0.8
P4-0122,31.88,3.0
P4-0124,52.51,4.3
P4-0125,41.61,7.0
P4-0126,67.31,3.7
P4-0132,63.67,6.0
P4-0133,48.75,3.1
P4-0137,56.91,4.8
P4-0141,67.99,5.8
P4-0146,32.84,4.8
P4-0153,40.41,4.8
P4-0154,72.74,3.6
P4-0158,61.14,3.7
P4-0159,49.15,6.2
P4-0170,56.75,4.0
P4-0173,83.89,6.1
P4-0174,52.03,3.2
P4-0176,40.26,6.9
P4-0178,50.22,6.8
P4-0185,48.03,2.6
P4-0189,61.49,1.5
P4-0195,36.62,6.3
P4-0200,48.09,4.0
P4-0202,36.69,3.5
P4-0203,53.92,2.1
P4-0210,61.11,5.4
P4-0212,45.49,3.5
P4-0219,39.86,4.9
P4-0221,40.66,0
P4-0222,41.89,3.2
P4-0233,53.3,4.7
P4-0234,46.82,5.7
P4-0239,51.14,1.7
P4-0241,64.79,0.8
P4-0244,42.57,3.1
P4-0246,45.58,5.8
P4-0248,53.5,5.5
P4-0252,55.91,3.7
P4-0261,68.73,1.9
P4-0270,54.76,1.7
P4-0271,87.52,5.4
P4-0276,22.01,5.4
P4-0279,70.31,4.4
P4-0290,65.19,1.1
P4-0293,77.0,3.9
P4-0296,66.7,5.4
P4-0300,52.49,2.8
P4-0301,58.25,4.1
P4-0304,50.45,4.9
P4-0306,47.89,6.3
P4-0308,62.03,2.4
P4-0311,50.8,4.3
P4-0315,34.99,2.0
P4-0318,54.13,2.5
P4-0322,38.77,6.2
P4-0323,72.47,4.1
P4-0324,26.85,6.1
P4-0325,47.0,2.2
P4-0333,57.72,3.7
P4-0334,84.45,5.4
P4-0336,80.32,0.5
P4-0345,61.62,3.1
P4-0350,61.0,6.2
P4-0351,41.61,5.3
P4-0352,32.62,1.5
P4-0362,55.65,7.7
P4-0370,90.84,4.3
P4-0372,49.86,4.5
P4-0381,87.33,0.3
P4-0387,67.16,3.6
P4-0396,81.35,1.2
P4-0397,57.37,2.6
P4-0399,71.59,5.2
P4-0401,82.22,3.6
P4-0405,53.15,5.3
P4-0410,37.86,3.5
P4-0414,51.5,3.6
P4-0416,64.78,3.0
P4-0419,59.71,7.3
P4-0423,49.52,4.8
P4-0424,33.37,2.7
P4-0427,45.91,2.7
P4-0436,53.52,4.7
P4-0438,59.06,3.6
P4-0443,52.8,1.2
P4-0447,54.23,6.8
P4-0448,74.82,7.9
P4-0450,61.44,4.5
P4-0452,37.21,4.2
P4-0471,72.06,4.4
